Sanger ID	Ensembl	Gene ID	Statistical Analysis of Microarray score	Fold difference
741497_A	ENSG00000148346	LCN2	?3.64	0.18
741497_C	ENSG00000148346	LCN2	?3.80	0.18
111213_B	ENSG00000167755	KLK6	?2.83	0.2
357842_A	ENSG00000175315	CST6	?2.98	0.21
376599_A	ENSG00000175315	CST6	?2.71	0.23
204335_A	ENSG00000020862	CD24	?4.71	0.26
341021_A	ENSG00000008517	NK4	?3.00	0.26
724533_B	ENSG00000101443	WFDC2	?2.81	0.28
153508_A	ENSG00000186996	CLDN4	?3.74	0.29
809923_A	ENSG00000024749	TNFAIP2	?3.12	0.3
346130_B	ENSG00000186996	CLDN4	?3.81	0.31
346510_A	ENSG00000186996	CLDN4	?4.07	0.31
25433_A	ENSG00000143153	ATP1B1	?5.66	0.32
1257299_A	ENSG00000163975	MFI2	?3.21	0.35
767629_A	ENSG00000006616	RARRES1	?2.90	0.36
137018_A	ENSG00000012171	SEMA3B	?4.07	0.37
180786_A	ENSG00000006210	CX3CL1	?3.08	0.38
183573_A	ENSG00000006210	CX3CL1	?2.71	0.4
153925_B	ENSG00000052344	PRSS8	?4.82	0.4
382660_A	ENSG00000003790	KIAA1641	?3.71	0.41
201516_B	ENSG00000184930	MTND4	?3.32	0.41
182635_A	ENSG00000070404	FSTL3	?2.54	0.42
151761_A	ENSG00000185499	MUC1	?4.30	0.43
165830_B	ENSG00000006210	CX3CL1	?2.63	0.43
357613_B	ENSG00000184930	MTND4	?3.87	0.44
308173_A	ENSG00000184689	MTND6	?2.73	0.45
233818_A	ENSG00000183503	MTCO2	?3.94	0.45
809822_A	ENSG00000129353	CTL2	?4.79	0.46
324225_B	ENSG00000133321	RARRES3	?3.72	0.47
34461_A	ENSG00000131981	LGALS3	?4.39	0.47
149218_A	ENSG00000184930	MTND4	?2.73	0.48
41288_A	ENSG00000185215	TNFAIP2	?3.27	0.48
293168_A	ENSG00000184689	MTND6	?2.88	0.49
24593_B	ENSG00000129353	CTL2	?3.32	0.49
156398_A	NA	unknown	?2.83	0.49
365623_A	ENSG00000184930	MTND4	?3.47	0.5
782280_B	NA	HDCRA	?3.04	0.5
320142_A	ENSG00000184316	MTATP6	?2.66	0.5
163072_A	ENSG00000103335	KIAA0233	?2.80	0.5
167150_A	ENSG00000169246	KIAA0220	?2.83	0.5
302373_C	ENSG00000143153	ATP1B1	?3.36	0.51
1659533_B	ENSG00000124159	MATN4	?3.61	0.51
307769_A	ENSG00000122034	GTF3A	?3.27	0.52
244297_A	ENSG00000141934	PPAP2C	?3.88	0.52
262390_A	ENSG00000182240	BACE2	?4.40	0.52
772402_A	ENSG00000099860	GADD45B	?2.55	0.53
294203_A	ENSG00000109062	SLC9A3R1	?3.06	0.53
796298_B	ENSG00000110721	CHK	?3.54	0.54
49200_A	ENSG00000074416	MGLL	?2.84	0.55
123164_A	ENSG00000065361	ERBB3	?2.83	0.57
