UGCluster	Symbol	Gene name	MSI-H/MSS a	MSI-H/N b	MSS/Nc	P-valued
Hs.76422	PLA2G2A	Phospholipase A2, group IIA (platelets, synovial fluid)	7.28	1.82	0.25	0.003
Hs.105806	GNLY	Granulysin	6.16	7.1	1.15	0.001
Hs.89603	MUC1	mucin 1, transmembrane	3.35	2.1	0.63	0.009
Hs.380933		mRNA; cDNA DKFZp586O1224 (from clone DKFZp586O1224), mRNA sequence	3.25	5.48	1.69	0.001
Hs.91011	AGR2	Anterior gradient 2 homolog (Xenepus laevis)	3.14	2.85	0.91	0.009
Hs.103707	MUC5AC	Mucin 5, subtypes A and C, tracheobronchial/gastric	2.96	2.74	0.93	0.007
Hs.119140	EIF5A	Eucaryotic translation initiation factor 5A	2.92	4.34	1.49	0.001
Hs.15114	ARHD	ras homolog gene family, member D	2.85	1.7	0.6	0.005
Hs.18760		KIAA1389 protein (Homo sapiens), mRNA sequence	2.73	1.86	0.68	0.003
Hs.343628	SIAT4B	Sialyltransferase 4B (beta-galactoside alpha-2,3-sialytransferase)	2.71	1.39	0.51	0.003
Hs.118786	MT2A	Metallothionein 2A	2.7	0.49	0.18	0.001
Hs.59413	CTSL	Cathepsin L	2.65	2.13	0.81	0.009
Hs.14623	IFI30	Interferon, gamma-inducible protein 30	2.62	3.45	1.32	0.003
Hs.173043	MTA1L1	Metastasis-associated 1-like 1	2.62	2.91	1.11	0.001
		cDNA FLJ12124 fis, clone MAMMA1000139	2.58	2.23	0.87	0.005
Hs.8986	C1QB	Complement component 1, q subcomponent, beta polypeptide	2.56	1.88	0.73	0.001
Hs.110796	SAR1	SAR1 protein	2.56	2.61	1.02	0.002
Hs.270737	TNFSF13B	Tumor necrosis factor (ligand) superfamily, member 13b	2.46	1.93	0.78	0.005
Hs.337461	TRIM15	Tripartite motif-containing 15	2.45	1.09	0.45	0.006
Hs.169401	APOE	Apolipoprotein E	2.39	2.26	0.94	0.003
Hs.433300	FCER1G	Fc fragment of IgE, high-affinity I, receptor for gamma polypeptide	2.35	2.64	1.12	0.003
Hs.2730	HNRPL	Heterogeneous nuclear ribonucleoprotein L	2.34	2.96	1.26	0.001
Hs.95655	SECTM1	Secreted and transmembrane 1	2.33	0.63	0.27	0.001
Hs.151734	NUTF2	Nuclear transport factor 2	2.33	0.27	0.11	0.007
Hs.184390	LOC57168	Similar to aspartate beta hydroxylase (ASPH)	2.3	2.05	0.89	0.009
Hs.13015	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	2.3	0.95	0.41	0.002
Hs.104741	TOPK	T-LAK cell-originated protein kinase	2.28	3.48	1.52	0.001
Hs.380778	MT1L	Metallothionein 1L	2.23	0.53	0.24	0.004
Hs.75367	SLA	Src-like adaptor	2.19	1.25	0.57	0.002
Hs.325978	IL18BP	Interleukin 18-binding protein	2.12	2	0.94	0.004
Hs.55968	GALNT5	UDP-N-acetyl-alpha-d-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	2.09	2.03	0.97	0.005
Hs.3164	NUCB2	Nucleobindin 2	2.08	1.78	0.86	0.003
Hs.198248	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 1	2.07	1	0.48	0.001
Hs.91448	DUSP14	Dual-specificity phosphatase 14	2.06	1.81	0.88	0.005
Hs.1695	MMP12	Matrix metalloproteinase 12 (macrophage elastase)	2.05	1.94	0.95	0.007
Hs.237856	PHT2	Peptide transporter 3	2.05	2.1	1.02	0.005
Hs.73010	IFNW1	Interferon, omega 1	2.04	2.75	1.35	0.001
Hs.75703	CCL4	Chemokine (C-C motif) ligand 4	2.03	1.72	0.85	0.001
Hs.75627	CD14	CD14 antigen	2.01	1.32	0.66	0.006
