Gene symbol	Genbank	MCF7-T (vs MCF7)	MCF7-F (vs MCF7)	Description	Other Gene Description
PKIA	NM_181839	—	?4.70	Protein kinase (cAMP-dependent, catalytic) inhibitor ?	PKA pathway
PKIB	NM_181795	?37.26	?33.38	Protein kinase (cAMP-dependent, catalytic) inhibitor ?	PKA pathway
PKIG	NM_181805	?2.80	?3.20	Protein kinase (cAMP-dependent, catalytic) inhibitor ?	PKA pathway
PRKACA	NM_002730	—	?2.46	Protein kinase, cAMP-dependent, catalytic, ?	PKA pathway
PRKACB	NM_182948	5.1	4.26	Protein kinase, cAMP-dependent, catalytic, ?	PKA pathway
PRKAR2A	NM_004157	?1.54	?2.07	Protein kinase, cAMP-dependent, regulatory, type II, ?	PKA pathway
PRKAR2B	NM_002736	10.39	3.39	Protein kinase, cAMP-dependent, regulatory, type II, ?	PKA pathway
CAV1	NM_001753	?3.56	?1.59	Caveolin 1, caveolae protein, 22 kDa	Caveolins
CAV2	NM_198212	?2.53	?2.32	Caveolin 2	Caveolins
ANXA1	NM_000700	?3.04	14.28	Annexin A1	Annexins and S100 calcium-binding proteins
ANXA10	NM_007193	4.65	162.71	Annexin A10	Annexins and S100 calcium-binding proteins
ANXA11	NM_145869	?1.54	?1.88	Annexin A11	Annexins and S100 calcium-binding proteins
ANXA3	NM_005139	?2.25	?1.53	Annexin A3	Annexins and S100 calcium-binding proteins
ANXA4	NM_001153	?1.65	—	Annexin A4	Annexins and S100 calcium-binding proteins
ANXA6	NM_004033	?2.28	?18.63	Annexin A6	Annexins and S100 calcium-binding proteins
ANXA9	NM_003568	?3.52	2.11	Annexin A9	Annexins and S100 calcium-binding proteins
S100A11	NM_005620	?1.79	?2.23	S100 calcium-binding protein A11 (calgizzarin)	Annexins and S100 calcium-binding proteins
S100A13	Hs.446592	?4.02	?3.74	S100 calcium-binding protein A13	Annexins and S100 calcium-binding proteins
S100A14	NM_020672	?7.11	?3.07	S100 calcium-binding protein A14	Annexins and S100 calcium-binding proteins
S100A16	NM_080388	?13.05	?7.30	S100 calcium-binding protein A16	Annexins and S100 calcium-binding proteins
S100A4	NM_019554	?2.11	?1.25	S100 calcium-binding protein A4	Annexins and S100 calcium-binding proteins
S100A6	NM_014624	?1.97	?2.31	S100 calcium-binding protein A6 (calcyclin)	Annexins and S100 calcium-binding proteins
S100P	NM_005980	?4.18	3.4	S100 calcium-binding protein P	Annexins and S100 calcium-binding proteins
DUSP23	NM_017823	?1.76	?6.17	Dual specificity phosphatase 23	MAPK phosphatase activity
DUSP4	NM_057158	?4.39	1.23	Dual specificity phosphatase 4	MAPK phosphatase activity
DUSP5	NM_004419	?3.66	?1.26	Dual specificity phosphatase 5	MAPK phosphatase activity
DUSP6	NM_022652	?1.74	3.56	Dual specificity phosphatase 6	MAPK phosphatase activity
ID1	NM_181353	2.77	2.52	Inhibitor of DNA binding 1, dominant-negative helix-loop-helix protein	Dominant-negative helix-loop-helix proteins
ID2	NM_002166	—	?2.96	Inhibitor of DNA binding 2, dominant-negative helix-loop-helix protein	Dominant-negative helix-loop-helix proteins
ID3	NM_002167	2.62	1.25	Inhibitor of DNA binding 3, dominant-negative helix-loop-helix protein	Dominant-negative helix-loop-helix proteins
ID4	NM_001546	6.86	—	Inhibitor of DNA binding 4, dominant-negative helix-loop-helix protein	Dominant-negative helix-loop-helix proteins
EGFR	NM_201284	1.29	3.24	Epidermal growth factor receptor	EGFR activity
ERBB2	NM_004448	—	6.61	V-erb-b2 erythroblastic leukemia viral oncogene homologue 2	EGFR activity
ERBB3	NM_001982	1.4	7.07	V-erb-b2 erythroblastic leukemia viral oncogene homologue 3 (avian)	EGFR activity
TOB1	NM_005749	1.29	?5.03	Transducer of ERBB2, 1	EGFR activity
TOB2	NM_016272	?1.34	?3.98	Transducer of ERBB2, 2	EGFR activity
WNT11	NM_004626	—	12.64	Wingless-type mouse mammary tumor virus (MMTV) integration site family, member 11	Wnt/Frizzled/?-catenin signaling pathway
WNT5A	NM_003392	11.59	12.91	Wingless-type MMTV integration site family, member 5A	Wnt/Frizzled/?-catenin signaling pathway
WNT6	NM_006522	?3.47	3.93	Wingless-type MMTV integration site family, member 6	Wnt/Frizzled/?-catenin signaling pathway
LRP5	NM_002335	?1.17	2.08	Low-density lipoprotein receptor-related protein 5	Wnt/Frizzled/?-catenin signaling pathway
LRP6	NM_002336	—	6.76	Low-density lipoprotein receptor-related protein 6	Wnt/Frizzled/?-catenin signaling pathway
CTNNB1	NM_001904	2.93	4.89	Catenin (cadherin-associated protein), ? 1, 88 kDa	Wnt/Frizzled/?-catenin signaling pathway
FZD7	NM_003507	1.28	2.32	Frizzled homologue 7 (Drosophila)	Wnt/Frizzled/?-catenin signaling pathway
ADAM17	NM_021832	—	9.02	A disintegrin and metalloproteinase domain 17	Notch signaling pathway
APH-1A	NM_016022	—	4.94	Anterior pharynx defective 1 homologue A (Caenorhabditis elegans)	Notch signaling pathway
JAG1	NM_000214	1.48	5.97	Jagged 1 (Alagille syndrome)	Notch signaling pathway
JAG2	NM_145159	3.89	3.09	Jagged 2	Notch signaling pathway
PSEN1	NM_007319	1.33	7.06	Presenilin 1 (Alzheimer disease 3)	Notch signaling pathway
MAML2	NM_032427	—	4.9	Mastermind-like 2 (Drosophila)	Notch signaling pathway
NOTCH2	NM_024408	—	3.39	Notch homologue 2 (Drosophila)	Notch signaling pathway
NOTCH2NL	Hs.502564	—	6	Notch homologue 2 (Drosophila) N-terminal like	Notch signaling pathway
ANGPTL4	NM_139314	—	3.6	Angiopoietin-like 4	Cytokines and cytokine receptors
ANGPTL6	NM_031917	—	10.7	Angiopoietin-like 6	Cytokines and cytokine receptors
BMPR2	NM_033346	—	3.92	Bone morphogenetic protein receptor, type II (serine/threonine kinase)	Cytokines and cytokine receptors
CISH	NM_145071	?4.76	?3.03	Cytokine-inducible SH2-containing protein	Cytokines and cytokine receptors
CXCL12	NM_199168	?4.22	1.28	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Cytokines and cytokine receptors
CXCR4	Hs.421986	5.15	4.35	Chemokine (C-X-C motif) receptor 4	Cytokines and cytokine receptors
EFNB2	NM_004093	?4.11	8.5	Ephrin-B2	Cytokines and cytokine receptors
EGFR	NM_201284	1.29	3.24	Epidermal growth factor receptor	Cytokines and cytokine receptors
EPHA2	NM_004431	—	5.83	EPH receptor A2	Cytokines and cytokine receptors
EPHA4	Hs.244624	?1.37	4.39	EphA4	Cytokines and cytokine receptors
EPHA7	NM_004440	—	23.64	EPH receptor A7	Cytokines and cytokine receptors
EPHB2	NM_017449	—	9.04	EPH receptor B2	Cytokines and cytokine receptors
EPHB3	NM_004443	1.23	3.21	EPH receptor B3	Cytokines and cytokine receptors
EPHB6	NM_004445	1.24	8.92	EPH receptor B6	Cytokines and cytokine receptors
FGF13	NM_033642	?1.73	?29.30	Fibroblast growth factor 13	Cytokines and cytokine receptors
FGFR2	NM_023031	—	5.35	Fibroblast growth factor receptor 2	Cytokines and cytokine receptors
FGFR4	NM_022963	?1.89	?3.82	Fibroblast growth factor receptor 4	Cytokines and cytokine receptors
FLT3LG	NM_001459	—	4.15	Fms-related tyrosine kinase 3 ligand	Cytokines and cytokine receptors
GAS6	NM_000820	—	5.45	Growth arrest-specific 6	Cytokines and cytokine receptors
IFNGR1	NM_000416	—	4.5	IFN-? receptor 1	Cytokines and cytokine receptors
IGF2R	NM_000876	—	4.39	Insulin-like growth factor 2 receptor	Cytokines and cytokine receptors
IL11RA	NM_147162	—	3.48	Interleukin 11 receptor, ?	Cytokines and cytokine receptors
IL13RA1	NM_001560	?1.28	4.16	Interleukin-13 receptor, ?1	Cytokines and cytokine receptors
IL17D	NM_138284	—	?3.20	Interleukin-17D	Cytokines and cytokine receptors
IL1A	NM_000575	—	3.82	Interleukin-1, ?	Cytokines and cytokine receptors
IL1R1	NM_000877	?1.80	?3.44	Interleukin-1 receptor, type I	Cytokines and cytokine receptors
IL1RAP	NM_134470	—	10.37	Interleukin-1 receptor accessory protein	Cytokines and cytokine receptors
IL6ST	NM_175767	1.54	3.67	Interleukin-6 signal transducer (gp130, oncostatin M receptor)	Cytokines and cytokine receptors
IL8	NM_000584	—	3.31	Interleukin-8	Cytokines and cytokine receptors
INHBB	NM_002193	?5.74	?3.73	Inhibin, ? B (activin AB ? polypeptide)	Cytokines and cytokine receptors
KITLG	NM_003994	—	5.74	KIT ligand	Cytokines and cytokine receptors
LIFR	NM_002310	—	13.72	Leukemia inhibitory factor receptor	Cytokines and cytokine receptors
OSMR	NM_003999	3.69	5.61	Oncostatin M receptor	Cytokines and cytokine receptors
SOCS2	NM_003877	—	?3.60	Suppressor of cytokine signaling 2	Cytokines and cytokine receptors
SOCS3	NM_003955	—	?3.42	Suppressor of cytokine signaling 3	Cytokines and cytokine receptors
SOCS6	NM_004232	?3.03	1.28	Suppressor of cytokine signaling 6	Cytokines and cytokine receptors
TGFA	NM_003236	?5.94	2.47	Transforming growth factor, ?	Cytokines and cytokine receptors
TGFB1I1	NM_015927	3.28	1.27	Transforming growth factor ?1 induced transcript 1	Cytokines and cytokine receptors
TGFB2	NM_003238	?1.41	?3.45	Transforming growth factor, ? 2	Cytokines and cytokine receptors
TGFBR2	NM_003242	?2.00	4.31	Transforming growth factor, ? receptor II (70/80 kDa)	Cytokines and cytokine receptors
TGFBR3	NM_003243	4.14	4.36	Transforming growth factor, ? receptor III (? glycan, 300 kDa)	Cytokines and cytokine receptors
TNFAIP2	NM_006291	1.27	3.89	Tumor necrosis factor, ?-induced protein 2	Cytokines and cytokine receptors
TNFAIP8	NM_014350	—	3.09	Tumor necrosis factor, ?-induced protein 8	Cytokines and cytokine receptors
TNFRSF10B	NM_147187	1.31	5.04	Tumor necrosis factor receptor superfamily, member 10b	Cytokines and cytokine receptors
TNFRSF11B	NM_002546	?8.70	4.38	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	Cytokines and cytokine receptors
TNFRSF12A	NM_016639	?3.38	2.02	Tumor necrosis factor receptor superfamily, member 12A	Cytokines and cytokine receptors
TNFRSF19	NM_148957	?21.63	?13.63	Tumor necrosis factor receptor superfamily, member 19	Cytokines and cytokine receptors
