Affymetrix Probe ID	Gene name	Gene symbol	p16 siRNA vs control siRNA UV  12 h	24 h	48 h	p16 siRNA vs control siRNA w/o UV 24 h	48 h	72 h	Function
202387_at	BCL2-associated athanogene	BAG1	NC	__	__	NC	NC	NC	Anti-apoptosis
201150_s_at	Tissue inhibitor of metalloproteinase 3	TIMP3	NC	__	__	NC	NC	NC	Anti-apoptosis
207163_s_at	v-Akt murine thymoma viral oncogene homologue 1	AKT1	NC	__	__	NC	NC	NC	Anti-apoptosis
200798_x_at	Myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	NC	__	__	NC	NC	NC	Anti-apoptosis
220643_s_at	Fas apoptotic inhibitory molecule	FAIM	NC	__	__	NC	NC	NC	Anti-apoptosis
211300_s_at	Tumor protein p53 (Li–Fraumeni syndrome)	TP53	++	++	++	++	++	++	Apoptosis - p53 immediate downstream regulated genes
203120_at	Tumor protein p53 binding protein, 2	TP53BP2	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
204531_s_at	breast cancer 1, early onset	BRCA1	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
202981_x_at	SIAH1 seven in absentia homologue 1 (Drosophila)	SIAH1	NC	++	++	NC	NC	++	Apoptosis - p53 immediate downstream regulated genes
204947_at	E2F transcription factor 1	E2F1	++	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
202284_s_at	CDK inhibitor 1A (p21, Cip1)	CDKN1A	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
209112_at	CDK inhibitor 1B (p27, Kip1)	CDKN1B	NC	++	++	NC	++	NC	Apoptosis - p53 immediate downstream regulated genes
205516_x_at	CDKN1A interacting zinc-finger protein 1	CIZ1	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
208878_s_at	p21 (CDKN1A)-activated kinase 2	PAK2	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
33814_at	p21(CDKN1A)-activated kinase 4	PAK4	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
201202_at	Proliferating cell nuclear antigen	PCNA	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
203725_at	GADD45A growth arrest and DNA-damage-inducible, 	GADD45A	NC	++	++	NC	NC	NC	Apoptosis - p53 immediate downstream regulated genes
209970_x_at	Caspase 1, apoptosis-related cysteine protease	CASP1	++	++	++	NC	NC	NC	Apoptosis – intrinsic (mitochondrial) pathway
208050_s_at	Caspase 2, apoptosis-related cysteine protease	CASP2	++	++	++	NC	NC	NC	Apoptosis – intrinsic (mitochondrial) pathway
210026_s_at	Caspase recruitment domain family, member 10	CARD10	NC	++	++	NC	NC	NC	Apoptosis – intrinsic (mitochondrial) pathway
205263_at	B-cell CLL/lymphoma 10	BCL10	++	++	++	NC	NC	NC	Apoptosis – intrinsic (mitochondrial) pathway
206665_s_at	BCL2-like 1	BCL2L1	++	++	++	NC	NC	NC	Apoptosis – intrinsic (mitochondrial) pathway
222343_at	BCL2-like 11 (apoptosis facilitator)	BCL2L11	++	++	++	NC	NC	NC	Apoptosis – intrinsic (mitochondrial) pathway
