Probe ID	P-value	FC	Symbol	Gene	Gene Expression
209292_at	4.36E?06	4.5806	ID4	Inhibitor of DNA binding 4	increase
204719_at	1.36E?05	4.5518	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	increase
221841_s_at	1.92E?05	4.2471	KLF4	Kruppel-like factor 4 (gut)	increase
206101_at	4.23E?04	4.1557	ECM2	Extracellular matrix protein 2	increase
209047_at	3.76E?04	4.1472	AQP1	Aquaporin 1 (Colton blood group)	increase
205856_at	4.33E?04	4.0672	SLC14A1	Solute carrier family 14 (urea transporter)	increase
208451_s_at	3.50E?05	4.0529	C4A / C4B	Complement component 4A	increase
205907_s_at	4.59E?04	4.0307	OMD	Osteomodulin	increase
211896_s_at	1.05E?04	3.8509	DCN	Decorin	increase
205608_s_at	2.47E?06	3.6276	ANGPT1	Angiopoietin 1	increase
209335_at	5.73E?04	3.4846	DCN	Decorin	increase
214428_x_at	1.81E?04	3.3938	C4A / C4B	Complement component 4A	increase
211813_x_at	2.04E?04	3.1688	DCN	Decorin	increase
207542_s_at	3.87E?04	3.158	AQP1	Aquaporin 1 (Colton blood group)	increase
218418_s_at	1.36E?05	3.1493	ANKRD25	Ankyrin repeat domain 25	increase
204457_s_at	9.84E?04	3.1478	GAS1	Growth arrest-specific 1	increase
201893_x_at	2.23E?04	3.1145	DCN	Decorin	increase
217678_at	4.70E?04	3.0599	SLC7A11	Solute carrier family 7	increase
213110_s_at	5.25E?05	3.0167	COL4A5	Collagen, type IV, alpha 5 (Alport syndrome)	increase
213592_at	8.44E?04	3.0154	AGTRL1	Angiotensin II receptor-like 1	increase
213479_at	7.64E?04	0.1994	NPTX2	Neuronal pentraxin II	decrease
207768_at	5.95E?05	0.2053	EGR4	Early growth response 4	decrease
206115_at	2.67E?05	0.2189	EGR3	Early growth response 3	decrease
219697_at	3.09E?04	0.2375	HS3ST2	Heparan sulfate (glucosamine) 3-O-sulfotransferase 2	decrease
216086_at	1.08E?04	0.2523	SV2C	Synaptic vesicle glycoprotein 2C	decrease
211616_s_at	3.67E?04	0.2825	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	decrease
218625_at	3.67E?04	0.3156	NRN1	Neuritin 1	decrease
220794_at	1.34E?04	0.3343	GREM2	Gremlin 2, Cysteine knot superfamily	decrease
210090_at	9.41E?04	0.3535	ARC	Activity-reg cytoskeleton-associated protein	decrease
207135_at	8.85E?04	0.3617	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	decrease
205586_x_at	1.51E?04	0.369	VGF	VGF nerve growth factor inducible	decrease
201693_s_at	9.81E?04	0.3815	EGR1	Early growth response 1	decrease
201694_s_at	4.98E?04	0.3888	EGR1	Early growth response 1	decrease
210227_at	1.49E?04	0.3997	DLGAP2	Discs, large (Drosophila) homolog-associated protein 2	decrease
206161_s_at	5.14E?04	0.4151	SYT5	Synaptotagmin V	decrease
204506_at	9.89E?04	0.4154	PPP3R1	Protein phosphatase 3 (formerly 2B), regulatory subunit B, 19 kDa, alpha isoform	decrease
205721_at	2.08E?06	0.4201	GFRA2	GDNF family receptor alpha 2	decrease
204945_at	6.75E?04	0.4223	PTPRN	Protein tyrosine phosphatase, receptor type, N	decrease
207548_at	5.98E?04	0.4246	GRM7	Glutamate receptor, metabotropic 7	decrease
214078_at	1.63E?04	0.4254	PAK3	P21 (CDKN1A)-activated kinase 3	decrease
