Gene	Gene title	Fold change CAF/skin	P-value skin vs CAF	Function
CDH2	Cadherin 2, type 1, N-cadherin (neuronal)	4.39	0.00712	Molecular function: cell adhesion molecule (P=0.0685)
CDH6	Cadherin 6, type 2, K-cadherin	4.19	0.0304	Molecular function: cell adhesion molecule (P=0.0685)
EFS2	Signal transduction protein (SH3 containing)	-4.3	0.0146	Molecular function: cell adhesion molecule (P=0.0685)
SRPX	Sushi-repeat-containing protein, X chromosome	-3.31	0.000499	Molecular function: cell adhesion molecule (P=0.0685)
VCAM1	Vascular cell adhesion molecule 1	15.34	0.0301	Molecular function: cell adhesion molecule (P=0.0685)
COL6A3	Collagen, type VI,  3	-3.09	0.0216	Molecular function: cell adhesion molecule (P=0.0685)
JUP	Junction plakoglobin	2.15	0.00253	Molecular function: cell adhesion molecule (P=0.0685)
APP	Amyloid  (A4) precursor protein (protease nexin-II)	2.39	0.0255	Molecular function: cell adhesion molecule (P=0.0685)
CTGF	Connective tissue growth factor	3.72	0.0187	Molecular function: cell adhesion molecule (P=0.0685)
CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	3.16	0.00202	Molecular function: cell adhesion molecule (P=0.0685)
ALCAM	Activated leukocyte cell adhesion molecule	2.15	0.0336	Molecular function: cell adhesion molecule (P=0.0685)
LAMB1	Laminin,  1	2.1	0.0061	Molecular function: cell adhesion molecule (P=0.0685)
ICAM1	Intercellular adhesion molecule 1 (CD54)	11.42	0.0000146	Molecular function: cell adhesion molecule (P=0.0685)
PTPRF	Protein tyrosine phosphatase, receptor type, F	2.96	0.00443	Molecular function: cell adhesion molecule (P=0.0685)
CDH13	Cadherin 13, H-cadherin (heart)	2.19	0.0343	Molecular function: cell adhesion molecule (P=0.0685)
FLRT2	Fibronectin leucine-rich transmembrane protein 2	-3.05	0.00113	Molecular function: cell adhesion molecule (P=0.0685)
ITGA6	Integrin,  6	-2.54	0.000742	Molecular function: cell adhesion molecule (P=0.0685)
ITGA3	Integrin,  3 (alpha 3 subunit of VLA-3 receptor)	2.01	0.0231	Molecular function: cell adhesion molecule (P=0.0685)
JAG1	Jagged 1 (Alagille syndrome)	3.35	0.000408	Molecular function: growth factor (P=0.0025)
PLAB	Prostate differentiation factor	5.2	0.0121	Molecular function: growth factor (P=0.0025)
FGF1	Fibroblast growth factor 1 (acidic)	3.74	0.0316	Molecular function: growth factor (P=0.0025)
IL6	Interleukin 6 (interferon,  2)	12.29	0.0251	Molecular function: growth factor (P=0.0025)
PDGFA	Platelet-derived growth factor  polypeptide	4.142	0.00185	Molecular function: growth factor (P=0.0025)
TGFB2	Transforming growth factor,  2	8.1	0.0258	Molecular function: growth factor (P=0.0025)
VEGF	Vascular endothelial growth factor	3.71	0.00573	Molecular function: growth factor (P=0.0025)
CTGF	Connective tissue growth factor	3.72	0.0187	Molecular function: growth factor (P=0.0025)
CCL2	Chemokine (C-C motif) ligand 2	14.63	0.01	Molecular function: cytokine activity (P=0.0002)
TNFRSF11B	TNF receptor superfamily, member 11b (osteoprotegerin)	4.74	0.0137	Molecular function: cytokine activity (P=0.0002)
PLAB	Prostate differentiation factor	5.21	0.0121	Molecular function: cytokine activity (P=0.0002)
IL6	Interleukin 6 (interferon,  2)	12.29	0.0251	Molecular function: cytokine activity (P=0.0002)
PDGFA	Platelet-derived growth factor  polypeptide	4.142	0.00185	Molecular function: cytokine activity (P=0.0002)
TGFB2	Transforming growth factor,  2	8.1	0.0258	Molecular function: cytokine activity (P=0.0002)
VEGF	Vascular endothelial growth factor	3.71	0.00573	Molecular function: cytokine activity (P=0.0002)
PLSCR4	Phospholipid scramblase 4	3.51	0.0329	Biological process: blood coagulation (P=0.0017)
CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	3.16	0.00202	Biological process: blood coagulation (P=0.0017)
SERPINE1	Serine proteinase inhibitor, clade E (plasminogen activator inhibitor type 1), member 1	3.46	0.00992	Biological process: blood coagulation (P=0.0017)
TFPI	Tissue factor pathway inhibitor	3.19	0.00649	Biological process: blood coagulation (P=0.0017)
F2R	Coagulation factor II (thrombin) receptor	6.08	0.0122	Biological process: blood coagulation (P=0.0017)
PLAT	Plasminogen activator, tissue	6.63	0.0213	Biological process: blood coagulation (P=0.0017)
CTGF	Connective tissue growth factor	3.72	0.0187	Biological process: response to wounding (P=0.0062)
F2R	Coagulation factor II (thrombin) receptor	6.08	0.0122	Biological process: response to wounding (P=0.0062)
MD-2	MD-2 protein	2.01	0.0303	Biological process: response to wounding (P=0.0062)
PTX3	Pentaxin-related gene, rapidly induced by IL-1 	4.26	0.00973	Biological process: response to wounding (P=0.0062)
CCL2	Chemokine (C-C motif) ligand 2	14.63	0.01	Biological process: response to wounding (P=0.0062)
