Symbol	Title	Accession no.	Unigene
IDH2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial	NM_002168	Hs. 5337
SIAT4A	Sialytransferase 4A	NM_003033	Hs. 301698
TIMP1	Tissue inhibitor of metalloproteinase 1	NM_003254	Hs. 5831
CTSB	Cathepsin B	NM_001908	Hs. 297939
IGFBP7	Insulin-like growth factor binding protein 7	NM_032356	Hs. 119206
ACP33	Acid cluster protein 33	NM_016630	Hs. 71475
U5-116KD	U5 snRNP-specific protein, 116 kD	NM_004247	Hs. 151787
GORASP1	Golgi reassembly stacking protein 1, 65kDa	NM_031899	Hs. 4291
KIAA0964	KIAA0964 protein	NM_014902	Hs. 177425
TNIP2	TNFAIP3 interacting protein 2	NM_002084	Hs. 288991
CDC2	Cell division cycle 2, G1 to S and G2 to M	NM_001786	Hs. 334562
C20orf11	Chromosome 20 open reading frame 11	NM_017896	Hs. 103808
FLJ20011	Hypothetical protein FLJ20011	NM_017620	Hs. 334647
SIAHBP1	Fuse-binding protein-interacting repressor	NM_014281	Hs. 74562
MANBA	Mannosidase, beta A, lysosomal	NM_005908	Hs. 115945
PPIL1	Peptidylprolyl isomerase (cyclophilin)-like 1	NM_006666	Hs. 27693
MDK	Midkine (neurite growth-promoting factor 2)	NM_002391	Hs. 82045
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	NM_004656	Hs. 106674
NME1	Non-metastatic cells 1, protein (NM23A) expressed in	NM_000982	Hs. 118638
UCH37	Ubiquitin C-terminal hydrolase UCH37	NM_006675	Hs. 171581
NA	ESTs	NA	Hs. 255144
MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	NM_016462	Hs. 179565
SNRPA1	Small nuclear ribonucleoprotein polypeptide A?	NM_000418	Hs. 80506
ANXA2	Annexin A2	NM_004039	Hs. 217493
NMT2	N-myristoyltransferase 2	NM_004808	Hs. 122647
SEC10L1	SEC10 (S. cerevisiae)-like 1 (SEC10L1)	NM_006544	Hs. 29494
CKS2	CDC28 protein kinase 2	NM_001827	Hs. 83758
PPP4C	Protein phosphatase 4 (formerly X), catalytic subunit	NM_002720	Hs. 2903
CD9	CD9 antigen (p24)	NM_005632	Hs. 1244
SERPINH2	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2	NM_001235	Hs. 9930
PES1	Pescadillo homolog 1, containing BRCT domain (zebrafish)	NM_014303	Hs. 13501
TCF7	Transcription factor 7 (T-cell specific, HMG-box)	NM_003202	Hs. 169294
AGTPBP1	ATP/GTP binding protein 1	NM_015239	Hs. 21542
KIAA0205	KIAA0205 gene product	NM_014873	Hs. 3610
S100A10	S100 calcium binding protein A10	NM_002966	Hs. 119301
PTPN12	Protein tyrosine phosphatase, non-receptor type 12	NM_002835	Hs. 62
MYO1B	Myosin IB	AK000160	Hs. 121576
KIAA1595	KIAA1595 protein	AB046815	Hs. 286173
CGI-01	CGI-01 protein	NM_015935	Hs. 19469
NA	Homo sapiens, clone IMAGE:4711494, mRNA	BC001980	Hs. 177781
SIP	Siah-interacting protein	NM_014412	Hs. 27258
SNRPG	Small nuclear ribonucleoprotein polypeptide G	NM_003096	Hs. 77496
TGFB1	Transforming growth factor, beta 1 (Camurati-Engelmann disease)	NM_000660	Hs. 1103
NA	Homo sapiens, clone IMAGE:4711494, mRNA	BC001980	Hs. 177781
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	NM_003406	Hs. 75103
FLJ13193	Hypothetical protein FLJ13193	NM_032177	Hs. 267527
SMAP	Thyroid hormone receptor coactivating protein	NM_006696	Hs. 5464
HMMR	Hyaluronan-mediated motility receptor (RHAMM)	NM_012484	Hs. 72550
HSPC111	Hypothetical protein HSPC111	NM_016391	Hs. 279918
LOC56990	Non-kinase Cdc42 effector protein SPEC2	AK025620	Hs. 5985
FLJ10659	Hypothetical protein FLJ10659	NM_018171	Hs. 107882
PBX2	Pre-B-cell leukemia transcription factor 2	NM_002586	Hs. 93728
LOC85028	PNAS-123	AF277181	Hs. 40092
HMG2	High-mobility group (nonhistone chromosomal) protein 2	NM_002129	Hs. 80684
PPIB	Peptidylprolyl isomerase B (cyclophilin B)	NM_000942	Hs. 699
	3 beta-hydroxy-delta 5-C27-steroid oxidoreductase	BC004929	Hs. 23628
STEAP	Six transmembrane epithelial antigen of the prostate	NM_012449	Hs. 61635
