ProbeSetID	UniGene Symbol	neg score	pos score
206378_at	SCGB2A2	-0.3022	0.0604
212593_s_at	PDCD4	-0.1928	0.0386
219197_s_at	SCUBE2	-0.1878	0.0376
203929_s_at	MAPT	-0.1877	0.0375
213245_at	ADCY1	-0.1873	0.0375
203485_at	RTN1	-0.1865	0.0373
216474_x_at	TPSAB1 /// TPSB2	-0.1656	0.0331
208305_at	PGR	-0.156	0.0312
210222_s_at	RTN1	-0.1548	0.031
202731_at	PDCD4	-0.1538	0.0308
207134_x_at	TPSB2	-0.1405	0.0281
202730_s_at	PDCD4	-0.1364	0.0273
202554_s_at	GSTM3	-0.1356	0.0271
208451_s_at	C4A /// C4B	-0.1255	0.0251
203999_at	SYT1	-0.1221	0.0244
215382_x_at	TPSAB1	-0.1151	0.023
205683_x_at	TPSAB1	-0.1148	0.023
207741_x_at	TPSAB1 /// TPSB2	-0.1138	0.0228
204489_s_at	CD44	-0.1106	0.0221
214428_x_at	C4A /// C4B	-0.1071	0.0214
202962_at	KIF13B	-0.1017	0.0203
203178_at	GATM	-0.0994	0.0199
204455_at	DST	-0.0931	0.0186
204082_at	PBX3	-0.0883	0.0177
219414_at	CLSTN2	-0.0866	0.0173
209774_x_at	CXCL2	-0.0823	0.0165
212594_at	PDCD4	-0.0772	0.0154
212774_at	ZNF238	-0.0734	0.0147
206204_at	GRB14	-0.0733	0.0147
203140_at	BCL6	-0.0725	0.0145
206325_at	SERPINA6	-0.0673	0.0135
203928_x_at	MAPT	-0.0667	0.0133
210084_x_at	TPSAB1	-0.0649	0.013
203240_at	FCGBP	-0.0604	0.0121
218002_s_at	CXCL14	-0.0567	0.0113
216733_s_at	GATM	-0.0512	0.0102
202274_at	ACTG2	-0.0507	0.0101
204490_s_at	CD44	-0.05	0.01
205542_at	STEAP1	-0.0499	0.01
221584_s_at	KCNMA1	-0.0472	0.0094
206115_at	EGR3	-0.0468	0.0094
212698_s_at	SEPT10	-0.045	0.009
209656_s_at	TMEM47	-0.0437	0.0087
212526_at	SPG20	-0.0421	0.0084
212865_s_at	COL14A1	-0.0404	0.0081
204418_x_at	GSTM2	-0.0399	0.008
209522_s_at	CRAT	-0.0393	0.0079
204041_at	MAOB	-0.0377	0.0075
209288_s_at	CDC42EP3	-0.0363	0.0073
204550_x_at	GSTM1	-0.0354	0.0071
203998_s_at	SYT1	-0.0348	0.007
206799_at	SCGB1D2	-0.0339	0.0068
206401_s_at	MAPT	-0.0333	0.0067
202833_s_at	SERPINA1	-0.0309	0.0062
213900_at	C9orf61	-0.0308	0.0062
209835_x_at	CD44	-0.0303	0.0061
202502_at	ACADM	-0.0301	0.006
203799_at	CD302	-0.0299	0.006
215333_x_at	GSTM1	-0.0282	0.0056
205948_at	PTPRT	-0.027	0.0054
200766_at	CTSD	-0.0263	0.0053
206509_at	PIP	-0.0227	0.0045
218502_s_at	TRPS1	-0.0191	0.0038
204731_at	TGFBR3	-0.0185	0.0037
202350_s_at	MATN2	-0.018	0.0036
212582_at	OSBPL8	-0.0177	0.0035
203355_s_at	PSD3	-0.0156	0.0031
211596_s_at	LRIG1	-0.0155	0.0031
219725_at	TREM2	-0.0125	0.0025
218901_at	PLSCR4	-0.012	0.0024
213702_x_at	ASAH1	-0.0113	0.0023
200704_at	LITAF	-0.0108	0.0022
211429_s_at	SERPINA1	-0.0106	0.0021
221675_s_at	CHPT1	-0.0096	0.0019
203354_s_at	PSD3	-0.0095	0.0019
218613_at	PSD3	-0.0079	0.0016
214440_at	NAT1	-0.0062	0.0012
201497_x_at	MYH11	-0.0049	0.001
212224_at	ALDH1A1	-0.0022	0.0004
221521_s_at	Pfs2	0.0009	-0.0002
207131_x_at	GGT1	0.0036	-0.0007
1438_at	EPHB3	0.004	-0.0008
211416_x_at	GGTLA4	0.0066	-0.0013
205943_at	TDO2	0.0082	-0.0016
203287_at	LAD1	0.0116	-0.0023
210797_s_at	OASL	0.0184	-0.0037
203954_x_at	CLDN3	0.0221	-0.0044
221582_at	HIST3H2A	0.031	-0.0062
221690_s_at	NALP2	0.0386	-0.0077
218952_at	PCSK1N	0.0416	-0.0083
204678_s_at	KCNK1	0.0432	-0.0086
213036_x_at	ATP2A3	0.0449	-0.009
204698_at	ISG20	0.0452	-0.009
203108_at	GPRC5A	0.056	-0.0112
207522_s_at	ATP2A3	0.0576	-0.0115
201791_s_at	DHCR7	0.071	-0.0142
205660_at	OASL	0.0853	-0.0171
33304_at	ISG20	0.0919	-0.0184
208056_s_at	CBFA2T3	0.097	-0.0194
204679_at	KCNK1	0.1823	-0.0365
210297_s_at	MSMB	0.2308	-0.0462
207430_s_at	MSMB	0.2522	-0.0504
203824_at	TSPAN8	0.4556	-0.0911
