Probe set ID	Gene title	Gene symbol	Control mean	Knockdown mean	Fold change
31845_at	E74-like factor 4 (ets domain transcription factor)	ELF4	127.07	206.93	1.63
212803_at	NGFI-A binding protein 2 (EGR1 binding protein 2)	NAB2	58.34	100.66	1.73
200071_at	Survival motor neuron domain containing 1 /// survival motor neuron domain containing 1	SMNDC1	125.07	203.15	1.62
201849_at	BCL2/adenovirus E1B 19 kDa interacting protein 3	BNIP3	388.2	839.14	2.16
203752_s_at	jun D proto-oncogene	JUND	334.89	517.01	1.54
202130_at	RIO kinase 3 (yeast) /// RIO kinase 3 (yeast)	RIOK3	264.12	594.88	2.25
217028_at	Chemokine (C-X-C motif) receptor 4	CXCR4	289.91	825.13	2.85
210512_s_at	Vascular endothelial growth factor	VEGF	246.85	605.29	2.45
210999_s_at	Growth factor receptor-bound protein 10	GRB10	94.97	191.53	2.02
202769_at	Cyclin G2	CCNG2	92.59	194.52	2.1
48531_at	TNFAIP3 interacting protein 2	TNIP2	99.64	180.05	1.81
203438_at	Stanniocalcin 2	STC2	67.75	143.26	2.11
204348_s_at	Adenylate kinase 3-like 1	AK3L1	102.15	168.36	1.65
221012_s_at	Tripartite motif-containing 8 /// tripartite motif-containing 8	TRIM8	78.69	126.1	1.6
212873_at	Minor histocompatibility antigen HA-1	HA-1	50.04	90.97	1.82
201054_at	Heterogeneous nuclear ribonucleoprotein A0	HNRPA0	191.22	105.58	-1.81
209624_s_at	Methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	MCCC2	111.91	70.95	-1.58
218504_at	Fumarylacetoacetate hydrolase domain containing 2A	FAHD2A	237.19	163.4	-1.45
218755_at	Kinesin family member 20A	KIF20A	147.54	81.03	-1.82
214880_x_at	Caldesmon 1	CALD1	136.94	98.25	-1.39
202779_s_at	Ubiquitin-conjugating enzyme E2S	UBE2S	1286.89	637.23	-2.02
217202_s_at	Glutamate-ammonia ligase (glutamine synthase)	GLUL	66.36	37.19	-1.78
215728_s_at	Brain acyl-CoA hydrolase	BACH	113.1	85.22	-1.33
207388_s_at	Prostaglandin E synthase	PTGES	195.91	88.94	-2.2
210338_s_at	Heat shock 70 kDa protein 8	HSPA8	2700	1461.2	-1.85
