Gene ID	Gene symbol	Gene description	MGd† FC	P	Zinc‡ FC	P	MGd + zinc§ FC	P
7779	SLC30A1	Solute carrier family 30 (zinc transporter), member 1	7.6	0	7.3	0.005	20	0.001
4502	MT2A	Metallothionein 2A	5.5	0	8.2	0.004	42.4	0.003
54541	DDIT4	DNA damage–inducible transcript 4	5.2	0	3.7	0.006	30.1	0.001
4501	MT1X	Metallothionein 1X	4.9	0.001	7.3	0.005	34.3	0.002
AF333388¶	—	Metallothionein 1 H-like protein	3.7	0.002	7.5	0.002	26.4	0.013
4494	MT1F	Metallothionein 1F (functional)	3.5	0	4.7	0.001	18.7	0.003
AF078844¶	—	Hqp0376 protein	2.6	0.004	3.4	0.001	10.6	0.005
3303	HSPA1A	Heat shock 70 kDa protein 1A	2.3	0.002	2.2	0.002	26.7	0.001
57181	SLC39A10	Solute carrier family 39 (zinc transporter), member 10	2.1	0.002	1.9	0.006	2.8	0.003
3304	HSPA1B	Heat shock 70 kDa protein 1B	1.9	0.004	1.7	0.01	10.7	0
54583	EGLN1	Egl nine homologue1 (C. elegans)	1.8	0	2	0.001	3.3	0
5567	PRKACB	Protein kinase, cAMP-dependent, catalytic, ?	1.8	0.003	1.4	0.007	1.8	0.001
113791	MGC17330	HGFL gene	1.6	0.004	2.3	0.024	4.8	0.002
5209	PFKFB3	6-Phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1.6	0	1.5	0.014	2	0.004
2976	GTF3C2	General transcription factor IIIC, polypeptide 2, ?110 kDa	1.6	0	1.9	0.042	1.9	0.013
55818	JMJD1A	Jumonji domain containing 1A	1.6	0.001	1.4	0.001	1.8	0.001
115330	GPR146	G protein-coupled receptor 146	1.6	0.003	1	0.585	1.6	0.002
54407	SLC38A2	Solute carrier family 38, member 2	1.6	0.002	2.2	0.002	9.2	0.001
154743	FLJ31818	Hypothetical protein FLJ31818	1.5	0	1.4	0	3.1	0.006
55900	ZNF302	Zinc finger protein 302	1.5	0.001	1.5	0.014	1.8	0.006
AI339606¶	—	—	?1.5	0.005	?1.4	0.013	?1.8	0.002
7752	ZNF200	Zinc finger protein 200	?1.7	0.005	?1.9	0.009	?2.1	0
55114	ARHGAP17	Rho GTPase activating protein 17	?1.8	0.001	?2.2	0	?4.7	0
1839	DTR	Diphtheria toxin receptor	?1.8	0.003	?1.7	0.013	?1.6	0.013
1102	CHC1L	Chromosome condensation 1-like	?1.8	0.003	?1.5	0.031	?2.6	0.001
57181	SLC39A10	Solute carrier family 39 (zinc transporter), member 10	?2.4	0.005	?2.4	0.005	?2.4	0.005
