Symbol	Fold change	Gene assignment	Function/activity/tissue	Cluster category	GenBank accession no.
Shmt1	1.87	serine hydroxymethyl transferase 1 (soluble)	hydroxymethyltransferase	amino acid metabolism	X94478
Pald	2.78	paladin	protein Tyr/Ser/Thr phosphatase	amino acid metabolism	AV266918
Tyrp1	4.89	tyrosinase-related protein 1	monooxygenase, melanin biosynthesis	amino acid metabolism	AV237026
Agtrap	1.82	angiotensin II, type I receptor-associated protein	receptor	cardiovascular regulation	AA407794
Pcdha11	1.85	protocadherin a11	calcium binding	cell adhesion	AB008182
SMAF1	2.28	SMAF1	transactivation	cell determination	AI118905
Gap43	2.07	growth associated protein 43/neuromodulin	nerve growth factor pathway/neuron outgrowth	cell growth	AI841303
Nfatc2	2.22	nuclear factor of activated T-cells, cytoplasmic 2	transcription factor-muscle	cell growth	U36576
Tmeff2	4.6	transmembrane protein with epidermal growth factor–like and two follistatin-like domains 2	serine protease inhibitor	cell growth	AB017270
Cdc25a	6.15	cell division cycle 25 homologue A (S. cerevisiae)	protein tyrosine phosphatase	cell growth	AV315419
Dusp9	2.36	dual specificity phosphatase 9	protein phosphatase	cell growth regulation	AV225351
Wnt3	1.78	wingless-related MMTV integration site 3	receptor ligand	cell growth /maintenance	M32502
Igf2bp1	1.79	insulin-like growth factor 2, binding protein 1	signal transduction pathway	cell growth /maintenance	AF061569
Flt3l	3.9	FMS-like tyrosine kinase 3 ligand	cytokine	cell growth /maintenance	L23636
Epha2	2.12	Eph receptor A2	receptor tyrosine-kinase	cell growth/ positioning	U07634
Ptk2	2.28	protein tyrosine kinase 2	protein tyrosine kinase-focal contacts	cell motility	AV233274
Mcl1	2.5	myeloid cell leukemia sequence 1	antiapoptotic factor-myeloid	cell survival	AV257057
Dhh	1.84	desert hedgehog	peptidase	cell-cell signaling	AV321877
Tekt1	3.45	tektin 1	filament forming protein-spermatocytes	cytoskeleton dynamics	AF081947
Lhx1	1.81	LIM homeobox protein 1	transcription factor	development	Z27410
Six3	3.55	sine oculis-related homeobox 3 homologue (Drosophila)	transactivation, inhibitory toward Wnt1 expression	development	X90871
Tk1	2.66	thymidine kinase 1	thymidine kinase	DNA biosynthesis	AV227393
4733401H14Rik	2.23	RIKEN cDNA 4733401H14 gene	DNase	DNA metabolism	AA607761
Ddx25	2.6	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 25	helicase	DNA replication	AA982686
Odz4/Doc4	1.79	odd Oz/ten-m homologue 4 (Drosophila)	pair-rule gene homologue	ER stress response	AB025413
Elovl3	2.51	elongation of very long chain fatty acids-like 3	integral ER protein	fatty acid metabolism	U97107
C9	2.11	complement component 9	part of complement membrane attackcomplex	immune response	X05475
NA	2.51	MCT8_MOUSE Mast cell protease 8 precursor (MMCP-8)	protease	immune response	AV373223
S100a9	3.23	S100 calcium binding protein A9 (calgranulin B)	macrophage expressed during inflammation	immune response	M83219
Cd97	4.06	CD97 antigen	G-protein coupled receptor	immune response	Y18365
Il4	6.61	interleukin 4	cytokine/B cell activation	immune response	X03532
Slc9a1	1.94	solute carrier family 9 (sodium/hydrogen exchanger), member 1	ion channel	membrane transport	U51112
Viaat	1.97	vesicular inhibitory amino acid transporter	g-aminobutyric acid (g-GABA) and glycine transporter-neural tissue	membrane transport	AJ001598
Gria4	2.15	glutamate receptor, ionotropic, AMPA4 (a4)	ion channel	membrane transport	AB022913
Ryr2	3.07	ryanodine receptor 2, cardiac	ion channel-cardiac	membrane transport	X78667
Nudel-pending	3.3	nuclear distribution gene E-like	retrograde axon cargo transport	microtubule transport	AW047320
Skd3	1.9	suppressor of K+ transport defect 3	transcription factor	mitochondrial biogenesis	AV332176
Mrg1	2.04	myeloid ecotropic viral integration site-related gene 1	transcription factor	morphogenesis	U68383
Pcsk4	2.34	proprotein convertase subtilisin/kexin type 4	convertase	protein degradation	D01093
Mmp16	1.88	matrix metalloproteinase 16	metallopeptidase	protein processing	AB021228
Cct6a	1.99	chaperonin subunit 6a (~)	protein folding	protein processing	Z31557
Rab3a	4.18	RAB3A, member RAS oncogene family	small monomeric GTPase	protein trafficking	AV347669
