Probe ID	Gene symbol	Gene title	P value	Expression difference
222212_s_at	LASS2	LAG1 homolog, ceramide synthase 2 (S. cerevisiae)	0.00994267	2.089295578
219263_at	RNF128	ring finger protein 128	0.005459376	2.042598735
202983_at	HLTF	helicase-like transcription factor	0.006979265	2.002633499
212586_at	CAST	calpastatin	0.003027299	2.014791922
208896_at	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	0.00738353	2.003112934
1557418_at	ACSL4	Acyl-CoA synthetase long-chain family member 4	0.00690872	2.048146301
207828_s_at	CENPF	centromere protein F, 350/400ka (mitosin)	0.005771812	2.038776322
215129_at	PIK3C2G	phosphoinositide-3-kinase, class 2, gamma polypeptide	0.007951596	2.04341249
212907_at	SLC30A1	Solute carrier family 30 (zinc transporter), member 1	0.009998384	2.157474336
221761_at	ADSS	adenylosuccinate synthase	0.006034444	2.072275767
209239_at	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	0.008638414	2.024739336
218096_at	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	0.004083691	2.044567674
218028_at	ELOVL1	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	0.005901804	2.089187891
1558675_s_at	SDCCAG1	serologically defined colon cancer antigen 1	0.005558976	2.086337151
201772_at	AZIN1	antizyme inhibitor 1	0.00716033	2.122439686
219492_at	CHIC2	cysteine-rich hydrophobic domain 2	0.005649957	2.045128592
203432_at	TMPO	thymopoietin	0.005179073	2.066866203
205576_at	SERPIND1	serpin peptidase inhibitor, clade D (heparin cofactor), member 1	0.001977273	2.030600346
227801_at	TRIM59	tripartite motif-containing 59	0.006424182	2.095688864
212388_at	USP24	ubiquitin specific peptidase 24	0.007984874	2.112876406
222608_s_at	ANLN	anillin, actin binding protein	0.004991328	2.04972152
214837_at	ALB	albumin	0.005417262	2.100405397
218566_s_at	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing 1	0.002475178	2.051953958
228090_at	NMNAT3	nicotinamide nucleotide adenylyltransferase 3	0.009728994	2.145796895
203356_at	CAPN7	calpain 7	0.00265415	2.00045506
225847_at	AADACL1	arylacetamide deacetylase-like 1	0.008927656	2.199150929
221675_s_at	CHPT1	choline phosphotransferase 1	0.006991705	2.036644215
225133_at	KLF3	Kruppel-like factor 3 (basic)	0.00625765	2.129094907
201413_at	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	0.001056227	2.003604486
222781_s_at	C9orf40	chromosome 9 open reading frame 40	0.002686112	2.031409993
205364_at	ACOX2	acyl-Coenzyme A oxidase 2, branched chain	0.006381567	2.018170023
202190_at	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	0.00350699	2.059751204
236205_at	ABCC6P1	ATP-binding cassette, sub-family C, member 6 pseudogene 1	0.004245571	2.026996445
229455_at	---	Full length insert cDNA clone YZ04E02	0.002506858	2.090935289
229256_at	PGM2L1	phosphoglucomutase 2-like 1	0.007240869	2.136426709
218047_at	OSBPL9	oxysterol binding protein-like 9	0.007408676	2.048157232
204787_at	VSIG4	V-set and immunoglobulin domain containing 4	0.007031872	2.045104444
243758_at	CCDC37	coiled-coil domain containing 37	0.008317077	2.003474833
219960_s_at	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	0.00485691	2.138351064
224831_at	CPEB4	cytoplasmic polyadenylation element binding protein 4	0.008443706	2.116657188
213320_at	PRMT3	protein arginine methyltransferase 3	0.008811235	2.213546737
221063_x_at	RNF123	ring finger protein 123	0.004139816	2.122171786
222192_s_at	C2orf43	chromosome 2 open reading frame 43	0.004800174	2.065073031
230599_at	---	Transcribed locus	0.002264892	2.060987714
222680_s_at	DTL	denticleless homolog (Drosophila)	0.005055491	2.12485438
228822_s_at	USP16	ubiquitin specific peptidase 16	0.001545459	2.001781977
226608_at	LOC388272	similar to RIKEN cDNA 4921524J17	0.00420736	2.034803757
201491_at	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	0.002202136	2.013927602
202954_at	UBE2C	ubiquitin-conjugating enzyme E2C	0.001155074	2.004457906
221158_at	C21orf66	chromosome 21 open reading frame 66	0.003900222	2.038633217
219140_s_at	RBP4	retinol binding protein 4, plasma	0.000751014	2.049894061
223490_s_at	EXOSC3	exosome component 3	0.002775329	2.010640426
225761_at	PAPD4	PAP associated domain containing 4	0.001900125	2.081089034
236235_at	ITCH	Itchy homolog E3 ubiquitin protein ligase (mouse)	0.008868235	2.015644418
201196_s_at	AMD1	adenosylmethionine decarboxylase 1	0.000820378	2.052286198
226687_at	PRPF40A	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	0.008631406	2.068113077
225998_at	GAB1	GRB2-associated binding protein 1	0.006705256	2.211233901
225179_at	---	Full-length cDNA clone CS0DK002YG10 of HeLa cells Cot 25-normalized of Homo sapiens (human)	0.001750239	2.018949122
204245_s_at	RPP14	ribonuclease P 14kDa subunit	0.007986386	2.105230728
223405_at	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	0.006336895	2.094868943
212982_at	ZDHHC17	zinc finger, DHHC-type containing 17	0.008509618	2.04817451
215424_s_at	SNW1	SNW domain containing 1	0.005123463	2.127927222
204566_at	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	0.00941417	2.040536188
218098_at	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	0.005705165	2.216827066
212526_at	SPG20	spastic paraplegia 20 (Troyer syndrome)	0.000703713	2.036597179
200668_s_at	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	0.000381025	2.025762594
200798_x_at	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	0.009898234	2.235192176
201457_x_at	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	0.000388291	2.039003941
210779_x_at	SIP1	survival of motor neuron protein interacting protein 1	0.007045842	2.087543128
224812_at	HIBADH	3-hydroxyisobutyrate dehydrogenase	0.001070548	2.053597085
1554470_s_at	ZBTB44	zinc finger and BTB domain containing 44	0.00813853	2.005089498
218738_s_at	RNF138	ring finger protein 138	0.000704696	2.074042594
202352_s_at	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	0.000410973	2.053010764
209085_x_at	RFC1	replication factor C (activator 1) 1, 145kDa	0.00113044	2.081935573
1552790_a_at	TLOC1	translocation protein 1	0.009096173	2.025952626
209962_at	EPOR	erythropoietin receptor	0.009646968	2.270365649
217047_s_at	FAM13A1	family with sequence similarity 13, member A1	0.005131536	2.118953878
218487_at	ALAD	aminolevulinate, delta-, dehydratase	0.00447332	2.19389888
213375_s_at	CG018	hypothetical gene CG018	0.003597162	2.136568382
221531_at	WDR61	WD repeat domain 61	0.000171782	2.024427794
227638_at	KIAA1632	KIAA1632	0.000738898	2.087497522
212833_at	SLC25A46	solute carrier family 25, member 46	0.005996662	2.132499743
202283_at	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	0.002257647	2.036303881
220520_s_at	NUP62CL	nucleoporin 62kDa C-terminal like	0.006234128	2.140441087
202853_s_at	RYK	RYK receptor-like tyrosine kinase	0.006002072	2.186775689
214383_x_at	KLHDC3	kelch domain containing 3	0.002931302	2.017532207
205909_at	POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	0.00210357	2.126895682
231684_at	ANGPTL3	Angiopoietin-like 3	0.001132013	2.013258286
229850_at	---	Full length insert cDNA clone YX81F03	0.003313706	2.087526646
226025_at	ANKRD28	ankyrin repeat domain 28	0.000946331	2.007030096
217933_s_at	LAP3	leucine aminopeptidase 3	0.000286497	2.000233692
216870_x_at	DLEU2	deleted in lymphocytic leukemia, 2	0.007758555	2.211872725
201731_s_at	TPR	translocated promoter region (to activated MET oncogene)	0.005529257	2.05807357
206937_at	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	0.007905892	2.247741136
225455_at	TADA1L	transcriptional adaptor 1 (HFI1 homolog, yeast)-like	0.006882361	2.155660055
224960_at	SCYL2	SCY1-like 2 (S. cerevisiae)	0.003684085	2.059165399
225390_s_at	KLF13	Kruppel-like factor 13	0.000761563	2.106798618
212438_at	RY1	putative nucleic acid binding protein RY-1	0.006067187	2.127240459
226642_s_at	NUDCD2	NudC domain containing 2	0.003075289	2.054154132
221778_at	JHDM1D	jumonji C domain-containing histone demethylase 1 homolog D (S. cerevisiae)	0.004043862	2.03556914
203473_at	SLCO2B1	solute carrier organic anion transporter family, member 2B1	0.00213884	2.10037667
213463_s_at	KIAA0974	KIAA0974	0.007028372	2.007279436
209249_s_at	GHITM	growth hormone inducible transmembrane protein	0.00019402	2.04252809
224407_s_at		serine/threonine protein kinase MST4	0.002442338	2.081530581
217907_at	MRPL18	mitochondrial ribosomal protein L18	0.001100984	2.070249744
228656_at	PROX1	Prospero-related homeobox 1	0.002154708	2.041996281
225378_at	VPS37A	vacuolar protein sorting 37 homolog A (S. cerevisiae)	0.004404688	2.15564504
201052_s_at	PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	0.000791258	2.088007946
203447_at	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	0.001870916	2.104547315
201051_at	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	0.001801742	2.033032319
1559520_at	GYPA	Glycophorin A (MNS blood group)	0.00136835	2.11581139
212057_at	KIAA0182	KIAA0182	0.001341731	2.16094088
208996_s_at	POLR2C	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	0.002833818	2.068702312
223989_s_at	REXO2	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	0.006457057	2.116370383
204618_s_at	GABPB2	GA binding protein transcription factor, beta subunit 2	0.007221166	2.073272402
201237_at	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	0.002124153	2.106018149
201146_at	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	0.001224798	2.088736952
219498_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	0.008965587	2.298386636
203243_s_at	PDLIM5	PDZ and LIM domain 5	0.000338721	2.080356004
215649_s_at	MVK	mevalonate kinase (mevalonic aciduria)	0.004857029	2.166739934
206132_at	MCC	mutated in colorectal cancers	0.004211461	2.101275117
217584_at	NPC1	Niemann-Pick disease, type C1	0.001329653	2.066394526
223331_s_at	DDX20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	0.000317685	2.074136669
225580_at	MRPL50	mitochondrial ribosomal protein L50	0.007016524	2.315810655
202710_at	BET1	BET1 homolog (S. cerevisiae)	0.001073099	2.014135447
225340_s_at	CAPRIN1	cell cycle associated protein 1	0.000304845	2.033705796
239089_at	---	Transcribed locus	0.009479962	2.193531338
214543_x_at	QKI	quaking homolog, KH domain RNA binding (mouse)	0.000251003	2.068133069
202364_at	MXI1	MAX interactor 1	0.002713276	2.195890237
206065_s_at	DPYS	dihydropyrimidinase	0.005148102	2.142392542
206854_s_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	0.001647162	2.13693054
211994_at	WNK1	WNK lysine deficient protein kinase 1	0.001515017	2.170266954
217202_s_at	GLUL	glutamate-ammonia ligase (glutamine synthetase)	0.007600141	2.195376405
217736_s_at	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	0.002195605	2.178380505
203921_at	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	0.007807375	2.293277507
221669_s_at	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	0.000294334	2.003984217
212198_s_at	TM9SF4	transmembrane 9 superfamily protein member 4	0.001230983	2.040669164
208791_at	CLU	clusterin	0.005135648	2.235169578
209137_s_at	USP10	ubiquitin specific peptidase 10	0.000617191	2.03063991
207820_at	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	0.002038808	2.073999619
212277_at	MTMR4	myotubularin related protein 4	0.001797055	2.190246398
205078_at	PIGF	phosphatidylinositol glycan anchor biosynthesis, class F	0.005832908	2.11189103
226770_at	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	0.004063533	2.015496315
203594_at	RTCD1	RNA terminal phosphate cyclase domain 1	0.000333719	2.078234776
226391_at	---	CDNA FLJ36704 fis, clone UTERU2009335	0.000875214	2.122110584
224883_at	PLDN	pallidin homolog (mouse)	0.000973084	2.069626028
204107_at	NFYA	nuclear transcription factor Y, alpha	0.000819444	2.001847209
202199_s_at	SRPK1	SFRS protein kinase 1	0.006537985	2.050669577
200857_s_at	NCOR1	nuclear receptor co-repressor 1	0.001111182	2.162889276
224692_at	PPP1R15B	protein phosphatase 1, regulatory (inhibitor) subunit 15B	0.000742461	2.146228245
205719_s_at	PAH	phenylalanine hydroxylase	0.0055812	2.259575708
203199_s_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	0.003223218	2.06880352
201068_s_at	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	2.90E-05	2.049521453
207180_s_at	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	0.004933132	2.31941764
202918_s_at	PREI3	preimplantation protein 3	0.00154343	2.156618797
1552344_s_at	CNOT7	CCR4-NOT transcription complex, subunit 7	0.002666461	2.018521711
223982_s_at	PNPLA8	patatin-like phospholipase domain containing 8	0.003392425	2.173751607
223250_at	KLHL7	kelch-like 7 (Drosophila)	0.000747291	2.143838713
209284_s_at	C3orf63	chromosome 3 open reading frame 63	0.007255744	2.365924363
218226_s_at	LOC727762	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa	1.45E-05	2.043012486
227516_at	SF3A1	splicing factor 3a, subunit 1, 120kDa	0.003490346	2.252186669
227245_at	C12orf30	chromosome 12 open reading frame 30	5.13E-05	2.026807527
217956_s_at	ENOPH1	enolase-phosphatase 1	0.005078207	2.114093581
212036_s_at	PNN	pinin, desmosome associated protein	0.001668964	2.025204767
216521_s_at	BRCC3	BRCA1/BRCA2-containing complex, subunit 3	0.000272901	2.011397005
1553567_s_at	ATP13A5	ATPase type 13A5	0.000208694	2.080298028
228497_at	SLC22A15	solute carrier family 22 (organic cation transporter), member 15	0.00087988	2.096375836
200097_s_at	HNRPK	heterogeneous nuclear ribonucleoprotein K	0.00026283	2.005329815
1560342_at	---	CDNA clone IMAGE:5275043	0.003355263	2.189069431
218389_s_at	APH1A	anterior pharynx defective 1 homolog A (C. elegans)	0.004193275	2.214934037
