Accession no.	Gene name	Symbol	Ratio Mean +/- SE
AA495936	Glutathione S-transferase, microsomal 1	MGST1	10.2 ± 4.4 (3)
AA969184	Cytokine inducible nuclear protein (= cardiac ankyrin repeat protein)	CARP	10.1 ± 4.6 (3)
AA454646	Lymphotoxin-beta receptor precursor	LTB	9.9 ± 4.3 (2)
H63077	Annexin I (lipocortin I)	ANX1	9.3 ± 2.7 (2)
AA670438	Ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	UCHL1	8.2 ± 4.0 (2)
T77595	Hexabrachion (tenascin C, cytotactin)	HXB	6.8 ± 4.4 (2)
R60343	5 Nucleotidase (CD73)	NT5	6.2 ± 2.9 (3)
H99816	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	PLOD2	5.7 ± 2.0 (3)
AA598601	Insulin-like growth factor binding protein 3	IGFBP3	5.3 ± 1.3 (2)
H15718	AXL receptor tyrosine kinase	AXL	5.1 ± 3.1 (2)
AA598610	Mesoderm specific transcript (mouse) homolog	MEST	4.9 ± 0.4 (3)
AA677534	H.sapiens mRNA for laminin	NA	4.8 ± 2.0 (3)
R43605	Homeobox protein Cux-2 (Cut-like 2) [KIAA0293]	CUTL2	4.7 ± 0.5 (2)
AA401111	Glucose phosphate isomerase	GPI	4.4 ± 0.6 (4)
H15662	Cytoplasmic linker 2	CYLN2	4.2 ± 1.3 (2)
AA885311	Butyrylcholinesterase	BCHE	4.1 ± 0.6 (2)
H15662	Cytoplasmic linker 2 isoform 2 (Williams Beuren syndrome) [KIAA0291]	NA	4.1 ±1.1 (2)
H87471	Human L-kynurenine hydrolase (kynureninase)	KYNU	4.0 ± 1.5 (2)
T72877	Interleukin 1 receptor antagonist	IL1RN	4.0 ± 1.6(3)
R60995	Homo sapiens Coch-5B2 (Cochlin precursor)	COCH1	3.8 ± 1.1 (3)
AA455538	NAD(P)H:menadione oxidoreductase	NMOR1	3.8 ± 0.9 (3)
AA406242	Glucose-6-phosphate dehydrogenase	G6PD	3.7 ± 1.3 (2)
AA488336	Keratin 17	KRT17	3.6 ± 0.3 (2)
AA670382	H.sapiens mRNA for 3UTR of unknown protein	NA	3.6 ± 0.0 (2)
N62620	Two P-domain K+ channel, subfamily K, member 1	TWIK1	3.5 ± 1.2 (2)
H45711	Zinc finger transcription factor hEZF	EZF	3.4 ± 1.2 (2)
AA418918	Nuclear autoantigen GS2NA (striatin-3, Ca+2/calcmodulin-binding)	GS2NA	3.4 ± 0.7 (3)
AA680300	Member of PAS protein 2 (MOP2, also called HIF2?)	MOP2	3.4 ± 0.5 (3)
AA875933	Extracellular protein (S1-5) [EGF-containing fibulin-like, fibulin-3]	FIBL3	3.3 ± 1.1 (2)
R78725	Vitamin A responsive; cytoskeleton related	JWA	3.3 ± 0.8 (2)
W73474	Glutathione S-transferase, microsomal 2	MGST2	3.3 ± 1.3 (2)
AA488073	Mucin 1, transmembrane	MUC1	3.3± 1.2 (3)
H59915	Human brain mRNA homologous to 3UTR of human CD24 gene	NA	3.3 ± 0.5 (3)
T74192	Plasma protein S (alpha) [regulation of blood coagulation]	PROS1	3.3 ± 0.6 (3)
T55558	Colony-stimulating factor 1 (M-CSF)	CSF1	3.2 ± 0.6 (3)
N93686	Aldehyde dehydrogenase 7	ALDH7	3.2 ± 0.4 (2)
AA424937	Glucose-6-phosphate dehydrogenase	G6PD	3.1 ± 0.6 (2)
AA490684	Non-lens beta gamma-crystallin like protein [absent in melanoma 1 (AIM1)]	AIM1	3.1 ± 0.3 (2)
AA262988	Brain-derived neurotrophic factor	BDNF	3.0 ± 0.1 (2)
AA432066	Sarcoglycan, epsilon [component of dystrophin complex]	SGCE	3.0 ± 0.7 (2)
AA458965	Natural killer cells protein 4 precursor	NA	3.0 ± 1.0 (2)
H44956	Fumarylacetoacetate hydrolase	FAH	2.9 ± 0.2 (4)
AA599158	Multifunctional aminoacyl-tRNA synthetase	SYHUQT	2.9 ± 0.3 (2)
AA115076	msg1-related gene 1 (mrg1) [P35srj, p300/CBP-interacting transactivator]	MRG1	2.9 ± 0.3 (2)
AA894557	Creatine kinase B	CKB	2.9 ± 0.9 (2)
