Symbol	Name	Gene Ontology
Gzma	Granzyme A	Apoptosis
Pde1b	Phosphodiesterase 1B, Ca2+-calmodulin dependent, 63 kd	Calmodulin binding
Vcam1	Vascular cell adhesion molecule 1	Cell adhesion
Ppm1g	Fibroblast growth factor inducible 13 (FIN13)	Cell cycle
Ccng	Cyclin G	Cell cycle control
Yes	Yamaguchi sarcoma viral (v-yes) oncogene homolog	Cell cycle regulator
Vav2	Vav2 oncogene	Cell cycle regulator
Fos	FBJ osteosarcoma oncogene	Cell cycle regulator
Hsp70-2	Heat shock protein, 70 kd 2	Chaperone
Fosl2	fos-like antigen 2	DNA binding
Hox11l1	Homeobox 11-like 1	DNA binding
Rbpsuh	Recombining binding protein suppressor of hairless (Drosophila)	DNA recombination
Madh4	MAD homolog 4	Morphogenesis
Gna13	Guanine nucleotide binding protein, ? 13	GTP binding
Gnao	Guanine nucleotide binding protein, ? o	GTP binding
Sh3bp1	SH3 domain-binding protein 1	GTPase activator
Notch1	Notch gene homolog 1	Organogenesis
Eif2ak2	Eukaryotic translation initiation factor 2 ? kinase 2	Immune response
Scya2	Small inducible cytokine A2	Inflammatory response
Pla2g7	Phospholipase A2 group VII (platelet-activating factor acetylhydrolase)	Inflammatory response
Apba2	Amyloid ? (A4) precursor protein-binding, family A, member 2	Intracellular protein traffic
Hegfl	Heparin-binding epidermal growth factor-like growth factor	Membrane fraction
Kif1b	Kinesin heavy chain member 1B	Microtubule motor
Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich C-terminal domain, 2	Nucleus
Psmc4	Proteasome (prosome, macropain) 26S subunit, ATPase, 4	Nucleus
Crat	Carnitine acetyltransferase	Peroxisome
Acox	Acyl-Coenzyme A oxidase	Peroxisome
Cd63	Cd63 antigen	Plasma membrane
Cd152	CD152 antigen	Plasma membrane
Cd14	Cd14	Posttranslational targeting
Ptpn8	Protein tyrosine phosphatase, nonreceptor type 8	Protein tyrosine phosphatase
Expi	Extracellular proteinase inhibitor	Proteinase inhibitor
Es1	Esterase 1	Serine esterase
Serpinb2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	Serine protease inhibitor
Foxd3	Forkheadbox D3	Transcription regulation
Hnf4	Hepatic nuclear factor 4	Transcription regulation
Hoxb4	Homeobox B4	Transcription regulation
Klf1	Kruppel-like factor 1 (erythroid)	Transcription regulation
Mid1	Midline 1	Transcription regulation
Nfatc3	Nuclear factor of activated T cells, cytoplasmic 3	Transcription regulation
Stat4	Signal transducer and activator of transcription 4	Transcription regulation
Tcf1	Transcription factor 1	Transcription regulation
Xbp1	X box binding protein	Transcription regulation
Ybx1	Y box protein 1	Transcription regulation
Zfp038	Zinc finger protein 38	Transcription regulation
Zfp100	Zinc finger protein 100	Transcription regulation
Zfp216	Zinc finger protein 216	Transcription regulation
ZNF183	Zinc finger protein 183 (RING finger, C3HC4 type)	Transcription regulation
Hoxd12	Homeobox D12	Transcription regulation
LATS2	Serine/threonine kinase KPM	Tumor suppressor
