Probe set ID	Accession	RefSeq	Fold Change	GO Category	Symbol	Gene Name
34443_at	R61362	---	19.87	unknown	---	Unknown protein [Homo sapiens], mRNA sequence
39930_at	D83492	NM_004445	15.09	cell surface receptor linked signal transduction	EPHB6	EphB6
203_at	M68891	NM_002050	14.55	transcription	GATA2	GATA binding protein 2
35243_at	AA535884	---	14.07	cell cycle	PCTK3	PCTAIRE protein kinase 3
37605_at	L10347	---	13.82	unknown	---	---
39023_at	AF020038	NM_005896	13.10	metabolism	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble
40511_at	X58072	NM_002051	12.76	transcription	GATA3	GATA binding protein 3
41014_s_at	AF048722	NM_000325	12.44	transcription	PITX2	paired-like homeodomain transcription factor 2
34202_at	AL050071	NM_015480	10.16	unknown	PVRL3	poliovirus receptor-related 3
37194_at	M68891	NM_002050	9.02	transcription	MGC2306	hypothetical protein MGC2306
32968_s_at	AL050253	---	7.62	unknown	SEZ6L	seizure related 6 homolog (mouse)-like
32988_at	Z30643	NM_004070	6.88	ion transport	CLCNKA	chloride channel Ka
36701_at	AL080093	---	6.59	unknown	---	Homo sapiens mRNA; cDNA DKFZp564N1662 (from clone DKFZp564N1662), mRNA sequence
40518_at	Y00062	NM_002838	6.33	cell surface receptor linked signal transduction	PTPRC	protein tyrosine phosphatase, receptor type, C
34382_at	AJ003112	NM_000555	6.27	neurogenesis	DCX	doublecortex; lissencephaly, X-linked (doublecortin)
33601_at	AF052145	---	6.19	unknown	---	Homo sapiens clone 24400 mRNA sequence
32521_at	AF056087	NM_003012	6.16	apoptosis	SFRP1	secreted frizzled-related protein 1
35354_at	AL022326	NM_004711	5.89	integral membrane	SYNGR1	synaptogyrin 1
34981_at	M55513	NM_002234	5.87	ion transport	KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5
912_s_at	M21056	---	5.73	unknown	---	---
37580_at	AF036271	NM_003027	5.72	neurogenesis	SH3GL3	SH3-domain GRB2-like 3
821_s_at	U78793	NM_000802	5.66	transport	FOLR1	folate receptor 1 (adult)
33735_at	AB023144	---	5.54	unknown	SEZ6L	seizure related 6 homolog (mouse)-like
36821_at	AL050367	---	5.47	unknown	---	Hypothetical protein [Homo sapiens], mRNA sequence
33352_at	X57985	NM_003528	5.43	cell organization and biogenesis	HIST2H2BE	histone 2, H2be
40753_at	AF053136	NM_003085	5.41	signal transduction	---	Synuclein, beta [Homo sapiens], mRNA sequence
41325_at	AF006823	NM_002246	5.08	neurophysiological process	KCNK3	potassium channel, subfamily K, member 3
39575_at	AF052143	NM_018836	5.07	unknown	MOT8	hypothetical protein MOT8
41287_s_at	W28510	---	4.85	signal transduction	---	Homo sapiens calmodulin-I (CALM1) mRNA, 3UTR, partial sequence, mRNA sequence
36149_at	D78014	NM_001387	4.61	neurogenesis	DPYSL3	dihydropyrimidinase-like 3
40193_at	X51956	NM_001975	4.52	metabolism	ENO2	enolase 2, (gamma, neuronal)
37407_s_at	AF013570	NM_002474	4.32	cell motility	MYH11	myosin, heavy polypeptide 11, smooth muscle
424_s_at	X66945	NM_000604	4.27	cell surface receptor linked signal transduction	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
38750_at	U97669	NM_000435	4.26	transcription	NOTCH3	Notch homolog 3 (Drosophila)
34281_at	AF039555	NM_003385	4.23	neurogenesis	VSNL1	visinin-like 1
39550_at	AB011156	NM_015101	4.15	biosynthesis	C1orf17	chromosome 1 open reading frame 17
37195_at	M14565	NM_000781	4.12	biosynthesis	CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1
34183_at	AL080169	NM_015621	4.09	unknown	DKFZP434C171	DKFZP434C171 protein
1764_s_at	D85131	NM_002383	3.88	transcription	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)
225_at	M31328	NM_002075	3.86	cell surface receptor linked signal transduction	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3
36768_at	D82347	NM_002500	3.81	neurogenesis	NEUROD1	neurogenic differentiation 1
33359_at	AB018311	NM_015236	3.75	metabolism	LEC3	KIAA0768 protein
1467_at	U12535	NM_004447	3.73	cell surface receptor linked signal transduction	EPS8	epidermal growth factor receptor pathway substrate 8
33890_at	AB008109	NM_003617	3.63	cell surface receptor linked signal transduction	RGS5	regulator of G-protein signalling 5
34412_s_at	U59632	NM_002688	3.60	cell adhesion	PNUTL1	peanut-like 1 (Drosophila)
38336_at	AB023230	---	3.51	unknown	KIAA1013	KIAA1013 protein
32919_at	AC_004010	---	3.43	unknown	---	Unknown (protein for IMAGE:3625286) [Homo sapiens], mRNA sequence
32076_at	D83407	NM_005822	3.30	unknown	DSCR1L1	Down syndrome critical region gene 1-like 1
36941_at	U16954	NM_006818	3.30	oncogenesis	AF1Q	ALL1-fused gene from chromosome 1q
34208_at	U79245	NM_020708	3.29	ion transport	SLC12A5	solute carrier family 12, (potassium-chloride transporter) member 5
39288_at	AI951798	NM_021189	3.27	integral membrane	NECL1	nectin-like protein 1
38313_at	AB028985	NM_001606	3.27	transport	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2
2054_g_at	M34064	NM_001792	3.23	cell adhesion	CDH2	cadherin 2, type 1, N-cadherin (neuronal)
32135_at	U00968	NM_004176	3.21	transcription	SREBF1	sterol regulatory element binding transcription factor 1
40351_at	M31328	NM_002075	3.21	cell surface receptor linked signal transduction	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3
