Genesymbol	Gene	Exp. in HCC	MaIsreg. by	Expression
CAP2	CAP, adenylate cyclase-associated protein, 2	+	aI	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
CSF1	Colony stimulating factor 1 (macrophage)	+	aI	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
GPC3	Glypican 3	+	aI, bN	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
HDAC1	Histone deacetylase 1	+	aI	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
HDAC5	Histone deacetylase 5	+	aI	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
PROM1	Prominin 1	+	aI, bN	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
TTR	Transthyretin (prealbumin, amyloidosis type I)	+	aI	Repressed by WT, not mutant TR, or activated by mutant, not WT TR
C1S	Complement component 1, s subcomponent	-	aI	Activated by WT, not mutant TR
CES1	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)	-	aI	Activated by WT, not mutant TR
HMOX1	Heme oxygenase (decycling) 1	-	aI	Activated by WT, not mutant TR
PCK1	Phosphoenolpyruvate carboxykinase 1	-	bN	Activated by WT, not mutant TR
PLAGL1	Pleiomorphic adenoma gene-like 1	-	aI	Activated by WT, not mutant TR
PTAFR	Platelet-activating factor receptor	-	aI, bN	Activated by WT, not mutant TR
SERPINF2	Serpin peptidase inhibitor, clade F, member 2	-	aI	Activated by WT, not mutant TR
TIMP3	TIMP metallopeptidase inhibitor 3	-	aI	Activated by WT, not mutant TR
