Gene	CHOP HR	P	2-yr OS, %	CHOP plus R HR	P	2-yr OS, %
BCL6	0.65	.008†	69, 52	0.62	.007†	82, 69
GCET1 (SERPINA9)	0.75	.01†	69, 53	0.62	.013†	83, 68
GCET2	0.93	0.608	59, 66	0.93	0.608	77, 74
HLA-DPA1	0.71	.036†	63, 58	0.77	0.115	84, 68
HLA-DQA1	1.14	0.35	63, 62	0.65	0.02	83, 68
HLA-DRA	0.72	.02†	63, 58	0.91	0.58	84, 68
HLA-DRB	0.98	0.921	58, 66	0.71	.030†	89, 62
ACTN1	0.66	.03†	73, 49	0.62	.011†	85, 66
COL3A1	0.78	.016†	71, 50	0.67	.029†	81, 69
CTGF	0.79	.026†	75, 45	0.8	0.211	84, 67
FN1	0.77	.01†	67, 54	0.73	0.078	78, 73
FAM38A	1.16	0.462	61, 60	0.85	0.426	80, 71
PLAU	0.73	0.122	68, 54	0.56	.001†	84, 67
MYC	1.4	.047†	54, 67	1.64	.007†	65, 86
C20ORF155	1.32	0.369	52, 70	1.03	0.851	72, 79
NPM3	1.27	0.25	58, 64	1.22	0.303	74, 76
BMP6	1.26	0.216	64, 60	0.86	0.402	77, 74
LMO2	1.03	0.832	57, 64	0.62	.011†	82, 69
BCL2	1.44	.018†	57, 66	1.11	0.569	71, 80
CCL3	1.4	0.062	48, 73	0.82	0.296	84, 67
CCND2	1.45	.002†	53, 69	1.23	0.271	76, 75
DRP2	1.02	0.878	66, 60	0.94	0.719	75, 76
PRKCB1	1.47	.028†	51, 71	0.99	0.951	79, 73
PDCD4	1.89	.001†	50, 73	1.53	.023†	67, 84
MAP1B	1.05	0.772	63, 64	0.94	0.717	78, 72
TLE1	1.6	.001†	42, 80	1.16	0.428	70, 81
SLC25A13	1.15	0.676	58, 63	0.89	0.54	78, 73
PDE4B	1.19	0.423	56, 64	1.17	0.402	75, 76
B4GALT1	1.87	.001†	49, 71	0.82	0.258	80, 72
PRKCG	1.05	0.701	49, 72	1.02	0.924	77, 71
OVGP1	1.25	0.279	52, 73	1.02	0.924	77, 71
NR4A3	1.3	0.151	49, 71	0.8	0.227	72, 80
ZNF212	0.99	0.965	58, 64	1.04	0.81	73, 78
HTR2B	1.04	0.834	48, 68	0.76	0.21	81, 64
CAT	1.24	0.5	54, 67	0.99	0.962	80, 71
SOD2	1.1	0.573	60, 61	0.64	.014†	87, 64
