UniGene ID	Symbol	Gene Name	tumor/normala	P value
Hs.56319	CST4	cystatin S	6.58	<0.001
Hs.26802	C20orf97	chromosome 20 open reading frame 97	5.59	<0.001
		brain glioma endogenous retrovirus-like sequence	4.84	0.003
Hs.7327	CLDN1	claudin 1	4.81	<0.001
Hs.23582	TACSTD2	tumor-associated calcium signal transducer 2	4.53	0.004
Hs.28792		cDNA FLJ11041 fis, clone PLACE1004405, mRNA sequence	4.47	<0.001
Hs.374466	WARS	tryptophanyl-tRNA synthetase	4.41	<0.001
Hs.2248	CXCL10	chemokine (C-X-C motif) ligand 10	4.35	<0.001
Hs.109	DPEP1	dipeptidase 1 (renal)	4.3	<0.001
Hs.90073	CSE1L	CSE1 chromosome segregation 1-like (yeast)	4.11	<0.001
Hs.407339		Unnamed HERV-H protein [Homo sapiens], mRNA sequence	4.04	<0.001
Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2	3.94	<0.001
Hs.104925	ENC1	ectodermal-neural cortex (with BTB-like domain)	3.93	<0.001
Hs.36927	HSP105B	heat shock 105kD	3.92	<0.001
Hs.375679		mRNA; cDNA DKFZp547E193 (from clone DKFZp547E193), mRNA sequence	3.92	<0.001
Hs.16098	CLDN2	claudin 2	3.88	<0.001
Hs.2962	S100P	S100 calcium binding protein P	3.88	0.002
Hs.433425	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	3.86	<0.001
Hs.77711	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	3.84	<0.001
Hs.296638	PLAB	prostate differentiation factor	3.82	<0.001
		c33.42 unnamed HERV-H protein mRNA, partial cds	3.82	<0.001
Hs.152475	ASCL2	achaete-scute complex-like 2 (Drosophila)	3.81	<0.001
Hs.2288	VSNL1	visinin-like 1	3.75	<0.001
Hs.87295	CGI-148	CGI-148 protein	3.68	<0.001
Hs.68879	BMP4	bone morphogenetic protein 4	3.55	<0.001
Hs.380933		mRNA; cDNA DKFZp586O1224 (from clone DKFZp586O1224), mRNA sequence	3.47	<0.001
Hs.334562	CDC2	cell division cycle 2, G1 to S and G2 to M	3.47	<0.001
Hs.83169	MMP1	matrix metalloproteinase 1 (interstitial collagenase)	3.47	<0.001
Hs.111779	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	3.42	<0.001
Hs.62180	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)	3.4	<0.001
Hs.406013	KRT18	keratin 18	3.38	<0.001
Hs.75113	GTF3A	general transcription factor IIIA	3.35	<0.001
Hs.2256	MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	3.32	<0.001
Hs.407406		AAD10 [Homo sapiens], mRNA sequence	3.29	<0.001
Hs.118110	BST2	bone marrow stromal cell antigen 2	3.28	0.002
Hs.4984	KIAA0828	KIAA0828 protein	3.26	<0.001
Hs.155324	MMP11	matrix metalloproteinase 11 (stromelysin 3)	3.16	<0.001
Hs.89690	CXCL3	chemokine (C-X-C motif) ligand 3	3.12	<0.001
Hs.114309	APOL1	apolipoprotein L, 1	3.11	<0.001
Hs.119129	COL4A1	collagen, type IV, alpha 1	3.04	<0.001
Hs.101302	COL12A1	collagen, type XII, alpha 1	3.04	<0.001
Hs.172182	PABPC1	poly(A) binding protein, cytoplasmic 1	3	<0.001
Hs.146219	CPNE7	copine VII	2.99	<0.001
Hs.180414	HSPA8	heat shock 70kDa protein 8	2.99	<0.001
Hs.4747	DKC1	dyskeratosis congenita 1, dyskerin	2.97	<0.001
Hs.70823	SULF1	sulfatase 1	2.97	<0.001
Hs.78996	PCNA	proliferating cell nuclear antigen	2.97	<0.001
Hs.179573	COL1A2	collagen, type I, alpha 2	2.96	0.006
Hs.2316	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	2.95	<0.001
Hs.155637	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	2.92	<0.001
Hs.169610	CD44	CD44 antigen (homing function and Indian blood group system)	2.92	<0.001
Hs.83383	PRDX4	peroxiredoxin 4	2.92	<0.001
		Human procollagen type I alpha-2 chain, partial exon 1 mutation C-propeptide region	2.9	<0.001
Hs.57301	HMGA1	high mobility group AT-hook 1	2.9	<0.001
Hs.82916	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	2.89	<0.001
Hs.306965	PABPC3	poly(A) binding protein, cytoplasmic 3	2.88	<0.001
Hs.118787	TGFBI	transforming growth factor, beta-induced, 68kDa	2.88	<0.001
Hs.433317	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	2.87	<0.001
Hs.74335	HSPCB	heat shock 90kDa protein 1, beta	2.87	<0.001
Hs.112405	S100A9	S100 calcium binding protein A9 (calgranulin B)	2.86	<0.001
Hs.87296		cDNA FLJ20269 fis, clone HEP01293, mRNA sequence	2.86	0.003
Hs.122579	ECT2	epithelial cell transforming sequence 2 oncogene	2.84	<0.001
Hs.37189	HRASLS3	HRAS-like suppressor 3	2.84	<0.001
Hs.119140	EIF5A	eukaryotic translation initiation factor 5A	2.83	0.001
Hs.75056	AP3D1	adaptor-related protein complex 3, delta 1 subunit	2.83	<0.001
Hs.24763	RANBP1	RAN binding protein 1	2.81	<0.001
Hs.1708	CCT3	chaperonin containing TCP1, subunit 3 (gamma)	2.79	<0.001
Hs.4114	PLS3	plastin 3 (T isoform)	2.78	<0.001
		H.sapiens (xs127) mRNA, 106bp	2.78	<0.001
Hs.153704	NEK2	NIMA (never in mitosis gene a)-related kinase 2	2.78	<0.001
Hs.115474	RFC3	replication factor C (activator 1) 3, 38kDa	2.76	<0.001
Hs.93002	UBE2C	ubiquitin-conjugating enzyme E2C	2.75	<0.001
Hs.198281	PKM2	pyruvate kinase, muscle	2.74	<0.001
Hs.89643	TKT	transketolase (Wernicke-Korsakoff syndrome)	2.74	<0.001
