Affymetrix probe set ID	Gene title	symbol	P-value	Fold change 6 h	12 h	Function
210025_s_at	Caspase recruitment domain family, member 10	CARD10	0.0193	1.38	1.81	Apotosis-related genes
212140_at	KIAA0648 protein, SCC-112 protein	SCC-112	0.0091	1.47	1.84	Apotosis-related genes
224621_at	Mitogen-activated protein kinase 1	MAPK1	0.0309	1.43	1.74	Apotosis-related genes
200797_s_at	qw03a03.x1 NCI_CGAP_Ut3 Homo sapiens cDNA clone IMAGE:1989964 3, mRNA sequence	MCL1	0.0364	1.44	1.68	Apotosis-related genes
204286_s_at	Phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1 or NOXA)	NOXA	0.0308	1.79	3.18	Apotosis-related genes
222986_s_at	Scotin	SCOTIN	0.0237	1.43	1.97	Apotosis-related genes
209165_at	Apoptosis antagonizing transcription factor	AATF	0.0083	2.05	2.65	Cell-cycle arrest-related genes
209304_x_at	Growth arrest and DNA-damage-inducible, ?	GADD45B	0.0416	2	3.05	Cell-cycle arrest-related genes
200788_s_at	Phosphoprotein enriched in astrocytes 15	PEA15	0.0186	1.58	2.23	Cell-cycle arrest-related genes
204292_x_at	Serine/threonine kinase 11, Peutz-Jeghers syndrome	STK11	0.0175	1.65	1.98	Cell-cycle arrest-related genes
222985_at	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, ?polypeptide (YWHAG or 14-3-3 ? )		0.0176	1.42	1.8	Cell-cycle arrest-related genes
201901_s_at	YY1 transcription factor	YY1	0.047	1.75	2.45	Cell-cycle arrest-related genes
