Gene	Symbol	Signal log  ratio	Signal of GFP-positivecells
orthodenticlehomolog1(Drosophila)	Otx1	7.6	162.9
orthodenticlehomolog2(Drosophila)	Otx2	5.9	225.5
membranetargeting(tandem)C2domaincontaining1	Tc2n	5	20.9
peptidy1argininedeiminase,typeIII	Padi3	4.9	17
RIKENcDNA5430433G21gene		4.8	8
RAR-relatedorphanreceptorbeta	Rorb	4.8	35
leucinerichrepeatcontaining8family,memberE	Lrrc8e	4.7	17.3
cDNAsequenceBC060267		4.7	17.5
fibronectinleucinerichtransmembraneprotein3	Flrt3	4.5	6.6
cDNAsequenceBC055107		4.5	40.6
zincfingerprotein533	Zfp385b	4.4	47.2
Hedgehog-interactingprotein	Hhip	3.9	17.6
RIKENcDNA1600029D21gene		3.9	22.1
HypotheticalproteinLOC668215		3.5	6.4
gamma-aminobutyricacid(GABA-A)receptor,subunitepsilon	Gabre	3.3	15.2
emptyspiracleshomolog2(Drosophila)	Emx2	3.3	100.5
prolinerich15	Prr15	3.2	244
solutecarrierfamily27(fattyacidtransporter),member2	Slc27a2	3.2	61.5
regulatorofG-proteinsignaling13	Rgs13	3.1	99.8
zincfinger,DHHCdomaincontaining23	Zdhhc23	3.1	25.9
RIKENcDNA9930013L23gene		3.1	157.9
aldehydedehydrogenasefamily1,subfamilyA3	Aldh1a3	3.1	15.7
RIKENcDNA9430021M05gene		2.8	22
calmodulin-like4	Calml4	2.7	59.8
RAB20,memberRASoncogenefamily	Rab20	2.7	19
gastrulationbrainhomeobox2	Gbx2	2.7	580.3
carboxylesterase3	Ces3	2.6	53.5
kelch-like14(Drosophila)	Klhl14	2.6	181.2
leukocytecellderivedchemotaxin1	Lect1	2.6	878.3
matrilin1,cartilagematrixprotein1	Matn1	2.6	26.8
protocadherin15	Pcdh15	2.6	39
espin	Espn	2.6	91.6
