Probeset ID	Gene name	Description	FC (log2ratio)	P-value
  213418_at	HSPA6	Heat shock 70 kDa protein 6	11.64	1.01E-09
  202843_at	DNAJB9	DnaJ (Hsp40) homolog subfamily B member 9	5.91	4.87E-06
  208744_x_at	HSPH1	Heat shock 110 kDa protein	3.35	2.50E-05
  207714_s_at	SERPINH1	Collagen-binding protein 2 precursor (Hsp47)	2.1	0.000162
  200806_s_at	HSPD1	Heat shock 60 kDa protein	1.17	4.00E-05
  214359_s_at	HSPCB	Heat shock 90 kDa protein 1, 	1.11	5.60E-07
  209383_at	DDIT3	DNA-damage inducible transcript 3 CHOP/GADD153	5.18	2.18E-05
  202014_at	PPP1R15A	Protein phosphatase 1, regulatory subunit 15A, Gadd34	4.65	1.57E-07
  217168_s_at	HERPUD1	Homocysteine-responsive ER-resident ubiquitin-like domain member 1 protein	2.8	4.42E-05
  218696_at	EIF2AK3	Eukaryotic translation initiation factor 2  kinase 3 precursor, PERK	1.57	0.000199
  200970_s_at	SERP1	Stress-associated ER protein 1	1.13	0.000363
  216598_s_at	CCL2	Small inducible cytokine A2 precursor	-3.37	0.001086
  202672_s_at	ATF3	Cyclic AMP-dependent transcription factor ATF-3	9.18	2.35E-07
  209189_at	FOS	Proto-oncogene protein c-fos	4.26	0.031901
  200779_at	ATF4	Activating transcription factor 4	2.18	6.50E-05
  200670_at	XBP1	X box-binding protein 1	1.86	0.000306
  203752_s_at	JUND	Transcription factor jun-D	1.85	5.54E-05
  207826_s_at	ID3	DNA-binding protein inhibitor ID-3	-3.72	1.56E-05
  214639_s_at	HOXA1	Homeobox protein Hox-A1	-3.32	4.56E-07
  204475_at	MMP1	Matrix metalloproteinase-1 precursor	7.16	1.89E-06
  205680_at	MMP10	Matrix metalloproteinase-10 precursor	5.99	1.40E-08
 204472_at	GEM	GTP-binding protein GEM (RAS-like protein KIR)	7.37	1.15E-06
 204339_s_at	RGS4	Regulator of G-protein signaling 4	-4.09	0.000386
 212361_s_at	ATP2A2	Sarco/endoplasmic reticulum calcium ATPase 2 (SERCA2)	-1.78	0.000358
 203626_s_at	SKP2	S-phase kinase-associated protein 2	-3.71	0.000349
 208711_s_at	CCND1	G1/S-specific cyclin-D1	-1.71	5.54E-05
 221577_x_at	GDF15	Growth/differentiation factor 15 precursor	6.79	0.00027
 218995_s_at	EDN1	Endothelin-1 precursor	-3.81	0.002352
 213836_s_at	WIPI1	WD-repeat domain phosphoinositide-interacting protein 1 (Atg18 protein homolog)	3.21	0.000466
 208786_s_at	MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3B precursor (Autophagy-related protein LC3 B)	1.8	2.99E-06
 213026_at	ATG12	Autophagy protein 12 (APG12-like)	0.99§	1.79E-05
 206536_s_at	BIRC4	Baculoviral IAP repeat-containing protein 4, X-linked IAP	3.22	3.84E-06
 205214_at	STK17B	DAP kinase-related apoptosis-inducing protein kinase 2	3	1.83E-05
 218145_at	TRIB3	tribbles homolog 3, p65-interacting inhibitor of NF-kappaB	2.53	0.00056
 201502_s_at	NFKBIA	NF-B inhibitor 	2.15	9.09E-07
 205681_at	BCL2A1	Bcl-2-related protein A1	-3.31	0.000174
 203685_at	BCL2	Apoptosis regulator Bcl-2	-2.26	0.000124
 202094_at	BIRC5	Baculoviral IAP repeat-containing protein 5, survivin	-1.37	4.46E-05
 201341_at	ENC1	Ectoderm-neural cortex 1 protein	-3.49	5.81E-06
 220407_s_at	TGFB2	Transforming growth factor -2 precursor	-3.35	0.000222
 207029_at	KITLG	Kit ligand precursor (mast cell growth factor)	4.51	0.0001
 205032_at	ITGA2	Integrin -2 precursor (collagen receptor)	1.2	0.029848
 205534_at	PCDH7	Protocadherin 7 precursor	-2.95	0.000395
 201108_s_at	THBS1	Thrombospondin-1 precursor	-2.49	0.002129
 204627_s_at	ITGB3	Integrin -3 precursor	-1.78	0.015801
 204949_at	ICAM3	Intercellular adhesion molecule 3 precursor	-1.42	0.001297
 202637_s_at	ICAM1	Intercellular adhesion molecule 1 precursor	-1.18	0.008778
