Accession no.	Difference	Pvalues	Symbol	Gene name
NM_003094.2	3.306386323	3.77E?7	SNRPE	Small nuclear ribonucleoprotein polypeptide E
NM_018685.2	3.219579761	3.32E?6	ANLN	Anillin, actin binding protein(scraps homologue, Drosophila)
AA976712.1	3.182541782	5.99E?7	TMEM46	Transmembrane protein 46
AI357641.1	3.146687689	7.51E?6	CDKN2C	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
W67209.1	3.087139806	5.93E?8	SESN3	Sestrin 3
DB340904.1	2.985071675	8.00E?8	AR	AR, 3? untranslated region
NM_018144.2	2.890854838	3.62E?9	SEC61A2	Sec61 ?2 subunit (S. cerevisiae)
NM_016448.1	2.811368667	7.78E?5	DTL	Denticleless homologue(Drosophila)
Z74616.1	2.538137903	1.92E?5	COL1A2	Collagen, type I, ?2
NM_000090.2	2.491419709	5.12E?5	COL3A1	Collagen, type III, ?1
R41754.1	2.447849423	1.19E?10	TMEM132B	Transmembrane protein 132B
NM_006607.1	2.440825064	5.09E?7	PTTG2	Pituitary tumor-transforming 2
U73727.1	2.333606143	2.40E?5	PTPRU	Protein tyrosine phosphatase, receptor type, U
AK021786.1	2.319361143	3.24E?7	C17orf72	Chromosome 17 open reading frame 72
AA910060.1	2.236962817	8.99E?5		EST
AA621719.1	2.220224258	8.14E?6	SMC4	SMC4 structural maintenance of chromosomes 4-like 1
AK024438.1	2.198639235	7.77E?5	ZFP41	Zinc finger protein 41 homologue (mouse)
NM_006229.1	2.192827851	6.66E?5	PNLIPRP1	Pancreatic lipase-related protein 1
AA195210.1	2.170830793	2.46E?6	DKFZP761M1511	Hypothetical protein DKFZP761M1511
AK096164.1	2.04647546	4.34E?6	EIF2C2	Eukaryotic translation initiation factor 2C, 2
AF035594.1	2.002516001	6.59E?6	PRKCA	Protein kinase C, ?
NM_004442.5	1.921607125	1.06E?5	EPHB2	EPH receptor B2
AK096873.1	1.78604725	7.02E?5	NPEPL1	Aminopeptidase-like 1
NM_005733.1	1.739425422	2.56E?5	KIF20A	Kinesin family member 20A
AA757026.1	1.678056856	8.32E?5		EST
X63679.1	1.644063667	9.85E?7	TRAM1	Translocation associated membrane protein 1
NM_001211.4	1.636586307	9.84E?5	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homologue ?
NM_017915.2	1.61745888	3.12E?5	C12orf48	Chromosome 12 open reading frame 48
NM_014176.1	1.589009131	1.95E?8	UBE2T	Ubiquitin-conjugating enzyme E2T (putative)
NM_006265.1	1.56936713	1.03E?7	RAD21	RAD21 homologue (S. pombe)
NM_007220.3	1.563745272	3.02E?13	CA5B	Carbonic anhydrase VB, mitochondrial
BC044310.1	1.563713145	2.78E?5	TNK2	Tyrosine kinase, non-receptor, 2
N51406.1	1.541763744	3.79E?5	RP11-393H10.2	Hypothetical protein FLJ14503
NM_005055.3	1.525830663	5.79E?5	RAPSN	Receptor-associated protein of the synapse, 43 kDa
NM_016275.3	1.519432356	1.63E?5	SELT	Selenoprotein T
NM_006988.3	1.504404832	6.73E?5	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1
