Gene Symbol	Description	CM/EB Fold Change	FH/EB Fold Change	AH/EB Fold change
NPPA	natriuretic peptide precursor A	672.55	904.96	99.3
UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	132	49.92	17.16
CAPN3	calpain 3, (p94)	489.83	23.11	10.91
TRIM55	tripartite motif-containing 55	57.52	24.39	14.1
KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	404.66	477.01	94.57
HSPA6	heat shock 70kDa protein 6 (HSP70B)	62.3	8.49	11.54
MTUS1	mitochondrial tumor suppressor 1	41.74	43.44	8.27
MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic	49.01	49.46	14.64
CADPS	Ca2+-dependent secretion activator	303.17	102.33	75.59
ACADL	acyl-Coenzyme A dehydrogenase, long chain	118.1	86.74	16.18
UNC45B	unc-45 homolog B (C. elegans)	132.34	86.75	49.34
RNF6	ring finger protein (C3H2C3 type) 6	40.28	8.38	31.08
SRD5A2L2	steroid 5 alpha-reductase 2-like 2	42.06	14.86	108.21
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	64.63	43.94	9.33
AMY2B	amylase, alpha 2B (pancreatic)	21.94	7.7	12.27
SMPX	small muscle protein, X-linked	111.18	58.9	135.21
CHRM2		196.36	147.55	159.05
DPF3	D4, zinc and double PHD fingers, family 3	28.2	24	14.54
FLJ39502	hypothetical protein FLJ39502	101.06	65.51	87.32
LRRC10	leucine rich repeat containing 10	129.52	138.65	68.6
PLN	phospholamban	139.72	88.44	180.84
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	100.17	66.9	28.83
PPP1R3A	protein phosphatase 1, regulatory (inhibitor) subunit 3A (glycogen and sarcoplasmic reticulum binding subunit, skeletal muscle)	11.21	3.05	54.08
PHF20L1	PHD finger protein 20-like 1	18.69	8.13	7.8
TMEM71	transmembrane protein 71	166.7	118.98	73.38
TSPAN32	tetraspanin 32	88.63	64.71	102.26
MYL7	myosin, light polypeptide 7, regulatory	53.51	48.94	38.45
SYNPO2L	synaptopodin 2-like	161.15	93.4	148.69
MYBPHL	myosin binding protein H-like	160.16	570.44	50.02
HAK	alpha-kinase 2	8.95	6.21	5.18
KBTBD10	kelch repeat and BTB (POZ) domain containing 10	53.1	61.34	77.31
MLCK	MLCK protein	150.6	100.7	131.67
FGF9	fibroblast growth factor 9 (glia-activating factor)	6.33	4.88	5.57
PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	22.09	18.59	13.74
ADPRHL1	ADP-ribosylhydrolase like 1	106.26	70.67	148.6
FAM78A	family with sequence similarity 78, member A	123.27	71.48	31.64
MB	myoglobin	143.46	116.42	565.23
ANXA7	annexin A7	47.91	37.78	113.14
LRRC39	leucine rich repeat containing 39	138.72	119.66	271.65
MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)	57.4	52.79	44.22
ITGB1BP2	integrin beta 1 binding protein (melusin) 2	130.22	57.19	88.63
NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	110.78	58.51	49.99
POPDC2	popeye domain containing 2	128.34	105.5	99.2
YAF2	YY1 associated factor 2	4.75	2.52	4.14
HTR4	5-hydroxytryptamine (serotonin) receptor 4	11.7	26.32	3.59
SPTBN5	spectrin, beta, non-erythrocytic 5	82.5	198.8	57.17
CORIN	corin, serine peptidase	56.29	54.12	42.38
MYO18B	myosin XVIIIB	129.97	101.1	103.68
PCGF5	polycomb group ring finger 5	98.65	31.18	54.07
CLIC5	chloride intracellular channel 5	126.92	122.61	480.19
CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	119.77	107.91	148.47
RNF36	ring finger protein 36	15.64	4.91	7.14
TMOD1	tropomodulin 1	61.92	66.12	70.15
FBXO32	F-box protein 32	53.53	48.32	43.68
TNNT2	troponin T type 2 (cardiac)	59.39	63.79	107.87
DHRS9	dehydrogenase/reductase (SDR family) member 9	6.57	11.4	13.44
RCSD1	RCSD domain containing 1	42.62	50.61	30.17
TNNC1	troponin C type 1 (slow)	73.92	89.41	159.85
TFEB	transcription factor EB	104.76	279.55	221.22
MTUS1	mitochondrial tumor suppressor 1	104.55	188.51	193.39
C7	complement component 7	63.44	235.96	238.5
MSRB3	methionine sulfoxide reductase B3	17.31	18.93	23.95
ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	98.08	66.66	194.3
PLCL1	phospholipase C-like 1	41.55	33.82	127.87
MYL3	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow	101.83	132.9	299.24
APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	85.72	87.66	125.66
FSD2	fibronectin type III and SPRY domain containing 2	76.58	181.14	245.04
CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	30.07	87.55	108.16
C1orf188	chromosome 1 open reading frame 188	21.9	40.15	14.52
SORBS2	sorbin and SH3 domain containing 2	99.79	319.29	131.86
STK23	SFRS protein kinase 3	99.67	1908.21	2001.41
LBR	lamin B receptor	198.09	168.63	99.65
KIAA0774	KIAA0774	10.66	18.1	20.65
MYH7	myosin, heavy polypeptide 7, cardiac muscle, beta	99.55	137.51	201.11
RARB	retinoic acid receptor, beta	7.49	6.09	4.57
HOP	homeodomain-only protein	98.81	410.41	6.92
CMYA1	cardiomyopathy associated 1	98.67	306.02	221.77
LDB3	LIM domain binding 3	84.92	138.44	177.92
MYOM2	myomesin (M-protein) 2, 165kDa	66.47	178.48	876.07
CASQ2	calsequestrin 2 (cardiac muscle)	62.81	2008.7	3868.09
CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	3.77	3.92	3.06
RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	11.85	21.82	21.99
TCAP	titin-cap (telethonin)	97.1	209.4	1434.93
PGM5	phosphoglucomutase 5	3.93	5.93	7.83
MYOM1	myomesin 1 (skelemin) 185kDa	75.67	107.87	165
C6orf142	chromosome 6 open reading frame 142	96.27	116.46	218.92
SORBS2	sorbin and SH3 domain containing 2	40.61	65.85	54.19
Gcom1	GRINL1A combined protein	41.42	80.54	275.15
RGS5	regulator of G-protein signalling 5	11.41	8.61	36.1
ACTN2	actinin, alpha 2	85.32	117.49	159.34
SKIP	SPHK1 (sphingosine kinase type 1) interacting protein	62.58	129.66	168.8
FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	93.83	215.65	503.98
