Gene	A9/M	A9	delta no.	Genebank ID	Comments	Expression
Cd34	3600	A	> 50	NM_133654	Adhesion, homing, HSC marker	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
MD-1	3000	A	> 50	NM_010745	Lymphoid Toll coreceptor	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Flt3	2167	A	> 50	NM_010229	Receptor tyrosine kinase, HSC marker	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
CD45-AP	1045	A	> 50	NM_016933	Activates CD45 tyrosine phosphatase	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Itgb7	558	A	> 50	NM_013566	Integrin beta 7, homing	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Kcna3	501	A	> 50	A1323624	Voltage gated K channel	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Cd27	493	A	> 50	L24495	TNF receptor 7, HSC marker	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Erg1	465	A	> 50	AB073078	Ets-related gene	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Ngn	450	A	> 50	AK002933	Neurogranin	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Ednra	373	A	> 50	BC008277	Endothelin receptor A, inhibits migration	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
IL7R	350	A	> 50	NM_008372	Interleukin 7 receptor	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Gpr56	323	A	> 50	NM_018882	G protein coupled receptor, Enriched in HSCs	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
CXXC5	300	A	> 50	AK015150	Cystein methylation, transcription	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Oaf	260	A	> 50	BC025514	Out at first, early development	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
RIP140	250	A	> 50	BB764550	Nuclear receptor corepressor	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Tspan2	180	A	> 50	AV234585	Tetraspanin 2	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
CD244	142	A	> 50	NM_018729	NK cell receptor 2B4	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Gem	103	A	> 50	U10551	Ras family GTPase, HSC enriched	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Ebf1	59	A	> 50	NM_007897	Early B-cell factor	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
PLZF	50	A	> 50	AA419994	Promyelocytic leukemia zinc finger	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Meis	47	A	> 50	NM_010789	Oncogene expressed by retrovirus	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
CRLR	463	18	26	AF209905	Calcitonin rec.-related, HSC marker	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Satb1	1300	90	14	NM_009122	Nuclear matrix attachment, DNA-binding	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Tilz1b	1506	175	9	AF201285	Leucine zipper transcription factor	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
C1qR1	3025	430	7	AF081789	Complement rec. AA4.1, HSC marker	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Tmsb10	3200	500	6	NM_025284	Thymosin beta 10	Increased expression in Hoxa9 plus Meis1-immortalized progenitors
Slfn4	A	1963	> 50	AF099975	Schlafen 4, growth regulatory gene	Increased expression in Hoxa9-immortalized progenitors
Tnfsf13	A	977	> 50	NM_023517	TNF superfamily, member 13	Increased expression in Hoxa9-immortalized progenitors
TGFRb3	A	623	> 50	BM122301	Transforming growth factor rec.	Increased expression in Hoxa9-immortalized progenitors
Rnf128	A	493	> 50	NM_023270	Ring finger protein 128: E3 ligase	Increased expression in Hoxa9-immortalized progenitors
ABCa13	A	467	> 50	BB277120	ATP-binding cassette trans. A13	Increased expression in Hoxa9-immortalized progenitors
Rhol	A	393	> 50	AF309564	GTPase, cytoskeletal org.	Increased expression in Hoxa9-immortalized progenitors
NB-I	A	386	> 50	BC027283	NB-1 glycoprotein	Increased expression in Hoxa9-immortalized progenitors
Pde2a	A	230	> 50	BG069616	Phosphodiesterase 2a	Increased expression in Hoxa9-immortalized progenitors
TLR4	A	208	> 50	NM_021297	Toll-like receptor 4	Increased expression in Hoxa9-immortalized progenitors
B4Ga1T6	95	2070	22	BI685536	Galactosyl transferase	Increased expression in Hoxa9-immortalized progenitors
Hsd11b1	97	1122	12	NM_008288	Hydroxysteroid 11 beta dehydro 1	Increased expression in Hoxa9-immortalized progenitors
Tsp1	272	2747	10	AV026492	Thrombospondin-1, ECM protein	Increased expression in Hoxa9-immortalized progenitors
Tfec	317	3200	10	NM_031198	Myeloid Myc-related bHLH TF	Increased expression in Hoxa9-immortalized progenitors
Sortilin-1	31	311	10	NM_019972	Trafficking/sorting	Increased expression in Hoxa9-immortalized progenitors
ALAS1	437	3770	9	BC022110	Amino levulinic acid synthetase	Increased expression in Hoxa9-immortalized progenitors
Clecsf12	167	1500	9	AF262985	C-type lectin superfamily 12	Increased expression in Hoxa9-immortalized progenitors
Catns	20	158	8	NM_007615	p120 catenin	Increased expression in Hoxa9-immortalized progenitors
Csf2ra	161	1229	8	NM_009970	GM-CSF receptor, alpha chain	Increased expression in Hoxa9-immortalized progenitors
Bscl2	80	602	8	BB223872	Fat metabolism	Increased expression in Hoxa9-immortalized progenitors
DORA	230	1673	7	NM_030691	Ig superfamily, member 6	Increased expression in Hoxa9-immortalized progenitors
Ms4a3	843	5533	7	NM_133246	Hematospecific membrane protein	Increased expression in Hoxa9-immortalized progenitors
Akr1cl3	127	782	6	BC021937	Aldol Keto reductase c13	Increased expression in Hoxa9-immortalized progenitors
NE	1333	7800	6	NM_015779	Neutrophil elastase	Increased expression in Hoxa9-immortalized progenitors
Atip1	73	402	6	AW554551	Inhibits tyrosine kinases	Increased expression in Hoxa9-immortalized progenitors
Gda	620	2820	5	AF174583	Guanine deaminase	Increased expression in Hoxa9-immortalized progenitors
Gng31g	118	603	5	BB223872	G protein gamma 3 linked	Increased expression in Hoxa9-immortalized progenitors
Cyclin A2	1180	1470	—	NM_009829	Binds cdk2, G1/S cell cycle regulation	Controls
Cyclin B	670	657	—	X58708	Binds cdk1, G2/M cell cycle regulation	Controls
Mpo	10750	9300	—	NM_010824	Myeloperoxidase	Controls
Myb	4900	4800	—	NM_033597	Hematopoietic transcription factor	Controls
Bmi-1	257	343	—	M64279	Maintains HSC self-renewal	Controls
Mll	96	88	—	AK017541	Histone methyltransferase	Controls
Prtn3	7000	8030	—	NM_011178	Myeloblastin, pre-pro-proteinase 3	Controls
