Probe set	Fold	p value	Gene	Gene description
204602 at	40	4.60E-65	DKK1	Dickkopf homologue 1
220115 s at	117	7.20E-62	CDH10	Cadherin 10, type 2
205204 at	65	2.60E-42	NMB	Neuromedin B
207930 at	32	1.70E-40	LCN1	Lipocalin 1
220283 at	8	8.20E-38	KIAA1822L	KIAA1822-like
220595 at	15	3.80E-36	PDZRN4	PDZ domain containing ring finger 4
220356 at	15	7.80E-36	CORIN	Corin, serine peptidase
207577 at	5	3.40E-35	HTR4	5-Hydroxytryptamine (serotonin) receptor 4
208116 s at	8	3.60E-35	MAN1A1	Mannosidase, alpha, class 1A, member 1
215913 s at	19	5.10E-33	GULP1	GULP, engulfment adaptor PTB domain containing 1
215972 at	7	4.20E-32		Clone 24 820 mRNA sequence
222317 at	7	1.60E-30	PDE3B	Phosphodiesterase 3B, cGMP-inhibited
206730 at	5	4.20E-25	GRIA3	Glutamate receptor, ionotrophic, AMPA 3
206869 at	10	3.30E-24	CHAD	Chondroadherin
205694 at	18	3.60E-24	TYRP1	Tyrosinase-related protein 1
207012 at	7	1.70E-23	MMP16	Matrix metallopeptidase 16
205523 at	8	9.10E-23	HAPLN1	Hyaluronan and proteoglycan link protein 1
214390 s at	9	1.20E-22	BCAT1	Branched chain aminotransferase 1, cytosolic
207379 at	12	2.80E-22	EDIL3	EGF-like repeats and discoidin I-like domains 3
218197 s at	14	7.50E-22	OXR1	Oxidation resistance 1
206637 at	10	1.50E-21	P2RY14	Purinergic receptor P2Y, G-protein coupled, 14
214582 at	4	2.00E-21	PDE3B	Phosphodiesterase 3B, cGMP-inhibited
219564 at	5	6.20E-21	KCNJ16	Potassium inwardly-rectifying channel J16
216012 at	5	1.00E-20		Unidentified mRNA, partial sequence
220351 at	5	6.30E-20	CCRL1	Chemokine (C–C motif) receptor-like 1
