Gene Name	Fold Change	Function
"cysteine-rich, angiogenic inducer, 61"	-2.1	Cell Proliferation
TGFB inducible early growth response	-1.8	Cell Proliferation
ubiquitinspecific protease 8	-1.4	Cell Proliferation
nucleolarprotein 1 (120kD)	-1.4	Cell Proliferation
diphtheria toxin receptor	-1.4	Cell Proliferation
nucleolarand coiled-body phosphprotein 1	-1.5	Cell Cycle
cytochrome c	-1.7	Cell Death and Apoptosis
BCL2/adenovirus E1B 19kD interacting protein 2	-1.6	Cell Death and Apoptosis
FAST kinase	-1.4	Cell Death and Apoptosis
prostaglandin-endoperoxide synthase 2	-4.9	Stress Response
dual specificity phosphatase 5	-1.8	Stress Response
dual specificity phosphatase 1	-1.7	Stress Response
activating transcription factor 3	-6.3	Transcription Factor
early growth response 3	-4.7	Transcription Factor
X-box binding protein 1	-2.2	Transcription Factor
v-maf oncogene(F) homolog F (avian)	-1.8	Transcription Factor
nucleolar and coiled-body phosphprotein1	-1.5	Transcription Factor
"adrenergic, beta-2-, receptor, surface"	-2.5	Signal transduction & cell communication
"plasminogen activator, urokinase receptor"	-2	Signal transduction & cell communication
dual specificity phosphatase 5	-1.8	Signal transduction & cell communication
dual specificity phosphatase 1	-1.7	Signal transduction & cell communication
EphA2	-1.6	Signal transduction & cell communication
seven in absentia homolog 2 (Drosophila)	-1.6	Signal transduction & cell communication
FAST kinase	-1.4	Signal transduction & cell communication
methylene tetrahydrofolate dehydrogenase	-2.3	Ligand binging & nucleic acid binding
X-box binding protein 1	-2.2	Ligand binging & nucleic acid binding
putative translation initiation factor	-2.2	Ligand binging & nucleic acid binding
"splicing factor, arginine/serine-rich 2"	-1.8	Ligand binging & nucleic acid binding
"splicing factor, arginine/serine-rich 6"	-1.6	Ligand binging & nucleic acid binding
serine (or cysteine) proteinase inhibitor	-1.5	Ligand binging & nucleic acid binding
"ATPase, Ca++ transporting, plasma membrane 1"	-1.5	Ligand binging & nucleic acid binding
"splicing factor, arginine/serine-rich 6"	-1.5	Ligand binging & nucleic acid binding
nucleolar protein (KKE/D repeat)	-1.3	Ligand binging & nucleic acid binding
