Gene symbol	Gene name	Gene ID	Median SLR (range)	Increased/decreased/not changed	References	Validated in Huang data set
DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	1803	6.855 (4.26–7.95)	16/0/0	(2, 18, 42–44)	Yes
GJB3	Gap junction protein, ?-3, 31 kDa (connexin 31)	2707	2.99 (0.81–4.39)	10/0/6	NA	NA
ST14	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	6768	0.86 (0.35–1.35)	11/0/5	NA	NA
SERPINA1	Serine (or cysteine) proteinase inhibitor, clade A (?-1 antiproteinase, antitrypsin), member 1	5265	4.395 (2.83–5.45)	16/0/0	(2, 20, 33)	Yes
LRP4	Low density lipoprotein receptor-related protein 4	4038	4.28 (2.12–5.56)	16/0/0	NA	Yes
MET	Met proto-oncogene (hepatocyte growth factor receptor)	4233	1.47 (0.1–2.95)	12/0/4	(2, 6, 17, 22, 48)	Yes
EVA1	Epithelial V-like antigen 1	10205	2.285 (1.54–2.94)	16/0/0	NA	Yes
MYH10	Myosin, heavy polypeptide 10, nonmuscle	4628	1.445 (0.65–2.63)	16/0/0	NA	NA
SPUVE	Protease, serine, 23	11098	2.24 (1.01–3.35)	16/0/0	-2	Yes
LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)	3958	1.925 (1.02–2.98)	16/0/0	(2, 21, 42)	Yes
CD44	CD44 antigen (homing function and Indian blood group system)	960	1.165 (0.38–1.92)	15/0/1	(21, 26, 27, 45)	NA
HBB	Hemoglobin, ?	3043	?1.915 (?3.41–0.1)	0/15/1	-46	NA
MAP17	Membrane-associated protein 17	10158	3.715 (0.25–4.38)	15/0/1	NA	NA
MKRN2	Makorin, ring finger protein, 2	23609	?0.525 (?0.93–?0.08)	0/10/5	NA	NA
TGFA	Transforming growth factor, ?	7039	2.895 (1.19–3.99)	16/0/0	-6	NA
MRC2	Mannose receptor, C type 2	9902	1.525 (0.49–2.51)	14/0/1	NA	NA
IGSF1	Immunoglobulin superfamily, member 1	3547	4.25 (1.04–5.07)	15/0/1	NA	Yes
KIAA0830	KIAA0830 protein	23052	1.01 (0.16–1.64)	15/0/1	NA	NA
RXRG	Retinoid X receptor ?	6258	3.53 (0.95–6.78)	16/0/0	-35	NA
FN1	Fibronectin 1	2335	3.2 (2.07–4.44)	16/0/0	(2, 17)	Yes
MTMR4	Myotubularin-related protein 4	9110	?0.875 (?1.33–?0.29)	0/14/2	NA	Yes
IL13RA1	Interleukin 13 receptor, ?1	3597	0.565 (?0.01–1.09)	8/0/7	NA	NA
P4HA2	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), ? polypeptide II	8974	1.55 (0.7–2.27)	16/0/0	-2	Yes
CDH3	Cadherin 3, type 1, P-cadherin (placental)	1001	5.61 (2.99–8.16)	16/0/0	(2, 31, 47)	NA
TLE4	Transducin-like enhancer of split 4 [E(sp1) homologue,Drosophila]	7091	?1.26 (?2.43–?0.19)	0/12/3	NA	NA
PAXIP1L	PAX transcription activation domain interacting protein 1-like	22976	?0.465 (?0.77–0.11)	0/6/8	NA	NA
HSBP1	Heat shock factor binding protein 1	3281	?0.52 (?0.95–?0.05)	0/14/2	NA	NA
NRCAM	Neuronal cell adhesion molecule	4897	1.95 (1.4–3.49)	16/0/0	NA	Yes
TSTA3	Tissue specific transplantation antigen P35B	7264	0.68 (0.31–1.32)	9/0/7	NA	NA
RNF24	Ring finger protein 24	11237	0.63 (0.11–1)	2/0/13	NA	NA
KIAA0937	KIAA0937 protein	23220	2.49 (1.1–3.69)	16/0/0	-2	Yes
TMPRSS4	Transmembrane protease, serine 4	56649	4.305 (2.3–6.12)	14/0/2	NA	NA
WWOX	WW domain containing oxidoreductase	51741	?1.51 (?2.07–0.05)	0/15/1	NA	NA
LOC157567	Hypothetical protein LOC157567	157567	?1.005 (?1.54–?0.52)	0/15/1	NA	NA
CITED1	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxyl-terminal domain, 1	4435	4.42 (1.86–7.04)	14/0/2	(2, 3)	Yes
	Homo sapiens PRO2275 mRNA, complete cds (SERPINA1 homologue)		3.92 (2.4–4.67)	16/0/0	NA	Yes
HBA2	Hemoglobin, ?2	3040	?2.24 (?3.72–0.21)	0/14/2	-2	NA
SLIT1	Slit homologue 1 (Drosophila)	6585	2.38 (?0.48–4.35)	12/0/4	NA	Yes
PAM	Peptidylglycine ?-amidating monooxygenase	5066	0.755 (0.27–1.24)	15/0/1	NA	NA
FLJ12541	Stimulated by retinoic acid gene 6	64220	1.21 (0.04–2.4)	9/0/7	NA	NA
SLC34A2	Solute carrier family 34 (sodium phosphate), member 2	10568	4.215 (1.17–5.63)	16/0/0	NA	NA
AGR2	Anterior gradient 2 homologue (Xenopus laevis)	10551	3.8 (0.89–6.86)	15/0/0	NA	NA
MINA53	Myc-induced nuclear antigen, 53 kDa	84864	?1.16 (?1.78–?0.16)	0/14/2	NA	NA
ADPRTL1	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 1	143	1.05 (0.23–1.92)	16/0/0	NA	NA
FLJ10748	Hypothetical protein FLJ10748	55220	2.225 (0.47–4.68)	15/0/1	NA	NA
BMP1	Bone morphogenetic protein 1	649	0.965 (0.46–1.85)	6/0/9	NA	NA
LAMB3	Laminin, ?3	3914	3.695 (2.25–5.92)	16/0/0	NA	NA
FLJ10178	Hypothetical protein FLJ10178	55086	?3.03 (?5.33–0.07)	0/13/3	NA	NA
EPS8	Epidermal growth factor receptor pathway substrate 8	2059	1.6 (0.23–2.34)	15/0/1	-2	Yes
NRP2	Neuropilin 2	8828	1.03 (?0.17–2.78)	12/0/4	NA	NA
COL13A1	Collagen, type XIII, ? 1	1305	2.45 (0.34–3.19)	15/0/1	NA	NA
SOSTDC1	Sclerostin domain containing 1	25928	?3.365 (?4.7–?0.18)	0/11/3	NA	NA
FLRT3	Fibronectin leucine-rich transmembrane protein 3	23767	1.51 (0.3–3.74)	15/0/1	NA	NA
SCEL	Sciellin	8796	3.91 (1.04–5.88)	15/0/1	-2	Yes
FLII	Flightless I homologue (Drosophila)	2314	0.54 (0.35–1.26)	13/0/3	NA	NA
IKBKE	Inhibitor of light polypeptide gene enhancer in B-cells, kinase epsilon	9641	0.315 (0.13–1.1)	3/0/11	NA	NA
N33	Putative prostate cancer tumor suppressor	7991	2.885 (1.12–4.09)	16/0/0	-2	Yes
