Affy ID	Gene Rank	Gene Name	Symbol	Mean Fold-Difference†
214451_at	1	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	24.9
207076_s_at	2	argininosuccinate synthetase	ASS	15.8
213436_at	3	cannabinoid receptor 1 (brain)	CNR1	23.1
212314_at	4	KIAA0746 protein	KIAA0746	5.3
213832_at	5	Clone 24405 mRNA sequence	---	3.8
221605_s_at	6	pipecolic acid oxidase	PIPOX	7.5
213155_at	7	KIAA0523 protein	KIAA0523	4.0
203256_at	8	cadherin 3, type 1, P-cadherin (placental)	CDH3	3.4
212736_at	9	chromosome 16 open reading frame 45	C16orf45	3.1
219147_s_at	10	chromosome 9 open reading frame 95	FLJ20559	3.9
219779_at	11	zinc finger homeodomain 4	ZFHX4	-3.0
203638_s_at	12	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	FGFR2	3.3
213280_at	13	GTPase activating Rap/RanGAP domain-like 4	GARNL4	3.6
203072_at	14	myosin IE	MYO1E	1.8
218625_at	15	neuritin 1	NRN1	5.4
211737_x_at	16	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1) /// pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	PTN	-6.9
209459_s_at	17	4-aminobutyrate aminotransferase	ABAT	7.3
205889_s_at	18	Jak and microtubule interacting protein 2	KIAA0555	2.9
215108_x_at	19	trinucleotide repeat containing 9	TNRC9	6.3
209123_at	20	quinoid dihydropteridine reductase	QDPR	3.2
205935_at	21	forkhead box F1	FOXF1	5.1
218665_at	22	frizzled homolog 4 (Drosophila)	FZD4	-2.0
218959_at	23	homeo box C10	HOXC10	-3.2
206089_at	24	NEL-like 1 (chicken)	NELL1	4.7
218974_at	25	hypothetical protein FLJ10159	FLJ10159	-3.4
204850_s_at	26	doublecortex; lissencephaly, X-linked (doublecortin)	DCX	6.9
49111_at	27	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	---	2.1
219225_at	28	piggyBac transposable element derived 5	PGBD5	3.2
206128_at	29	adrenergic, alpha-2C-, receptor	ADRA2C	1.9
