Probe set	Symbol	Name	Fold-difference
1568574_x_at	SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	37.0384269
219954_s_at	GBA3	glucosidase, beta, acid 3 (cytosolic)	27.5781935
209875_s_at	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	22.4724687
1555316_a_at	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	22.0131635
238368_at	PVT1	Pvt1 oncogene homolog, MYC activator (mouse)	21.3249897
206493_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	20.7843132
223828_s_at	LGALS12	lectin, galactoside-binding, soluble, 12 (galectin 12)	19.1337735
1553043_a_at	CD300LF	CD300 molecule-like family member f	19.0517663
205790_at	SCAP1	src family associated phosphoprotein 1	18.3951927
205429_s_at	MPP6	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	17.2430675
222943_at	GBA3	glucosidase, beta, acid 3 (cytosolic)	16.704328
214841_at	CNIH3	cornichon homolog 3 (Drosophila)	16.3622727
227210_at	---	CDNA FLJ32568 fis, clone SPLEN2000098	15.0456888
202833_s_at	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	13.8543724
209644_x_at	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	13.4639185
229559_at	FLJ40125	hypothetical protein FLJ40125	13.1995457
214511_x_at	FCGR1A /// LOC440607 /// LOC652758	Fc fragment of IgG, high affinity Ia, receptor (CD64) /// Fc-gamma receptor I B2 /// similar to Fc-gamma receptor I B2 isoform b	12.9933507
218788_s_at	SMYD3	SET and MYND domain containing 3	12.3622836
238362_at	PVT1	Pvt1 oncogene homolog, MYC activator (mouse)	12.3378429
211429_s_at	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	11.6096983
1565034_s_at	AFF3 /// MLL	AF4/FMR2 family, member 3 /// myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	11.3453797
204415_at	IFI6	interferon, alpha-inducible protein 6	10.5206575
204014_at	DUSP4	dual specificity phosphatase 4	10.2792268
242283_at	C1orf67	chromosome 1 open reading frame 67	10.1556272
211657_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) /// carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	10.0590707
1569996_at	---	CDNA clone IMAGE:5265638	9.8605642
238532_at	DPF3	D4, zinc and double PHD fingers, family 3	9.8054643
215925_s_at	CD72	CD72 molecule	9.7816306
212298_at	NRP1	neuropilin 1	9.5171928
232938_at	SFMBT2	Scm-like with four mbt domains 2	9.377925
206934_at	SIRPB1	signal-regulatory protein beta 1	9.3628802
239784_at	SMYD3	SET and MYND domain containing 3	9.2586735
203757_s_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	8.8197583
223862_at	GHRL	ghrelin/obestatin preprohormone	8.744416
224099_at	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	8.7193461
1562194_at	ZFHX1B	Zinc finger homeobox 1b	8.6789157
204401_at	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	8.6598295
202336_s_at	PAM	peptidylglycine alpha-amidating monooxygenase	8.579661
1554624_a_at	SIRPB1	signal-regulatory protein beta 1	8.4236818
1558522_at	---	Homo sapiens, clone IMAGE:3459334, mRNA	8.3991077
232453_at	GPC6	Glypican 6	8.2853312
244696_at	AFF3	AF4/FMR2 family, member 3	8.2736526
226459_at	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	8.2710997
239519_at	NRP1	Neuropilin 1	8.2400599
238950_at	---	Transcribed locus, moderately similar to NP_060312.1 hypothetical protein FLJ20489 [Homo sapiens]	8.2058751
202479_s_at	TRIB2	tribbles homolog 2 (Drosophila)	8.0851607
1554335_at	PSCD4	pleckstrin homology, Sec7 and coiled-coil domains 4	7.9065606
1558549_s_at	VNN1	vanin 1	7.7360278
211343_s_at	COL13A1	collagen, type XIII, alpha 1	7.7217995
226184_at	FMNL2	formin-like 2	7.6516001
203936_s_at	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	7.5867066
213346_at	C13orf27	chromosome 13 open reading frame 27	7.562087
213428_s_at	COL6A1	collagen, type VI, alpha 1	7.4962464
1561880_a_at	SIGLECP16	sialic acid binding Ig-like lectin, pseudogene 16	7.4317571
203695_s_at	DFNA5	deafness, autosomal dominant 5	7.3086654
202478_at	TRIB2	tribbles homolog 2 (Drosophila)	7.2891259
204475_at	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	7.2335545
210405_x_at	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	7.1785289
227677_at	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	7.1006502
242665_at	FMNL2	formin-like 2	7.0160261
44673_at	SIGLEC1	sialic acid binding Ig-like lectin 1, sialoadhesin	6.9892978
215195_at	PRKCA	protein kinase C, alpha	6.9627646
243082_at	---	---	6.9533765
1558290_a_at	PVT1 /// LOC441378	Pvt1 oncogene homolog, MYC activator (mouse) /// hypothetical LOC441378	6.9371263
215062_at	FMNL2	Formin-like 2	6.9238617
233090_at	GPC6	Glypican 6	6.8789068
209294_x_at	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	6.8439605
209037_s_at	EHD1	EH-domain containing 1	6.8373104
221489_s_at	SPRY4 /// LOC653170	sprouty homolog 4 (Drosophila) /// similar to sprouty homolog 4 (Drosophila)	6.8252535
216973_s_at	HOXB7	homeobox B7	6.8075677
210184_at	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	6.7763177
215324_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	6.7567984
228083_at	CACNA2D4	calcium channel, voltage-dependent, alpha 2/delta subunit 4	6.740526
207419_s_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	6.7048702
205786_s_at	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit) /// integrin, alpha M (complement component 3 receptor 3 subunit)	6.6828503
206134_at	ADAMDEC1	ADAM-like, decysin 1	6.6572144
232829_at	OR52K3P	olfactory receptor, family 52, subfamily K, member 3 pseudogene	6.6494208
204779_s_at	HOXB7	homeobox B7	6.6038466
204961_s_at	NCF1 /// LOC653361 /// LOC653840	neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1) /// similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1) (47 kDa neutrophil oxidase factor) (p47-phox) (NCF-47K) (47 kDa autosomal chronic granulomatous disease protein) (NOXO2) /// similar to Neutrophil cytosol factor 1 (NCF-1) (Neutrophil NADPH oxidase factor 1) (47 kDa neutrophil oxidase factor) (p47-phox) (NCF-47K) (47 kDa autosomal chronic granulomatous disease protein) (NOXO2)	6.564635
244413_at	DCAL1	dendritic cell-associated lectin-1	6.5630689
