GENE ID	Acession No.	Symbol	AT-MSC	AT-MSC-Hepa	Liver	Hepatocyte	Fold change AT-MSC-Hepa/AT-MSC
8404	NM_004684	SPARCL1	0.56	3239.77	172.87	1	5749.5
7503	NR_001564	XIST	0.26	540.66	0.6	1	2045.89
2243	NM_000508	FGA	0.01	19.55	138.8	1	1955.24
8483	NM_003613	CILP	0.64	1111.45	20.92	1	1741.55
1356	NM_000096	CP	0.01	13.97	72.24	1	1396.86
347	NM_001647	APOD	0.66	808.87	1.2	1	1226.08
121506	NM_152321	C12orf46	0.15	182.36	3.4	1	1209.1
10418	NM_006108	SPON1	0.96	974.86	47.53	1	1010.96
729	NM_000065	C6	0.01	9.27	104.33	1	888.76
1551	NM_000765	CYP3A7	0.01	10.04	5.38	1	875.27
2719	NM_004484	GPC3	0.01	8.75	0.04	1	875.12
383	NM_000045	ARG1	0.01	10.92	536.14	1	843.14
51156	NM_016186	SERPINA10	0.01	8.11	51.28	1	637.51
11326	NM_007268	VSIG4	0.01	8.94	34.92	1	634.33
338	NM_000384	APOB	0.01	6.26	29.22	1	625.84
2266	NM_000509	FGG	0.01	5.72	17.75	1	572.35
553137	AK124400	LOC553137	0.01	5.58	2.58	1	553.11
1672	NM_005218	DEFB1	0.01	5.44	0.89	1	543.88
4023	NM_000237	LPL	0.58	314.81	17.32	1	538.47
3698	NM_002216	ITIH2	0.01	5.25	13.59	1	524.98
64094	NM_022138	SMOC2	0.54	277.89	53.91	1	513.59
6822	NM_003167	SULT2A1	0.01	5.79	78.93	1	463.29
6414	NM_005410	SEPP1	0.01	4.5	21.33	1	450.34
2244	NM_005141	FGB	0.01	4.41	27.34	1	440.8
91464	NM_001008494	RAXLX	0.01	4.22	0.02	1	422.33
140828	THC2435906	C20orf56	0.01	3.94	15.97	1	394.46
	THC2373524		0.01	3.76	7.6	1	375.56
	AK129542		0.02	6.23	17.34	1	375.15
713	NM_000491	C1QB	0.03	12.04	112.8	1	374.41
6906	NM_000354	SERPINA7	0.01	3.72	40.28	1	372.29
55908	NM_018687	LOC55908	0.01	3.51	8.34	1	351.45
7366	NM_001076	UGT2B15	0.03	8.19	13.58	1	325.79
2	NM_000014	A2M	0.03	9.32	20.21	1	323.02
139221	NM_152423	MUM1L1	0.04	10.15	2.17	1	282.32
3934	NM_005564	LCN2	0.01	3.06	2.51	1	275.67
2824	NM_001001996	GPM6B	0.58	158.63	4.6	1	275.43
120425	NM_153206	AMICA1	0.04	11.08	8.34	1	270.37
	A_32_P166653		0.01	2.65	13.04	1	264.67
4316	NM_002423	MMP7	0.01	2.58	0.12	1	258.37
59084	NM_021572	ENPP5	0.55	138.21	1.63	1	249.52
2158	NM_000133	F9	0.01	2.49	98.68	1	248.63
147495	NM_153000	APCDD1	0.63	154.84	38.37	1	245.61
6362	NM_002988	CCL18	0.36	85.37	44.89	1	240.16
	BC033021		0.02	4.02	15.43	1	238.48
2214	NM_000569	FCGR3A	0.09	21.42	185.51	1	233.47
	AF119905		0.01	2.5	21.09	1	232.89
13	NM_001086	AADAC	0.01	2.31	4.31	1	231.35
57586	NM_020826	SYT13	0.11	24.83	1.57	1	222.5
3426	NM_000204	CFI	0.03	5.87	20.88	1	220.81
5053	NM_000277	PAH	0.01	2.17	21.03	1	217.13
2168	NM_001443	FABP1	0.01	2.17	9.56	1	216.69
9971	NM_005123	NR1H4	0.01	2.16	2.82	1	215.79
4153	NM_000242	MBL2	0.06	11.74	68.54	1	212.99
	S61396		0.01	2.01	16.88	1	201.06
5104	NM_000624	SERPINA5	0.01	2	5.18	1	200.35
	A_24_P334208		0.01	1.99	5.51	1	198.51
718	NM_000064	C3	0.01	1.94	6.09	1	194.23
6999	NM_005651	TDO2	0.04	8.6	62.04	1	191.39
173	NM_001133	AFM	0.02	3.95	32.45	1	190.88
5265	NM_001002236	SERPINA1	0.01	1.84	4.53	1	184.29
3250	NM_020995	HPR	0.01	1.81	10.17	1	180.58
1807	NM_001385	DPYS	0.01	1.8	23.75	1	180.07
2638	NM_000583	GC	0.01	1.77	11.33	1	176.83
3625	NM_002193	INHBB	0.03	4.53	1.86	1	176.74
5947	NM_002899	RBP1	0.01	2.21	1.02	1	174.35
1576	NM_017460	CYP3A4	0.01	1.72	16.75	1	172.07
3929	NM_004139	LBP	0.01	1.69	3.2	1	169.05
3175	NM_004498	ONECUT1	0.02	3.67	9.3	1	168.15
441368	A_24_P464238	LOC441368	0.09	14.76	80.87	1	166.5
348	NM_000041	APOE	0.01	1.62	5.08	1	162.12
3169	NM_004496	FOXA1	0.01	1.62	3.99	1	162.02
9332	NM_004244	CD163	0.03	5.03	35.33	1	157.32
90161	NM_147175	HS6ST2	0.12	18.4	0.28	1	156.2
7018	NM_001063	TF	0.01	1.53	5.23	1	153.25
6799	NM_177528	SULT1A2	0.02	2.45	3.16	1	152.57
348158	NM_182617	ACSM2	0.02	2.45	46.41	1	152.07
3080	NM_005666	CFHR2	0.02	2.55	180.3	1	151.26
	A_24_P928830		0.01	1.5	23.21	1	150.32
80201	NM_025130	HKDC1	0.01	1.49	0.01	1	148.95
2641	NM_002054	GCG	0.56	81.93	1.42	1	146.75
2153	NM_000130	F5	0.02	3.52	19.54	1	146.14
4885	NM_002523	NPTX2	0.02	2.52	0.67	1	146.12
6288	NM_000331	SAA1	0.01	1.45	13.33	1	144.81
256394	ENST00000334708	SERPINA11	0.01	1.43	11.34	1	143
2267	NM_201553	FGL1	0.01	1.4	6.2	1	140.27
653308	CR749831		0.01	1.39	5.35	1	139.21
3294	NM_002153	HSD17B2	0.01	1.36	7.42	1	135.88
	BC038219		0.01	1.34	1.31	1	134.05
116844	NM_052972	LRG1	0.01	1.32	27.74	1	131.9
3026	NM_004132	HABP2	0.01	1.31	1.57	1	130.71
4072	NM_002354	TACSTD1	0.01	1.3	0.1	1	130.48
27329	NM_014495	ANGPTL3	0.01	1.29	9.38	1	129.19
168002	NM_214462	DACT2	0.19	24.52	9.47	1	128.72
8740	NM_003807	TNFSF14	0.02	2	3.98	1	128.05
10537	NM_006398	UBD	0.01	1.28	0.01	1	127.53
3700	NM_002218	ITIH4	0.01	1.27	10.88	1	127.1
200010	NM_001011547	SLC5A9	0.01	1.26	0.24	1	126.24
6863	NM_003182	TAC1	0.46	58.4	2.53	1	126.16
629	NM_001710	CFB	0.02	2.55	16.31	1	124.02
3053	NM_000185	SERPIND1	0.01	1.56	5.6	1	123.79
722	NM_000715	C4BPA	0.01	1.23	23.89	1	123.43
710	NM_000062	SERPING1	0.02	2.33	7.64	1	123.15
