Gene	Probe Set ID	Ratio	95% CI		ZamLog2FC	RaineyLog2FC
FGFR4	211237_s_at	21.1	11.4	38.8	4.4	3.4
IGF2	210881_s_at	18.3	7.9	42.7	4.2	25.0
IGF2	202410_x_at	16.0	6.2	41.4	4.0	25.0
MVD	203027_s_at	7.6	3.1	18.5	2.9	3.0
CYP51A1	216607_s_at	7.1	3.7	13.9	2.8	7.1
ACLY	210337_s_at	7.0	2.9	17.2	2.8	3.2
COL11A1	37892_at	6.5	2.5	16.9	2.7	3.9
HMGCS1	221750_at	6.1	3.6	10.3	2.6	3.8
IMP-3	203820_s_at	5.7	2.4	13.5	2.5	5.0
FDPS	201275_at	5.6	3.6	8.9	2.5	3.3
IMP-3	203819_s_at	5.5	2.0	15.0	2.5	5.0
SC4MOL	209146_at	5.4	2.6	11.0	2.4	3.2
CYP51A1	202314_at	5.1	3.5	7.4	2.3	7.1
HMGCS1	205822_s_at	4.6	2.8	7.5	2.2	3.8
FGFR4	204579_at	4.6	2.5	8.2	2.2	3.4
HMGCR	202539_s_at	4.4	2.2	8.6	2.1	7.2
FDFT1	210950_s_at	3.8	2.5	5.8	1.9	4.0
HMGCR	202540_s_at	3.5	2.0	6.0	1.8	7.2
COL11A1	204320_at	3.4	1.5	7.8	1.8	3.9
FDFT1	208647_at	3.4	2.2	5.3	1.8	4.0
ACLY	201128_s_at	3.3	2.4	4.6	1.7	3.2
DHCR7	201791_s_at	3.1	1.9	5.0	1.6	3.2
FBN2	203184_at	2.8	1.5	5.0	1.5	5.3
DHCR7	201790_s_at	2.7	1.6	4.7	1.5	3.2
GALC	204417_at	2.3	1.5	3.5	1.2	4.8
HPGD	203913_s_at	2.1	0.5	9.9	1.1	12.0
MAPRE3	214270_s_at	2.1	1.0	4.4	1.1	2.8
CD163	216233_at	2.1	0.9	5.1	1.1	-3.4
MDK	209035_at	2.1	0.9	5.0	1.1	3.5
ACLY	201127_s_at	2.0	1.5	2.7	1.0	3.2
GLB1	201576_s_at	2.0	1.2	3.2	1.0	2.8
DFNA5	203695_s_at	1.9	1.2	3.0	0.9	3.8
KIF2	203087_s_at	1.9	0.8	4.3	0.9	3.0
CYFIP2	215785_s_at	1.8	1.0	3.3	0.9	3.5
PSMD14	212296_at	1.8	1.5	2.2	0.9	3.6
IMP-3	216493_s_at	1.8	0.5	6.1	0.8	5.0
CR1	217552_x_at	1.8	0.7	4.7	0.8	-4.1
HPGD	211548_s_at	1.8	0.7	4.6	0.8	12.0
HPGD	203914_x_at	1.6	0.7	3.8	0.7	12.0
CYFIP2	220999_s_at	1.6	0.7	3.8	0.7	3.5
DLC1	210762_s_at	1.5	1.0	2.2	0.6	5.4
CTNNB1	201533_at	1.5	1.0	2.2	0.6	3.9
HPGD	211549_s_at	1.4	0.7	3.0	0.5	12.0
ELL2	214445_at	1.3	0.5	3.5	0.4	-3.8
NPR3	219790_s_at	1.3	0.7	2.4	0.4	6.0
MAPRE3	203841_x_at	1.3	0.6	2.9	0.4	2.8
C5orf13	201309_x_at	1.2	0.7	2.1	0.3	4.1
C5orf13	201310_s_at	1.2	0.9	1.6	0.3	4.1
MAPRE3	203842_s_at	1.2	0.6	2.5	0.2	2.8
DLC1	220512_at	1.1	0.7	1.9	0.2	5.4
PAPSS2	203058_s_at	1.1	0.6	2.0	0.1	4.5
PAPSS2	203060_s_at	1.1	0.6	1.9	0.1	4.5
GALC	211810_s_at	1.1	0.7	1.7	0.1	4.8
C5orf13	222344_at	1.0	0.7	1.5	0.0	4.1
PAPSS2	203059_s_at	1.0	0.5	1.9	0.0	4.5
IMP-3	216494_at	1.0	0.4	2.6	0.0	5.0
