LocusLink	Name
38	Acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)
56	Acrosomal vesicle protein 1
102	A disintegrin and metalloproteinase domain 10
158	Adenylosuccinate lyase
202	Absent in melanoma 1
207	V-akt murine thymoma viral oncogene homolog 1
293	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6
316	Aldehyde oxidase 1
324	Adenomatosis polyposis coli
328	APEX nuclease (multifunctional DNA repair enzyme) 1
329	Baculoviral IAP repeat-containing 2
339	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
363	Aquaporin 6, kidney specific
378	ADP-ribosylation factor 4
389	Ras homolog gene family, member C
397	Rho GDP dissociation inhibitor (GDI) beta
476
509	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
638
650	Bone morphogenetic protein 2
675	Breast cancer 2, early onset
836	Caspase 3, apoptosis-related cysteine protease
837	Caspase 4, apoptosis-related cysteine protease
873	Carbonyl reductase 1
892	Cyclin C
902	Cyclin H
904	Cyclin T1
994	Cell division cycle 25B
1029
1047	Calmegin
1075	Cathepsin C
1152	Creatine kinase, brain
1207	Chloride channel, nucleotide-sensitive, 1A
1211	Clathrin, light polypeptide (Lca)
1294	Collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)
1393	Corticotropin releasing hormone binding protein
1396	Cysteine-rich protein 1 (intestinal)
1457
1471	Cystatin C (amyloid angiopathy and cerebral hemorrhage)
1528	Cytochrome b-5
1605	Dystroglycan 1 (dystrophin-associated glycoprotein 1)
1633	Deoxycytidine kinase
1645
1649	DNA-damage-inducible transcript 3
1737	Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
1822	Atrophin 1
1827	Down syndrome critical region gene 1
1983	Eukaryotic translation initiation factor 5
2146	Enhancer of zeste homolog 2 (Drosophila)
2150	Coagulation factor II (thrombin) receptor-like 1
2165	Coagulation factor XIII, B polypeptide
2180	Acyl-CoA synthetase long-chain family member 1
2200	Fibrillin 1 (Marfan syndrome)
2235	Ferrochelatase (protoporphyria)
2308	Forkhead box O1A (rhabdomyosarcoma)
2339	Farnesyltransferase, CAAX box, alpha
2352	Folate receptor 3 (gamma)
2531	Follicular lymphoma variant translocation 1
2566	Gamma-aminobutyric acid (GABA) A receptor, gamma 2
2619	Growth arrest-specific 1
2647	Biogenesis of lysosome-related organelles complex-1, subunit 1
2665	GDP dissociation inhibitor 2
2746
2802	Golgi autoantigen, golgin subfamily a, 3
2803
2908	Nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
2926	G-rich RNA sequence binding factor 1
2941	Glutathione S-transferase A4
3052	Holocytochrome c synthase (cytochrome c heme-lyase)
3071	Hematopoietic protein 1
3097	Human immunodeficiency virus type I enhancer binding protein 2
3110	Homeo box HB9
3161	Hyaluronan-mediated motility receptor (RHAMM)
3267	HIV-1 Rev binding protein
3346	Histatin 1
3422	Isopentenyl-diphosphate delta isomerase
3475	Interferon-related developmental regulator 1
3502
3572	In multiple clusters
3590	Interleukin 11 receptor, alpha
3669	Interferon stimulated gene 20kDa
3673	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
3698	Inter-alpha (globulin) inhibitor H2
3703	Integral membrane protein 1
3714	Jagged 2
3791	Kinase insert domain receptor (a type III receptor tyrosine kinase)
3799	Kinesin family member 5B
4035	Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
4074	Mannose-6-phosphate receptor (cation dependent)
4082	Myristoylated alanine-rich protein kinase C substrate
4090	SMAD, mothers against DPP homolog 5 (Drosophila)
4162	Melanoma cell adhesion molecule
4172	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
4191	Malate dehydrogenase 2, NAD (mitochondrial)
4281	Midline 1 (Opitz/BBB syndrome)
4326	Matrix metalloproteinase 17 (membrane-inserted)
4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
4666	Nascent-polypeptide-associated complex alpha polypeptide
4698	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa
4712	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa
4724	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)
4863	Nuclear protein, ataxia-telangiectasia locus
4919	Receptor tyrosine kinase-like orphan receptor 1
4974	Oligodendrocyte myelin glycoprotein
5007	Oxysterol binding protein
5058	P21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)
5111	Proliferating cell nuclear antigen
5188	PET112-like (yeast)
5264	Phytanoyl-CoA hydroxylase (Refsum disease)
5327	Plasminogen activator, tissue
5356	Pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)
5368	Prepronociceptin
5423	Polymerase (DNA directed), beta
5447	P450 (cytochrome) oxidoreductase
5458
5463	POU domain, class 6, transcription factor 1
5520	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
5547
5550	Prolyl endopeptidase
5558	Primase, polypeptide 2A, 58kDa
5602	Mitogen-activated protein kinase 10
5621	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
5634	Phosphoribosyl pyrophosphate synthetase 2
5635	Phosphoribosyl pyrophosphate synthetase-associated protein 1
5645	Protease, serine, 2 (trypsin 2)
5718	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
5786
5859	Glutaminyl-tRNA synthetase
5868	RAB5A, member RAS oncogene family
5870	In multiple clusters
5901	In multiple clusters
5965	RecQ protein-like (DNA helicase Q1-like)
5980	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)
6093	Rho-associated, coiled-coil containing protein kinase 1
6103	Retinitis pigmentosa GTPase regulator
6192	Ribosomal protein S4, Y-linked 1
6238	Ribosome binding protein 1 homolog 180kDa (dog)
6302	Sarcoma amplified sequence
6363	Chemokine (C-C motif) ligand 19
6386	Syndecan binding protein (syntenin)
6392	Succinate dehydrogenase complex, subunit D, integral membrane protein
6422	Secreted frizzled-related protein 1
6427
6433	Splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)
6472	Serine hydroxymethyltransferase 2 (mitochondrial)
6511	Solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
6522	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)
6558	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2
6579	Solute carrier organic anion transporter family, member 1A2
6599	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
6614	Sialoadhesin
6619	Small nuclear RNA activating complex, polypeptide 3, 50kDa
6653
6731	Signal recognition particle 72kDa
6734	Signal recognition particle receptor (docking protein)
6749	Structure specific recognition protein 1
6768	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
6787	NIMA (never in mitosis gene a)-related kinase 4
6840	In multiple clusters
6890	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
6990	T-complex-associated-testis-expressed 1-like
7046	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)
7069	Thyroid hormone responsive (SPOT14 homolog, rat)
7098	Toll-like receptor 3
7123	C-type lectin domain family 3, member B
7128	Tumor necrosis factor, alpha-induced protein 3
7169	Tropomyosin 2 (beta)
7175	Translocated promoter region (to activated MET oncogene)
7204	Triple functional domain (PTPRF interacting)
7342	Upstream binding protein 1 (LBP-1a)
7375	Ubiquitin specific protease 4 (proto-oncogene)
7379	Uroplakin 2
7411	Von Hippel-Lindau binding protein 1
7453	Tryptophanyl-tRNA synthetase
7480	Wingless-type MMTV integration site family, member 10B
7511	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
7637	Zinc finger protein 84 (HPF2)
7699	Zinc finger protein 140 (clone pHZ-39)
7750	Zinc finger protein 198
7866	Interferon-related developmental regulator 2
7873	Arginine-rich, mutated in early stage tumors
7994	MYST histone acetyltransferase (monocytic leukemia) 3
8079	Myeloid leukemia factor 2
8301	Phosphatidylinositol binding clathrin assembly protein
