Gene symbol	Genbank accession number	Mean of ratios in NHF-hTERT	Mean of ratios in NHF-hTERT shp53	Fold difference of means	Parametric P value
MDM2	NM_006879	23.051	1.203	19.161	< 1e-7
BTG2	NM_006763	7.677	0.502	15.293	4.00E-07
TP53I3	NM_004881	7.227	1.476	4.896	1.00E-06
SULF2	NM_018837	17.253	1.075	16.049	1.30E-06
GDF15	NM_004864	13.951	1.206	11.568	1.60E-06
CYFIP2	NM_030778	4.682	0.88	5.32	2.30E-06
NINJ1	NM_004148	4.122	0.937	4.399	2.90E-06
LOC728364	XR_015271	2.78	0.578	4.81	3.20E-06
PLTP	NM_006227	12.503	1.059	11.806	4.70E-06
SESN1	NM_014454	4.912	0.772	6.363	1.02E-05
