GENE ID	Common	Symbol	AT-MSC	AT-MSC-Hepa	Liver	Hepatocyte	Fold change AT-MSC-Hepa/AT-MSC
176	NM_013227	AGC1	300.6	0.5	0.65	1	0
27006	NM_020637	FGF22	5.49	0.01	0.1	1	0
1016	NM_004934	CDH18	78.98	0.15	0.17	1	0
83895	NM_031957	KRTAP1-5	1551.11	2.99	1.74	1	0
1404	NM_001884	HAPLN1	525.76	1.22	1.38	1	0
6469	NM_000193	SHH	3.39	0.01	0.13	1	0
3036	NM_001523	HAS1	93.79	0.4	0.5	1	0
54742	NM_017527	LY6K	158.73	0.7	1.96	1	0
79801	NM_024745	SHCBP1	22.32	0.17	0.19	1	0.01
6751	NM_001049	SSTR1	48.87	0.49	13.05	1	0.01
3833	NM_002263	KIFC1	3.77	0.04	0.04	1	0.01
222663	NM_152753	SCUBE3	85	0.98	0.29	1	0.01
150468	NM_152515	CKAP2L	14.53	0.18	0.19	1	0.01
54443	NM_018685	ANLN	12.63	0.16	0.09	1	0.01
85477	NM_033128	SCIN	93.48	1.15	1.41	1	0.01
4314	NM_002422	MMP3	5.1	0.06	0.02	1	0.01
29998	NM_015711	GLTSCR1	2.92	0.04	0.19	1	0.01
	A_32_P4882		4.45	0.06	0.07	1	0.01
332	NM_001012271	BIRC5	7.44	0.1	0.08	1	0.01
8482	NM_003612	SEMA7A	3.9	0.06	0.01	1	0.01
9890	NM_014839	LPPR4	17.21	0.27	2.74	1	0.02
57405	NM_020675	SPBC25	10.28	0.16	0.09	1	0.02
54478	NM_019013	FAM64A	16.94	0.26	0.18	1	0.02
2297	NM_004472	FOXD1	2.31	0.04	0.22	1	0.02
64399	NM_022475	HHIP	383.84	6.57	45.48	1	0.02
4001	NM_005573	LMNB1	3.36	0.06	1	1	0.02
	ENST00000321925		66.64	1.19	1.84	1	0.02
8111	BC098567	GPR68	760.85	13.86	7.47	1	0.02
9787	NM_014750	DLG7	45.53	0.85	0.29	1	0.02
8710	NM_003784	SERPINB7	11.42	0.22	0.28	1	0.02
130576	NM_177964	LOC130576	45.36	0.89	1.15	1	0.02
55165	NM_018131	CEP55	29.91	0.61	0.13	1	0.02
1058	NM_001809	CENPA	8.43	0.17	0.21	1	0.02
27129	NM_014424	HSPB7	269.63	5.62	1.7	1	0.02
50863	NM_016522	HNT	53.21	1.14	1.28	1	0.02
	ENST00000338956		1.71	0.04	0.26	1	0.02
83540	NM_145697	CDCA1	30.02	0.66	0.34	1	0.02
81851	NM_030967	KRTAP1-1	9.69	0.21	0.89	1	0.02
81610	NM_030919	FAM83D	4.31	0.1	0.38	1	0.02
4288	NM_002417	MKI67	25.07	0.58	1.13	1	0.02
55872	NM_018492	PBK	13.36	0.31	0.04	1	0.02
440072	NM_001007543	C11orf37	4.19	0.1	0.3	1	0.02
22871	NM_014932	NLGN1	45.45	1.07	1.36	1	0.02
81930	NM_031217	KIF18A	45.23	1.09	1.3	1	0.02
10974	NM_006829	C10orf116	1.08	0.03	1.6	1	0.02
56256	NM_019605	SERTAD4	94.36	2.32	1.42	1	0.02
891	NM_031966	CCNB1	5.98	0.15	0.15	1	0.03
79019	NM_001002876	CENPM	3.37	0.08	0.1	1	0.03
	AK025430		1.96	0.05	0.29	1	0.03
51512	NM_016426	GTSE1	4.45	0.11	0.16	1	0.03
	U52054		117.16	3.02	19.22	1	0.03
	A_24_P84711		14.83	0.38	0.23	1	0.03
	AK021425		4.27	0.11	0.14	1	0.03
	A_32_P182135		6.35	0.17	0.91	1	0.03
	A_32_P152696		10.8	0.29	0.24	1	0.03
221687	NM_152737	RNF182	118.57	3.25	1.3	1	0.03
157570	NM_001017420	ESCO2	6	0.17	0.35	1	0.03
10112	NM_005733	KIF20A	13.71	0.38	1.08	1	0.03
11065	NM_181803	UBE2C	7.16	0.2	0.1	1	0.03
9055	NM_003981	PRC1	6.63	0.19	0.17	1	0.03
699	NM_004336	BUB1	9.97	0.28	0.14	1	0.03
7083	NM_003258	TK1	4.71	0.13	0.4	1	0.03
4603	X66087	MYBL1	11.56	0.33	1.86	1	0.03
	NM_178838		41	1.18	1.41	1	0.03
	AK128714		36.59	1.05	8.26	1	0.03
3161	NM_012484	HMMR	17.72	0.51	0.34	1	0.03
54345	NM_018419	SOX18	1.49	0.04	0.32	1	0.03
	BE503874		1.38	0.04	0.29	1	0.03
	THC2438621		35.93	1.07	1.39	1	0.03
	A_24_P482124		1.67	0.05	0.26	1	0.03
2305	NM_202002	FOXM1	8.2	0.25	0.12	1	0.03
2044	BX537946	EPHA5	14.45	0.44	0.56	1	0.03
89958	NM_178448	C9orf140	5.04	0.16	0.51	1	0.03
	THC2438492		8.16	0.26	0.33	1	0.03
221476	NM_153370	PI16	16.36	0.52	1.65	1	0.03
5179	NM_006211	PENK	160.93	5.13	1.34	1	0.03
284266	NM_213602	CD33L3	12.14	0.39	0.83	1	0.03
2952	NM_000853	GSTT1	0.31	0.01	3.21	1	0.03
995	NM_001790	CDC25C	6.2	0.2	0.22	1	0.03
26585	NM_013372	GREM1	2207.91	72.1	8.28	1	0.03
11004	NM_006845	KIF2C	7.88	0.26	0.91	1	0.03
221150	BC013418	C13orf3	8.12	0.27	0.13	1	0.03
2134	NM_004455	EXTL1	10.02	0.34	0.4	1	0.03
54821	NM_001009954	FLJ20105	9.9	0.34	0.36	1	0.03
55355	NM_018410	DKFZp762E1312	4.49	0.16	0.05	1	0.03
205860	NM_173553	FLJ25801	33.82	1.19	1.34	1	0.04
	AB058770		13.4	0.47	0.18	1	0.04
6899	NM_080647	TBX1	2.24	0.08	0.42	1	0.04
4751	NM_002497	NEK2	26.51	0.94	1.14	1	0.04
6241	NM_001034	RRM2	2.8	0.1	0.03	1	0.04
170690	AB095949	ADAMTS16	3.38	0.12	0.25	1	0.04
284598	AK096928	FLJ39609	34.01	1.25	1.37	1	0.04
6941	NM_007109	TCF19	3.94	0.15	0.17	1	0.04
5347	NM_005030	PLK1	6.64	0.25	0.12	1	0.04
23397	NM_015341	BRRN1	3.81	0.14	0.13	1	0.04
9133	NM_004701	CCNB2	10	0.38	0.08	1	0.04
	AK027610		1.44	0.05	1.12	1	0.04
	BQ333643		2.24	0.08	0.29	1	0.04
5999	NM_005613	RGS4	430.26	16.34	2.35	1	0.04
115572	NM_052943	FAM46B	4.34	0.17	0.86	1	0.04
	A_32_P124773		1.93	0.07	1.34	1	0.04
	BC017721		9.33	0.36	3.8	1	0.04
64096	NM_022139	GFRA4	1.43	0.06	0.3	1	0.04
9768	NM_014736	KIAA0101	9.9	0.39	0.17	1	0.04
24137	NM_012310	KIF4A	7.26	0.28	0.11	1	0.04
1365	NM_001306	CLDN3	1.65	0.06	0.65	1	0.04
9212	NM_004217	AURKB	2.16	0.09	0.09	1	0.04
3575	NM_002185	IL7R	94.7	3.76	146.17	1	0.04
79156	NM_024310	PLEKHF1	2.35	0.09	0.31	1	0.04
	A_24_P365349		11.48	0.46	0.53	1	0.04
	AA719641		30.19	1.2	8.54	1	0.04
114757	NM_134268	CYGB	6.08	0.25	1.08	1	0.04
	THC2394165		28.87	1.18	1.35	1	0.04
57491	AB033060	AHRR	177.2	7.32	1.26	1	0.04
1063	NM_016343	CENPF	46.52	1.93	0.36	1	0.04
55388	NM_182751	MCM10	3.66	0.15	0.11	1	0.04
	BC009749		1.93	0.08	0.36	1	0.04
55635	NM_017779	DEPDC1	18.89	0.8	0.4	1	0.04
	ENST00000335534		3.8	0.16	0.2	1	0.04
7272	NM_003318	TTK	9.74	0.41	0.21	1	0.04
8438	NM_003579	RAD54L	2.26	0.1	0.04	1	0.04
22801	NM_001004439	ITGA11	104.22	4.42	0.98	1	0.04
2312	NM_002016	FLG	15.35	0.65	1.37	1	0.04
220134	NM_145060	C18orf24	5.19	0.22	0.23	1	0.04
151648	NM_001012409	SGOL1	5.18	0.22	0.26	1	0.04
64151	NM_022346	HCAP-G	9.23	0.4	0.1	1	0.04
	A_24_P195400		1.59	0.07	0.29	1	0.04
	A_32_P64004		6.82	0.3	0.86	1	0.04
6932	NM_003202	TCF7	10.41	0.46	1.04	1	0.04
388125	NM_001007595	NLF2	1.23	0.05	0.31	1	0.04
11113	NM_007174	CIT	6.68	0.3	1.21	1	0.04
57687	NM_020927	KIAA1576	68.86	3.07	1.39	1	0.04
7153	NM_001067	TOP2A	21.69	0.98	0.1	1	0.05
50515	NM_018413	CHST11	34.51	1.56	4.88	1	0.05
161198	NM_175060	CLEC14A	148.44	6.74	124.85	1	0.05
10744	NM_006607	PTTG2	10.95	0.5	0.23	1	0.05
144699	NM_152441	FBXL14	0.86	0.04	0.29	1	0.05
154075	NM_001017373	SAMD3	35.88	1.64	1.39	1	0.05
983	NM_001786	CDC2	7.85	0.36	0.13	1	0.05
9232	NM_004219	PTTG1	12.83	0.61	0.16	1	0.05
3589	NM_000641	IL11	8.71	0.41	0.54	1	0.05
	A_32_P9737		7.83	0.38	1.61	1	0.05
284403	NM_173636	WDR62	1.52	0.07	0.39	1	0.05
3624	NM_002192	INHBA	45.59	2.22	1.7	1	0.05
113179	NM_138422	LOC113179	2.51	0.12	0.47	1	0.05
2151	NM_004101	F2RL2	354.14	17.27	1.36	1	0.05
286333	AK127516	C9orf109	38.39	1.88	1.5	1	0.05
4620	NM_017534	MYH2	24.33	1.19	1.35	1	0.05
	ENST00000315255		0.99	0.05	0.3	1	0.05
	A_24_P306896		7.46	0.37	0.46	1	0.05
2624	NM_032638	GATA2	6.4	0.32	1.51	1	0.05
	A_24_P705167		2.67	0.14	0.32	1	0.05
	THC2317587		14.97	0.76	0.98	1	0.05
5764	NM_002825	PTN	545.45	27.82	26.27	1	0.05
5787	NM_002837	PTPRB	47.62	2.43	117.19	1	0.05
50615	NM_181078	IL21R	13.62	0.7	2.39	1	0.05
	ENST00000299502		9.8	0.51	0.59	1	0.05
5308	NM_153426	PITX2	670.91	34.92	1.39	1	0.05
80830	BC047864	APOL6	0.23	0.01	0.92	1	0.05
	THC2346243		67.72	3.54	1.35	1	0.05
	AK128714		4.43	0.23	2.13	1	0.05
7782	NM_013309	SLC30A4	4.79	0.25	2.73	1	0.05
	BC094794		66.07	3.54	0.5	1	0.05
259266	NM_018136	ASPM	18.15	0.97	0.31	1	0.05
	AI345640		1.55	0.08	0.09	1	0.05
10460	NM_006342	TACC3	3.2	0.17	0.43	1	0.05
5891	NM_014226	RAGE	25.05	1.35	0.82	1	0.05
284739	NM_207349	LOC284739	1.38	0.07	0.29	1	0.05
890	NM_001237	CCNA2	7.63	0.41	0.12	1	0.05
144455	NM_203394	E2F7	23.08	1.26	0.89	1	0.05
9493	NM_138555	KIF23	9.23	0.51	0.34	1	0.05
	BC035669		2.09	0.11	0.35	1	0.06
991	NM_001255	CDC20	4.46	0.25	0.18	1	0.06
	AK001116		19.5	1.08	1.28	1	0.06
8318	NM_003504	CDC45L	1.67	0.09	0.09	1	0.06
2555	NM_000807	GABRA2	18.99	1.05	1.38	1	0.06
	CR620567		19.39	1.08	2.44	1	0.06
	BX537432		19.2	1.07	1.38	1	0.06
8324	NM_003507	FZD7	1201.74	67.24	7.84	1	0.06
64689	NM_031899	GORASP1	0.94	0.05	0.74	1	0.06
9824	NM_014783	ARHGAP11A	10.2	0.57	0.26	1	0.06
55143	NM_018101	CDCA8	3.1	0.18	0.12	1	0.06
	D31828		1.08	0.06	0.3	1	0.06
8000	NM_005672	PSCA	5.67	0.32	1.12	1	0.06
55714	AK001336	ODZ3	466.94	26.89	8.09	1	0.06
4223	NM_005924	MEOX2	23.38	1.35	1.35	1	0.06
	THC2266257		18.38	1.06	2.61	1	0.06
22974	NM_012112	TPX2	4.73	0.27	0.25	1	0.06
3832	NM_004523	KIF11	22.55	1.31	1.53	1	0.06
3777	NM_002246	KCNK3	0.95	0.06	0.3	1	0.06
84665	NM_032578	MYPN	6.04	0.36	0.32	1	0.06
