UniGene ID	Gene Name	Description	SAM score(d)
Hs.293798	ZNF436	Zinc finger protein 436	-7.05
Hs.388613	NEO1	Neogenin homolog 1 (chicken)	-7
Hs.374097	IRF2	Interferon regulatory factor 2	-6.13
Hs.122927	RSNL2	Restin-like 2	-6.09
Hs.514308	FAM117A	Family with sequence similarity 117, member A	-5.92
Hs.444213	TLE4	Transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	-5.92
Hs.428027	PBX3	Pre-B-cell leukemia transcription factor 3	-5.78
Hs.511316	GABPB2	GA binding protein transcription factor, beta subunit 2	-5.52
Hs.529044	RAB22A	RAB22A, member RAS oncogene family	-5.45
Hs.434993	RBJ	Ras-associated protein Rap1	-5.28
Hs.496138	IQSEC2	IQ motif and Sec7 domain 2	-4.7
Hs.78960	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	-4.54
Hs.269592	CC2D1A	Coiled-coil and C2 domain containing 1A	-4.21
Hs.521083	HRBL	HIV-1 Rev binding protein-like	-4.19
Hs.469658	BCL2L11	BCL2-like 11 (apoptosis facilitator)	-4.08
Hs.299315	DPYSL5	Dihydropyrimidinase-like 5	-3.93
