Entrez gene ID	Gene	GRalpha Fold change	GRalpha-A Fold change	GRalpha-B Fold change	GRalpha-C Fold change	GRalpha-D Fold change
2	A2M	1.47	2.28	3.26	3.4	?1.13
9625	AATK	1.2	3.29	1.63	2.69	1.75
25	ABL1	?2.10	?1.88	?1.99	?2.23	?1.29
87	ACTN1	?1.27	?1.29	?1.30	?1.23	?1.09
88	ACTN2	9.88	11.08	3.58	5.77	?1.35
150209	AIFL	1	8.87	1.45	1.94	16.94
207	AKT1	?1.53	?1.76	?1.48	?1.51	?1.18
208	AKT2	?1.58	?1.26	?1.27	?1.37	?1.12
347902	AMIGO2	?18.86	?19.68	?15.26	?9.55	?24.43
51129	ANGPTL4	?7.33	?11.44	?3.76	?10.84	1.15
348	APOE	2.42	1.37	1.4	1.76	1.55
80833	APOL3	1.22	?1.06	1.27	2.08	?1.11
54840	APTX	?1.71	?1.39	?1.20	?1.44	1.14
51742	ARID4B	?1.34	?1.32	?1.14	?1.39	?1.37
9140	ATG12	?1.05	1	1.2	1.28	1.19
23192	ATG4B	1.37	1.43	1.19	1.34	1.19
6310	ATXN1	?3.70	?4.70	?3.27	?3.58	?3.21
6311	ATXN2	?1.27	?1.31	?1.34	?1.49	?1.09
64651	AXUD1	?3.65	?3.01	?1.70	?3.53	1.36
573	BAG1	?1.42	?1.39	?1.14	?1.40	1.02
9532	BAG2	?3.20	?2.26	?1.68	?2.11	?1.33
9531	BAG3	?1.88	1.19	1.71	1.23	1.38
9530	BAG4	?1.11	?1.51	?1.27	?1.38	?1.24
580	BARD1	1.37	1.43	1.34	1.08	1.35
8915	BCL10	1.6	1.27	1.02	1.15	1.02
598	BCL2L1	?4.28	?2.94	?2.86	?2.56	?1.46
10018	BCL2L11	?1.24	?1.85	?1.65	?1.65	?1.42
79370	BCL2L14	2.57	3.74	8.47	1.86	?1.23
599	BCL2L2	?1.92	?1.63	?1.47	?1.99	?1.02
54880	BCOR	?1.58	?1.73	?1.56	?1.93	?1.61
