Probe sets	Gene symbols	Fold Change	q-value(%)
201746_at	TP53	5.501	0
219073_s_at	OSBPL10	2.036	0
232946_s_at	NADSYN1	1.417	0
204446_s_at	ALOX5	1.997	0
227964_at	FKSG44	1.406	0
203659_s_at	TRIM13	1.365	0
208029_s_at	LAPTM4B	3.703	0
218084_x_at	FXYD5	1.410	0
204882_at	ARHGAP25	1.774	0
225804_at	CYB5D2	1.389	0
213293_s_at	TRIM22	2.517	0
209295_at	TNFRSF10B	1.623	0
226225_at	MCC	1.464	0
224700_at	STT3B	1.239	0
212285_s_at	AGRN	1.667	0
226158_at	KLHL24	1.296	0
34408_at	RTN2	1.819	0
225272_at	SAT2	1.374	0
218918_at	MAN1C1	2.266	0
219734_at	SIDT1	1.571	0
205968_at	KCNS3	2.722	0
34206_at	CENTD2	1.255	0
210130_s_at	TM7SF2	1.355	0
218902_at	NOTCH1	1.309	0
207996_s_at	C18orf1	1.551	0
218346_s_at	SESN1	1.400	0
221767_x_at	HDLBP	1.317	0
207738_s_at	NCKAP1	1.618	0
242463_x_at	ZNF600	1.317	0
219628_at	ZMAT3	1.252	0.141
214953_s_at	APP	1.633	0.141
203596_s_at	IFIT5	1.224	0.141
202812_at	GAA	1.305	0.141
212134_at	PHLDB1	1.371	0.399
218769_s_at	ANKRA2	1.141	0.399
209328_x_at	HIGD2A	1.350	0.399
201236_s_at	BTG2	1.112	0.399
227099_s_at	LOC387763	1.695	0.465
217749_at	COPG	1.128	0.465
220998_s_at	UNC93B1	1.247	0.465
224022_x_at	WNT16	1.954	0.681
223199_at	MKNK2	1.127	0.775
220511_s_at	DLC1	1.270	0.865
218552_at	ECHDC2	1.156	0.865
214657_s_at	TncRNA	1.228	0.865
225289_at	STAT3	1.115	0.865
238647_at	C14orf28	1.189	0.865
218562_s_at	TMEM57	1.022	0.865
214209_s_at	ABCB9	1.042	0.865
203186_s_at	S100A4	0.344	0.906
203799_at	CD302	0.641	0.906
211379_x_at	B3GALNT1	0.169	0.906
222958_s_at	DEPDC1	0.582	0.906
204069_at	MEIS1	0.644	0.906
226416_at	THEX1	0.788	0.906
224392_s_at	OPN3	0.686	0.906
211814_s_at	CCNE2	0.736	0.906
228557_at	L3MBTL4	0.705	0.906
241733_at	C18orf54	0.548	0.906
207791_s_at	RAB1A	0.846	0.906
1557129_a_at	FAM111B	0.475	0.906
211519_s_at	KIF2C	0.752	0.906
236224_at	RIT1	0.748	0.906
223785_at	FANCI	0.778	0.906
241820_at	RIF1	0.801	0.906
235425_at	SGOL2	0.743	0.906
234306_s_at	SLAMF7	0.807	0.906
212855_at	DCUN1D4	0.742	0.906
210864_x_at	HFE	0.806	0.906
224428_s_at	CDCA7	0.561	0.906
1552619_a_at	ANLN	0.731	0.906
218542_at	CEP55	0.696	0.906
229886_at	C5orf34	0.724	0.906
209118_s_at	TUBA1A	0.606	0.906
1555772_a_at	CDC25A	0.671	0.906
244439_at	SPRED1	0.594	0.906
204531_s_at	BRCA1	0.696	0.906
202990_at	PYGL	0.785	0.906
209884_s_at	SLC4A7	0.704	0.906
1570173_at	INTS7	0.687	0.906
226661_at	CDCA2	0.754	0.906
232238_at	ASPM	0.668	0.906
219502_at	NEIL3	0.789	0.906
204161_s_at	ENPP4	0.810	1.014
242519_at	SEPP1	0.695	1.119
219262_at	SUV39H2	0.752	1.22
