Gene Name	Description	Lymph Node (+)	Metastasis (Yes)	Relapse (Yes)
CUEDC1	CUE domain containing 1	0.04	0.033	0.018
RCE1	RCE1 homologue. prenyl protein protease	0.038	0.0001	0.0001
AP2S1	Adaptor-related protein complex 2	0.015	0.038	0.508
FGFR4	Fibroblast growth factor receptor 4	0.035	0.279	0.913
DCTN3	Dynactin 3 (p22)	0.003	0.868	0.682
RHBDD2	Rhomboid domain containing 2	0.042	0.3	0.259
HOXC10	Homeobox C10	0.013	0.52	0.471
DUSP11	Dual specificity phosphatase 11	0.049	0.158	0.94
SURF4	Surfeit 4	0.393	0.024	0.009
CSNK1D	Casein kinase 1 d	0.417	0.0001	0.001
FLJ10415	Hypothetical protein	0.029	0.0001	0.0001
ALDOA	Aldolase A	0.212	0.0001	0.109
TCEB3	Transcription elongation factor B	0.335	0.322	0.02
ZNF10	Zinc finger protein 10 (KOK1)	0.818	0.722	0.0001
DEK	DEK oncogene	0.419	0.673	0.005
AKT1S1	AKT1 substrate 1 (proline-rich)	0.533	0.36	0.037
MUF1	MUF1 protein	0.688	0.322	0.028
HNRPA3	Heterogeneous nuclear ribonucleoprotein A3	0.977	0.14	0.004
SMURF2	SMAD specific E3 ubiquitin protein ligase 2	0.704	0.058	0.0001
RBM4	RNA binding motif protein 4	0.882	0.783	0.032
PLINP1	Growth arrest and DNA-damage-inducible	0.424	0.208	0.039
NTAN1	NH2-terminal asparagines amidase	0.925		0.005
