Probe Set ID	Gene	Ratio	95% CI	95% CI
215441_at	---	8.78	2.49	30.96
205598_at	TRIP	7.29	3.49	15.24
219537_x_at	DLL3	5.05	3.28	7.79
216947_at	---	4.57	2.08	10.05
220674_at	FLJ22814	4.53	2.09	9.81
219727_at	DUOX2	3.80	2.22	6.52
203866_at	FLJ10458	3.41	1.75	6.67
213877_x_at	TCEB2	3.24	1.96	5.37
206954_at	WIT-1	3.16	1.45	6.88
201579_at	FAT	2.95	1.50	5.82
217277_at	---	2.62	1.63	4.23
220011_at	MGC2603	2.23	1.64	3.02
208824_x_at	PCTK1	1.93	1.44	2.60
209844_at	HOXB13	1.90	1.43	2.54
215380_s_at	C7orf24	1.87	1.47	2.38
206817_x_at	TNRC4	1.83	1.34	2.50
202900_s_at	NUP88	1.78	1.37	2.31
51176_at	CRSP8	1.77	1.21	2.61
220009_at	RNF127	1.74	1.40	2.17
220367_s_at	SAP130	1.68	1.39	2.02
202251_at	PRPF3	1.59	1.23	2.04
218485_s_at	SLC35C1	1.52	1.03	2.26
217754_at	DDX56	1.45	1.20	1.77
