Gene symbol	ADCA smoker	ADCA nonsmoker	Control smoker	Control nonsmokers	Ratio of ADCA/control	Ratio of smoker/nonsmoker
ACTR2	0.6	1.9	1.9	0.5	1	1.1
ADAMTS1	0.7	2.5	1	0.6	2	0.5
AGTR2	2.2	1.1	1.3	0.3	2.1	2.4
AHRR	1.5	0.7	2.3	0.4	0.8	3.46
ANK2	0.4	3.1	1.2	0.7	1.8	0.4
APOL6	4.3	1	0.2	1.1	4	2.2
AQP4	0.9	2	1.3	0.4	1.7	0.9
ATP6V0D2	2	0.7	2.2	0.4	1	4.05
AZGP1	2.1	1.7	0.6	0.5	3.41	1.2
B3GNT5	0.9	2.7	1.7	0.3	1.9	0.9
BC006216	1.4	2.9	0.4	0.6	4.23	0.5
BTG2	0.7	2.7	1	0.5	2.3	0.5
C1S	0.6	2.7	1.2	0.5	1.9	0.6
CAMKK2	0.5	3.4	0.9	0.6	2.6	0.4
CCL20	2.2	0.7	1.5	0.5	1.5	3.2
CLG	0.3	1.1	1.8	1.5	0.5	0.8
CTNNA1	0.8	2	1.4	0.4	1.5	0.9
CYP1A1	5.3	0.2	10.4	0.1	0.5	58.02
DDX3X	0.7	2.5	1.2	0.5	1.9	0.7
DSCR1	0.8	2.2	1.3	0.5	1.7	0.8
DUSP1	0.7	2.6	1	0.6	2.1	0.5
EIF1	1.1	1.5	1.9	0.3	1.2	1.7
ENG	0.3	3.8	1.2	0.8	2	0.3
EPAS1	0.5	2.1	1.8	0.5	1.1	0.9
FER	0.3	1.4	2.3	1.2	0.5	1
FGG	3	0.8	1.4	0.3	2.3	4
FKBP5	0.5	6.8	3.4	0.1	2.1	0.6
FLJ22965	6.9	2.7	0.3	0.2	20.15	2.5
FLJ23471	0.6	5.7	0.9	0.3	5.5	0.3
FOLH1	1.5	3	0.2	1.3	3	0.4
FUS	0.5	2.2	1.5	0.6	1.2	0.7
GABPB2	1.7	2.9	0.2	0.9	4.3	0.5
GAGED2	4.8	0.3	2.7	0.2	1.8	13.17
GPR110	10.6	1.1	0.2	0.4	18.6	6.9
HAS1	0.3	2.7	0.4	3.2	0.8	0.11
HOXC8	0.4	0.4	6.1	1	0.1	4.4
Hs.449575	1	2.6	0.5	0.8	2.9	0.5
HSHIN1	0.6	1.1	3.1	0.5	0.5	2.3
HSPCB	0.8	2	1.3	0.5	1.5	0.9
HSPD1	7.5	1.7	0.3	0.3	15.96	4.1
IBRDC2	0.4	2.4	1.4	0.8	1.2	0.6
IGLJ3	3.4	3.9	0.3	0.3	12.97	0.9
IL6ST	0.7	2.9	1.2	0.4	2.2	0.6
IQGAP1	0.3	1.5	1.6	1.5	0.6	0.6
ITGB6	0.9	2.2	1	0.5	2.1	0.7
ITLN1	0.5	1.3	0.8	2.1	0.6	0.4
KIAA1361	0.4	1.1	1.5	1.6	0.5	0.7
MAPKAPK2	0.9	1.9	1.5	0.4	1.4	1
MAT2A	0.5	2.3	1.2	0.7	1.5	0.6
MATR3	0.9	2	1.3	0.4	1.7	0.9
MCL1	1.1	2.7	0.8	0.4	3.1	0.6
MECT1	0.5	0.6	1	3.2	0.3	0.4
MET	1	2.3	1	0.4	2.3	0.7
MVD	1.9	0.5	4.5	0.2	0.5	8.84
MYH11	0.4	3	1.4	0.7	1.6	0.5
NFASC	0.4	1.4	0.5	3.7	0.4	0.17
NR4A3	0.8	2.4	1.1	0.4	2.1	0.7
PBEF1	0.8	2.2	1.1	0.5	1.9	0.7
PCDHpsi-5	1	0.2	7.7	0.7	0.1	9.6
PGS1	0.6	2.5	1.1	0.6	1.8	0.5
PRKG1	0.5	2.2	2.2	0.5	1	1
PSCD1	1.7	3	1.2	0.2	3.5	0.9
RAB12	0.2	0.6	4.1	2.7	0.11	1.3
RASEF	0.4	1.6	1.8	0.9	0.8	0.9
RHOB	0.6	2.4	1.7	0.5	1.4	0.8
RNF125	3.6	1.3	0.1	1.8	2.6	1.2
RP13-36C9.1	0.7	0.5	3	1	0.3	2.4
SEC61A1	1	2	1.2	0.4	1.8	0.9
SERPINB2	3.9	2	0.1	1.4	3.9	1.2
SERPINE1	1.1	0.9	2.1	0.5	0.8	2.3
SFRS2IP	0.4	1.3	1.7	1.2	0.6	0.9
SFRS5	0.6	3.1	1	0.6	2.3	0.4
SOD2	2.6	0.9	0.8	0.5	2.7	2.4
SRPR	0.7	2.4	1.3	0.4	1.8	0.7
STC1	0.6	2.3	1.4	0.5	1.5	0.7
SUPT16H	0.7	2.5	1.2	0.5	2	0.6
TncRNA	0.7	2.4	1.8	0.3	1.4	0.9
TOP1	0.4	1.7	1.3	1.2	0.9	0.6
TTC3	0.3	2	2.9	0.6	0.7	1.2
UFM1	0.8	2	1.3	0.5	1.5	0.8
USP10	0.1	3	2.2	1.5	0.9	0.5
VIL2	0.5	2.1	1.4	0.7	1.3	0.7
WDR1	0.7	2.5	1	0.5	2.1	0.6
ZFP36L2	0.4	1.7	1.6	0.9	0.9	0.8
ZNF649	0.3	1.3	8.8	0.3	0.2	5.7
