Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	Sam
201531_at	ZFP36	Chr:19q13.1	NM_003407	4.135829	1.7846	inv(16)
209083_at	CORO1A	Chr:16p12.1	U34690	4.146805	1.54863	inv(16)
204720_s_at	DNAJC6	Chr:1pter-q31.3	AV729634	10.89971	10.00029	M7
202539_s_at	HMGCR	Chr:5q13.3-q14	AL518627	7.01435	2.10987	M7
217792_at	SNX5	Chr:20p11	NM_014426	6.093959	1.85498	M7
209193_at	PIM1	Chr:6p21.2	M24779	4.562274	2.85787	M7
209083_at	CORO1A	Chr:16p12.1	U34690	-4.17368	0.31385	M7
206589_at	GFI1	Chr:1p22	NM_005263	-4.06713	0.04441	M7
212678_at	NF1	Chr:17q11.2	AW054826	-5.20104	0.56561	MLL
201850_at	CAPG	Chr:2cen-q24	NM_001747	10.67388	3.76839	MLL
214651_s_at	HOXA9	Chr:7p15-p14	U41813	7.879088	4.49362	MLL
209905_at	HOXA9	Chr:7p15-p14	AI246769	6.889493	4.57773	MLL
206847_s_at	HOXA7	Chr:7p15-p14	AF026397	6.524912	3.12996	MLL
204069_at	MEIS1	Chr:2p14-p13	NM_002398	5.391473	2.84885	MLL
200953_s_at	CCND2	Chr:12p13	NM_001759	-5.69598	0.33982	MLL
209360_s_at	RUNX1	Chr:21q22.3	D43968	-4.60678	0.61123	MLL
210365_at	RUNX1	Chr:21q22.3	D43967	-4.02993	0.49907	MLL
201642_at	IFNGR2	Chr:21q22.11	NM_005534	5.379581	1.58326	MLL
206589_at	GFI1	Chr:1p22	NM_005263	7.240095	2.40882	t(15;17)
205839_s_at	BZRAP1	Chr:17q22-q23	NM_004758	6.649985	4.64417	t(15;17)
200953_s_at	CCND2	Chr:12p13	NM_001759	6.580952	2.12819	t(15;17)
212983_at	HRAS	Chr:11p15.5	NM_005343	5.336224	1.63146	t(15;17)
211095_at	NF1	Chr:17q11.2	D12625	4.763843	2.275	t(15;17)
208129_x_at	RUNX1	Chr:21q22.3	NM_001754	4.004048	1.54353	t(15;17)
206074_s_at	HMGA1	Chr:6p21	NM_002131	-5.47374	0.51576	t(15;17)
218902_at	NOTCH1	Chr:9q34.3	NM_017617	-4.30109	0.59342	t(8;21)
219255_x_at	IL17RB	Chr:3p21.1	NM_018725	5.68705	3.06255	t(8;21)
208978_at	CRIP2	Chr:14q32.3	U36190	4.446839	3.74645 t(8;21)
