Function	Accession no.	Gene	Symbol	Ratio of radiation  enteritis/healthy
Fibrosis	L23808	matrix metalloproteinase 12	MMP12	<0.1
Fibrosis	U03056	hyaluronoglucosaminidase	HYAL1	<0.1
Fibrosis	M61916	laminin beta 1 subunit precursor	LAMB1	0.18
Fibrosis	M55172	cartilage-specific proteoglycan core  protein (CSPCP)	CSPCP	0.33
Fibrosis	Z15009	laminin gamma 2 subunit precursor	LAMC2	0.44
Fibrosis	U43901	34/67-kDa laminin receptor	LAMR1	0.47
Fibrosis	X04429; M14083	endothelial plasminogen activator in- hibitor 1 precursor	PAI1	2–7.5
Fibrosis	X57527	collagen 8 alpha 1 subunit	COL8A1	2–2.11
Fibrosis	D26512; X83535	matrix metalloproteinase 14 pre- cursor	MMP14	2.35–6.15
Fibrosis	J03210; J05471	matrix metalloproteinase 2	MMP2	2.47–10
Fibrosis	J05593	tissue inhibitor of metalloprotein-ases 2	TIMP2	2.50–3.5
Fibrosis	J04599	biglycan	BGN	2.55
Fibrosis	M17733	thymosin beta 4		2.16–4.16
Fibrosis	U16306; X15998;  U26555; D32039	large fibroblast proteoglycan		2.87
Fibrosis	X78565; M55618	tenascin precursor	TN	2.99–10
Fibrosis	X03124	metalloproteinase inhibitor 1 pre-cursor	TIMP1	3.1–5.40
Fibrosis	X52022	collagen 6 alpha 3 subunit	COL6A3	3.3–3.42
Fibrosis	X14420	procollagen 3 alpha 1 subunit precursor	COL3A1	3.87–4.7
Fibrosis	Y08622 1 X92521	matrix metalloproteinase 18  (MMP18) 1 MMP19	MMP18 1 MMP19	4.33–13
Fibrosis	X55525; J03464	procollagen 1 alpha 2 subunit precursor	COL1A2	5.16–8.4
Fibrosis	X05231	matrix metalloproteinase 1	MMP1	5.3–10
Fibrosis	J03040	osteonectin/SPARC	ON	5.9
Fibrosis	X05562	procollagen alpha 2(IV) subunit precursor	COL4A2	>10
Fibrosis	X05232	matrix metalloproteinase 3	MMP3	>10
Growth factor, cytokine  and chemokine related	X01394	tumor necrosis factor precursor	TNFA	<0.1
Growth factor, cytokine  and chemokine related	M21121	small inducible cytokine A5	SCYA5	0.1–0.45
Growth factor, cytokine  and chemokine related	M14764	low-affinity nerve growth factor receptor	NGFR	0.1–0,33
Growth factor, cytokine  and chemokine related	X01057; X01058;	interleukin-2 receptor alpha subunit	IL2Ralpha	0.15–0,34
Growth factor, cytokine  and chemokine related	X01402	precursor
Growth factor, cytokine  and chemokine related	M17446	INT-2 proto-oncogene protein precursor	FGF-3	0.17–0.34
Growth factor, cytokine  and chemokine related	D30751 1 M22490	bone morphogenetic protein 4	BMP4	0.2–0.4
Growth factor, cytokine  and chemokine related	M33294	tumor necrosis factor receptor 1	TNFRI	0.34–0.5
