Probe ID	Gene symbol	Description	Entrez Gene ID	Sample ID M1	A07	A14	C07	C14	O07	O14	Function
GI_21264358-I	MASP1	Homo sapiens mannan-binding lectin serine protease 1 (C4/C2 activating component of Ra-reactive factor) (MASP1), transcript variant 2, mRNA	5648	2.1247	?0.1619	0	?0.9388	0	0.2726	0	MSC markers
GI_5803016-S	FOSB	H sapiens FBJ murine osteosarcoma viral oncogene homolog B (FOSB), mRNA	2354	3.0524	?0.3024	1.8793	0.5454	?1.7003	?1.1363	?0.0643	MSC markers
GI_12669906-S	IGFBP6	H sapiens acyl-CoA synthetase long-chain family member 1 (ACSL1), mRNA	2180	?0.1096	1.3134	1.8922	?0.1455	?0.2354	0.0038	0.0985	Adipogenic markers
GI_20070269-S	G0S2	H sapiens putative lymphocyte G0/G1 switch gene (G0S2), mRNA	50486	?0.4908	2.8306	3.2601	0.4378	0.8131	?0.7489	?0.5906	Adipogenic markers
GI_22027484-S	RASD1	H sapiens RAS, dexamethasone-induced 1 (RASD1), mRNA	51655	0.8445	2.2295	1.7099	?0.7705	?3.3403	?0.3931	?0.1897	Adipogenic markers
GI_31377551-S	RAP2A	H sapiens RAP2A, member of RAS oncogene family (RAP2A), mRNA	5911	?0.2610	1.9745	2.3584	0.0316	?0.7797	?0.1838	?0.0538	Adipogenic markers
GI_34222182-S	DDIT4L	H sapiens DNA-damage-inducible transcript 4-like (DDIT4L), mRNA	115265	?0.8135	1.9974	2.2798	0.6702	0.3898	?2.5613	?0.3804	Adipogenic markers
GI_45446741-S	AKR1C2	H sapiens aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III) (AKR1C2), transcript variant 1, mRNA	1646	?0.3467	2.1801	2.4928	0.1962	?0.0946	?0.4847	0.0891	Adipogenic markers
GI_13324676-S	ENPP1	H sapiens ectonucleotide pyrophosphatase/phosphodiesterase 1 (ENPP1), mRNA	5167	0.2188	?0.7887	?0.5631	1.9896	3.0516	?1.1652	?0.4323	Chondrogenic markers
GI_17981693-A	CDKN2B	H sapiens cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) (CDKN2B), transcript variant 1, mRNA	1030	0.3149	?0.0605	?0.0050	1.8528	1.874	?0.8466	?0.9401	Chondrogenic markers
GI_19923197-S	RUNX1	H sapiens runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene; RUNX1), mRNA	861	0.0426	0.0033	?0.0123	1.6058	2.0494	?0.7632	?0.3739	Chondrogenic markers
GI_23111004-S	MFAP4	H sapiens microfibrillar-associated protein 4 (MFAP4), mRNA	4239	?0.2909	?0.5414	?1.7318	2.1228	1.7113	0.0428	0.6477	Chondrogenic markers
GI_24430217-S	IL11	H sapiens interleukin 11 (IL11), mRNA	3589	0.4145	?1.0965	?0.7898	2.0906	2.4231	?1.7893	?1.0528	Chondrogenic markers
GI_24475846-S	IVNS1ABP	H sapiens influenza virus NS1A binding protein (IVNS1ABP), mRNA	10625	?0.2214	?0.4830	?0.4939	1.4905	2.2335	0.4409	0.3169	Chondrogenic markers
GI_29568085-S	SDC1	H sapiens syndecan 1 (SDC1), mRNA	6382	0.6379	?1.7792	?1.7169	2.0289	2.5978	?1.7140	?1.2265	Chondrogenic markers
GI_32964829-S	COL8A2	H sapiens collagen, type VIII, alpha 2 (COL8A2), mRNA	1296	?0.4979	?0.1827	?0.1771	2.3983	1.1285	?0.1501	0.574	Chondrogenic markers
GI_34304351-S	BGN	H sapiens biglycan (BGN), mRNA	633	0.1863	?0.4741	?0.9904	1.8441	2.0613	?0.5917	?0.1769	Chondrogenic markers
GI_34452701-S	ANKH	H sapiens ankylosis, progressive homolog (mouse; ANKH), mRNA	56172	?0.1405	?0.3468	?0.3980	1.9032	2.6121	0.1362	0.2076	Chondrogenic markers
GI_37548655-S	OLFML2B	H sapiens olfactomedin-like 2B (OLFML2B) mRNA	25903	?0.1088	?0.0092	?0.1600	1.5639	1.6795	?0.5550	0.1048	Chondrogenic markers
GI_40317614-A	TMEPAI	H sapiens transmembrane, prostate androgen induced RNA (TMEPAI), transcript variant 1, mRNA	56937	?0.4838	0.2304	0.0321	2.3013	2.3872	?0.1680	?0.0132	Chondrogenic markers
GI_41327755-S	ADAMTS4	H sapiens a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4 (ADAMTS4), mRNA	9507	?0.7378	0.3704	0.2196	2.1222	2.4524	?0.2427	?0.1231	Chondrogenic markers
GI_32130529-A	CMTM3	H sapiens CKLF-like MARVEL transmembrane domain containing 3 (CMTM3), mRNA	123920	?0.0054	0.0109	?0.1266	1.054	1.772	?0.3590	0.0973	Chondrogenic markers
GI_42716296-S	CLU	H sapiens clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J;CLU), transcript variant 1, mRNA	1191	?0.0165	?0.4015	?0.6002	1.8815	1.7451	?0.1837	?0.0081	Chondrogenic markers
GI_4507398-S	TCF4	H sapiens transcription factor 4 (TCF4), mRNA	6925	0.4581	?0.6464	?0.8820	1.4544	1.8483	?0.2636	?0.0804	Chondrogenic markers
GI_4507464-S	TGFB3	H sapiens transforming growth factor, beta 3 (TGFB3), mRNA	7043	?0.0634	0.1799	0.3213	3.2386	3.2736	?0.3335	?0.4560	Chondrogenic markers
GI_4755145-S	AEBP1	H sapiens AE binding protein 1 (AEBP1), mRNA	165	0.2491	?1.5791	?1.6139	1.9207	2.0746	?0.3012	0.0292	Chondrogenic markers
GI_5031970-S	LRRC17	H sapiens leucine rich repeat containing 17 (LRRC17), mRNA	10234	0.5369	?0.0269	0.0042	2.6441	3.7125	?2.4749	?0.3653	Chondrogenic markers
GI_41582237-A	ISLR	H sapiens immunoglobulin superfamily containing leucine-rich repeat (ISLR), transcript variant 1, mRNA	3671	0.1956	?0.8433	?1.2155	2.6252	2.2217	?0.7244	?0.0703	Chondrogenic markers
GI_31324542-S	CAMK2N1	H sapiens calcium/calmodulin-dependent protein kinase II (CaMKIINalpha), mRNA	55450	?0.22461	?0.4192	?0.34172	?0.14237	0.118001	1.729828	1.220218	Osteogenic markers
GI_32895369-I	COL8A1	H sapiens collagen, type VIII, alpha 1 (COL8A1), transcript variant 1, mRNA	1295	?0.44275	0.120977	0.2237	?0.03571	?0.64901	1.696772	1.708998	Osteogenic markers
GI_34335231-S	CKB	H sapiens creatine kinase, brain (CKB), mRNA	1152	?0.10611	0.06397	0.009828	?1.00722	?0.69708	1.666986	1.155259	Osteogenic markers
